sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,em,ml,mu,sample,subtype,quality,caltype
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.544,0.008,-6.8,0.0226,0.0023,7.113e-06,,0.455,0.011,0.0,NGC5490,34.267,0.08,9.028,0.023,0.0,0.0,11.14,0.08,11.06,11.22,N/A,N/A,0,s
PTF13ebh,0.01326,0.012484,0.632,0.004,14.977,0.007,-13.2,0.0668,0.0067,7.886e-06,,0.117,0.009,0.0,NGC0890,33.296,0.081,0.0,0.0,0.0,0.0,10.86,0.05,10.809999999999999,10.91,N/A,N/A,0,s
SN2006ef,0.01787,0.0170267,0.858,0.02,15.383,0.041,9.8,0.0201,0.002,-2.921e-05,,-0.024,0.081,0.0,NGC0809,34.376,0.109,0.0,0.0,0.0,0.0,10.35,0.18,10.17,10.53,N/A,N/A,0,s
SN2008R,0.0134933,0.0128867,0.632,0.006,15.149,0.008,-1.5,0.0618,0.0062,4.054e-06,,0.12,0.011,0.0,NGC1200,33.66,0.08,0.0,0.0,0.0,0.0,11.25,0.12,11.13,11.37,N/A,N/A,0,s
SN2008hv,0.01254,0.01358,0.867,0.004,14.698,0.008,-10.9,0.0279,0.0028,8.846e-06,,-0.047,0.011,0.0,NGC2765,33.725,0.083,0.0,0.0,0.0,0.0,10.55,0.18,10.370000000000001,10.73,N/A,N/A,0,s
SN2008ia,0.0219833,0.02254,0.834,0.006,15.831,0.013,-4.0,0.1954,0.0195,1.201e-05,,-0.035,0.016,0.0,ESO125-G006,34.896,0.195,0.0,0.0,0.0,0.0,10.77,0.5,10.27,11.27,N/A,N/A,0,s
