sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
SN1970J,0.012549,0.0113134,0.93,0.027,14.865,0.033,-13.1,0.0689,0.0069,0.0005082,N/A,N/A,0,N/A,N/A,0.231,0.045,0.001089,11.267,11.34,11.413,NGC7619,33.341,0.081,s
SN1995D,0.006561,0.0076747,1.041,0.042,13.282,0.026,-2.4,0.0484,0.0048,0.0004588,N/A,N/A,0,N/A,N/A,0.058,0.029,0.000676,10.527,10.597,10.666,NGC2962,32.532,0.084,s
SN1997E,0.013539,0.013527,0.841,0.013,15.181,0.007,-3.2,0.1101,0.011,3.447e-05,N/A,N/A,0,N/A,N/A,0.081,0.01,4.9e-05,11.129,11.199,11.268,NGC2258,33.781,0.094,s
SN2000cx,0.008016,0.0069779,0.853,0.005,13.107,0.005,-9.1,0.0698,0.007,1.272e-05,N/A,N/A,0,N/A,N/A,0.062,0.007,2.5e-05,10.839,10.929,11.019,NGC0524,32.21,0.09,s
SN2003hv,0.005624,0.0051063,0.791,0.02,12.44,0.05,1.8,0.0133,0.0013,-1.413e-05,N/A,N/A,0,N/A,N/A,-0.089,0.062,0.0025,10.501,10.565,10.629,NGC1201,31.347,0.074,s
SN2014bv,0.005594,0.0057398,0.622,0.015,14.006,0.018,-0.2,0.0331,0.0033,-9.386e-05,N/A,N/A,0,N/A,N/A,0.212,0.022,0.000324,10.416,10.48,10.544,NGC4386,32.427,0.08,s
SN2015bp,0.004069,0.0047083,0.697,0.012,13.709,0.013,-11.4,0.0454,0.0045,8.099e-05,N/A,N/A,0,N/A,N/A,0.039,0.019,0.000169,9.841,9.979,10.116,NGC5839,32.369,0.078,s
