sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
SN2007on,0.00649,0.0061833,0.589,0.003,13.277,0.013,-8.3,0.0098,0.001,-9.233e-06,N/A,N/A,0,9,9,0.115,0.012,0.0,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.756,0.032,-0.1,0.0098,0.001,-4.758e-05,N/A,N/A,0,9,9,0.03,0.011,0.0,10.897,10.932,10.967,NGC1404,31.526,0.072,s
