sn	zhel	zcmb	st	est	Mmax	eMmax	t0	EBVmw	eEBVmw	covMs	BV	eBV	covBV_M	ml	m	mu	host	dist	edist	caltype
SN2005be	0.035	0.0355767	0.768	0.022	16.987	0.057	6.4	0.0294	0.0029	-5.4E-05	0.055	0.071	0.003249	10.25	10.4	10.5	-1.0	-1.0	-1.0	none
SN2005bg	0.02307	0.0241567	1.064	0.039	15.846	0.052	2.7	0.0264	0.0026	-0.0001614	0.036	0.066	0.002704	9.72	9.91	10.02	-1.0	-1.0	-1.0	none
SN2005bl	0.0240433	0.0251133	0.429	0.011	18.48	0.028	-6.4	0.025	0.0025	0.0001085	0.676	0.034	0.000784	10.89	11.01	11.2	-1.0	-1.0	-1.0	none
SN2005bo	0.0138867	0.0150133	0.883	0.009	15.671	0.005	-0.3	0.0396	0.004	-8.452E-06	0.237	0.006	2.5E-05	10.34	10.5	10.65	-1.0	-1.0	-1.0	none
SN2005el	0.0149	0.0148833	0.864	0.003	14.895	0.009	-7.1	0.0976	0.0098	7.911E-06	-0.08	0.012	8.1E-05	10.7	10.84	11.24	-1.0	-1.0	-1.0	none
SN2005eq	0.0289567	0.02835	1.136	0.009	16.294	0.007	-3.9	0.0629	0.0063	-1.342E-05	0.055	0.01	4.9E-05	10.44	10.56	10.65	-1.0	-1.0	-1.0	none
SN2005hc	0.0459067	0.0444967	1.141	0.007	17.31	0.005	-4.7	0.028	0.0028	-2.854E-06	0.013	0.007	2.5E-05	10.52	10.6	10.65	-1.0	-1.0	-1.0	none
SN2005hj	0.0579667	0.05695	1.151	0.019	17.761	0.011	-3.0	0.0329	0.0033	-2.63E-05	0.08	0.016	0.000121	9.22	9.32	9.38	-1.0	-1.0	-1.0	none
SN2005iq	0.03402	0.03293	0.882	0.006	16.796	0.008	-5.5	0.0185	0.0019	1.641E-05	-0.031	0.011	6.4E-05	10.47	10.54	10.6	-1.0	-1.0	-1.0	none
SN2005ir	0.0763067	0.0752333	1.003	0.014	18.396	0.012	-2.8	0.0265	0.0027	6.076E-05	0.053	0.016	0.000144	9.12	9.23	9.37	-1.0	-1.0	-1.0	none
SN2005kc	0.01511	0.01389	0.933	0.005	15.59	0.008	-10.6	0.1137	0.0114	1.227E-05	0.234	0.011	6.4E-05	10.6	11.06	11.5	-1.0	-1.0	-1.0	none
SN2005ke	0.0048767	0.0044833	0.436	0.003	14.789	0.009	-9.7	0.02	0.002	4.686E-06	0.662	0.012	8.1E-05	10.29	10.43	10.61	-1.0	-1.0	-1.0	none
SN2005ki	0.0191933	0.02037	0.836	0.004	15.584	0.005	-10.0	0.0267	0.0027	3.507E-06	-0.019	0.007	2.5E-05	10.62	10.8	10.86	-1.0	-1.0	-1.0	none
SN2005ku	0.0454067	0.0441833	0.973	0.035	17.539	0.062	0.4	0.0461	0.0046	-5.746E-05	0.1	0.078	0.003844	9.96	10.04	10.1	-1.0	-1.0	-1.0	none
SN2005lu	0.0319867	0.0312933	1.063	0.03	17.245	0.057	9.3	0.0218	0.0022	-5.62E-05	0.25	0.072	0.003249	9.68	9.86	10.03	-1.0	-1.0	-1.0	none
SN2005mc	0.0252033	0.0260067	0.666	0.02	17.222	0.054	2.4	0.0379	0.0038	-4.125E-05	0.311	0.066	0.002916	10.85	10.95	11.1	-1.0	-1.0	-1.0	none
SN2005na	0.0263033	0.0268133	0.97	0.005	16.008	0.007	-1.9	0.0681	0.0068	1.961E-06	-0.015	0.009	4.9E-05	10.9	10.97	11.05	-1.0	-1.0	-1.0	none
SN2006D	0.00852	0.00964	0.839	0.003	14.194	0.005	-6.0	0.0394	0.0039	3.35E-06	0.099	0.006	2.5E-05	9.54	9.76	9.85	-1.0	-1.0	-1.0	none
SN2006X	0.0052367	0.00632	0.97	0.004	15.243	0.009	-10.9	0.0228	0.0023	8.81E-06	1.213	0.012	8.1E-05	9.06	9.33	9.43	-1.0	-1.0	-1.0	none
SN2006ax	0.0167267	0.0179567	1.003	0.004	15.033	0.006	-11.8	0.041	0.0041	7.59E-06	-0.073	0.008	3.6E-05	10.79	10.92	11.04	-1.0	-1.0	-1.0	none
SN2006bd	0.0257067	0.0267967	0.395	0.01	18.763	0.037	-1.2	0.0231	0.0023	5.822E-05	0.733	0.044	0.001369	10.6	10.77	10.8	-1.0	-1.0	-1.0	none
SN2006bh	0.01084	0.0104933	0.827	0.003	14.369	0.004	-4.9	0.0228	0.0023	2.827E-06	-0.01	0.006	1.6E-05	10.31	10.43	10.49	-1.0	-1.0	-1.0	none
SN2006br	0.0245733	0.0255233	0.954	0.032	18.934	0.08	7.3	0.0197	0.002	-4.505E-05	0.837	0.097	0.0064	10.87	10.97	11.36	-1.0	-1.0	-1.0	none
SN2006ef	0.01787	0.0170267	0.858	0.02	15.44	0.067	10.0	0.0201	0.002	-3.546E-05	-0.024	0.081	0.004489	10.18	10.35	10.49	-1.0	-1.0	-1.0	none
SN2006ej	0.0204367	0.0193367	0.845	0.018	15.748	0.049	5.3	0.0296	0.003	-6.679E-06	0.028	0.06	0.002401	10.48	10.63	10.7	-1.0	-1.0	-1.0	none
SN2006eq	0.0494667	0.0483667	0.656	0.022	18.567	0.061	2.4	0.0416	0.0042	-4.031E-05	0.302	0.075	0.003721	9.79	10.19	10.65	-1.0	-1.0	-1.0	none
SN2006et	0.0221567	0.0216467	1.181	0.006	15.973	0.005	-7.5	0.0165	0.0017	7.139E-07	0.142	0.007	2.5E-05	10.7	10.8	10.88	-1.0	-1.0	-1.0	none
SN2006ev	0.0287133	0.0276	0.84	0.021	17.162	0.056	3.7	0.0759	0.0076	-1.959E-05	0.179	0.069	0.003136	10.65	10.75	10.91	-1.0	-1.0	-1.0	none
SN2006fw	0.0829433	0.0819867	0.901	0.051	19.089	0.048	-2.3	0.028	0.0028	0.0005528	0.109	0.065	0.002304	9.32	9.42	9.62	-1.0	-1.0	-1.0	none
SN2006gj	0.0283333	0.0269667	0.709	0.007	17.669	0.009	-1.8	0.0705	0.007	2.585E-06	0.297	0.012	8.1E-05	10.36	10.53	10.6	-1.0	-1.0	-1.0	none
SN2006gt	0.04474	0.0436433	0.565	0.009	18.224	0.012	-2.3	0.0323	0.0032	1.414E-05	0.257	0.016	0.000144	9.87	9.93	9.94	-1.0	-1.0	-1.0	none
SN2006hb	0.0153333	0.0153367	0.682	0.018	15.587	0.052	4.3	0.0236	0.0024	-1.568E-05	0.186	0.064	0.002704	10.05	10.22	10.39	-1.0	-1.0	-1.0	none
SN2006hx	0.0454633	0.0444033	0.98	0.012	17.534	0.026	-9.2	0.0256	0.0026	0.0001176	0.113	0.035	0.000676	10.12	10.31	10.44	-1.0	-1.0	-1.0	none
SN2006is	0.0313333	0.03142	1.093	0.036	16.176	0.053	0.4	0.029	0.0029	-9.504E-05	0.038	0.066	0.002809	6.68	7.1	7.41	-1.0	-1.0	-1.0	none
SN2006kf	0.0212867	0.0208	0.771	0.005	15.973	0.007	-4.8	0.2097	0.021	6.405E-06	0.024	0.009	4.9E-05	10.59	10.82	10.9	-1.0	-1.0	-1.0	none
SN2006lu	0.0533667	0.0543967	1.003	0.019	17.548	0.053	5.0	0.0986	0.0099	-1.937E-05	-0.019	0.066	0.002809	10.22	10.29	10.37	-1.0	-1.0	-1.0	none
SN2006mr	0.0058667	0.00551	0.333	0.004	15.315	0.021	-4.4	0.0179	0.0018	1.36E-05	0.728	0.028	0.000441	10.79	11.19	11.38	-1.0	-1.0	-1.0	none
SN2006ob	0.0591967	0.0582567	0.739	0.009	18.288	0.012	-3.1	0.0285	0.0029	2.546E-05	0.124	0.016	0.000144	11.08	11.26	11.33	-1.0	-1.0	-1.0	none
SN2006os	0.0327867	0.03208	0.941	0.02	17.615	0.052	0.9	0.1254	0.0125	-1.266E-05	0.318	0.065	0.002704	10.66	10.81	10.87	-1.0	-1.0	-1.0	none
SN2006py	0.05786	0.0566433	0.966	0.018	17.917	0.016	-1.6	0.0518	0.0052	8.373E-05	0.086	0.021	0.000256	8.94	9.1	9.24	-1.0	-1.0	-1.0	none
SN2007N	0.01287	0.014	0.376	0.006	18.051	0.019	-0.6	0.0343	0.0034	2.231E-05	0.953	0.024	0.000361	10.1	10.19	10.57	-1.0	-1.0	-1.0	none
SN2007S	0.01387	0.0150233	1.186	0.007	15.794	0.009	-10.8	0.0224	0.0022	2.014E-06	0.366	0.011	8.1E-05	9.63	9.98	10.16	-1.0	-1.0	-1.0	none
SN2007af	0.00546	0.00629	0.949	0.002	13.162	0.005	-8.9	0.0338	0.0034	2.891E-06	0.085	0.007	2.5E-05	9.23	9.52	9.98	-1.0	-1.0	-1.0	none
SN2007ai	0.03164	0.0319867	1.223	0.013	17.023	0.01	-0.7	0.286	0.0286	-1.578E-05	0.183	0.013	0.0001	9.76	9.91	10.18	-1.0	-1.0	-1.0	none
SN2007al	0.0121133	0.0132629	0.383	0.006	17.32	0.021	-0.2	0.036	0.0036	1.49E-05	0.693	0.026	0.000441	9.33	9.47	9.91	-1.0	-1.0	-1.0	none
SN2007as	0.01756	0.0178967	0.889	0.004	15.489	0.007	-0.5	0.1229	0.0123	4.199E-07	0.08	0.009	4.9E-05	10.24	10.36	10.43	-1.0	-1.0	-1.0	none
SN2007ax	0.0068567	0.0076367	0.416	0.011	16.199	0.03	-2.8	0.0446	0.0045	0.0001067	0.685	0.038	0.0009	10.13	10.23	10.29	-1.0	-1.0	-1.0	none
SN2007ba	0.0384867	0.0390533	0.568	0.008	17.763	0.015	-7.1	0.0315	0.0032	2.58E-05	0.327	0.019	0.000225	10.9	10.99	11.06	-1.0	-1.0	-1.0	none
SN2007bc	0.0207567	0.02185	0.907	0.005	15.858	0.007	-2.9	0.0186	0.0019	2.311E-06	0.033	0.009	4.9E-05	10.65	10.73	10.78	-1.0	-1.0	-1.0	none
SN2007bd	0.0309967	0.0318267	0.917	0.006	16.567	0.012	-9.6	0.0289	0.0029	2.446E-05	-0.001	0.016	0.000144	10.68	10.82	10.89	-1.0	-1.0	-1.0	none
