samp cal filt        Ho       eHo    sHo   p2.5   p25    p50     p75    p97.5  n_eff   Rhat
CSPI trgb     u           71.08    0.03   2.85  65.72  69.15  71.02  72.93  76.92 9285.0    1.0
CSPII ceph    B           72.85    0.02   1.80  69.38  71.66  72.83  74.02  76.48 6012.0    1.0
CSPII ceph    H           75.93    0.02   1.77  72.53  74.74  75.91  77.10  79.47 7108.0    1.0
CSPII ceph    J           74.08    0.03   2.02  70.23  72.70  74.06  75.42  78.10 6493.0    1.0
CSPII ceph    Y           75.10    0.03   2.35  70.55  73.49  75.07  76.65  79.87 8700.0    1.0
CSPII ceph    g           74.96    0.04   3.31  68.75  72.69  74.85  77.09  81.78 8816.0    1.0
CSPII ceph    i           72.09    0.02   1.35  69.45  71.21  72.08  72.99  74.78 6046.0    1.0
CSPII ceph    r           72.42    0.02   1.66  69.24  71.29  72.39  73.52  75.73 7144.0    1.0
CSPII ceph    u           71.96    0.03   3.25  65.84  69.73  71.86  74.08  78.57 9369.0    1.0
CSPII sbf     B           70.40    0.03   1.97  66.66  69.06  70.36  71.71  74.40 5799.0    1.0
CSPII sbf     H           69.66    0.04   2.59  64.75  67.90  69.60  71.33  74.95 5100.0    1.0
CSPII sbf     J           69.18    0.03   2.77  63.90  67.31  69.09  70.97  74.85 6444.0    1.0
CSPII sbf     Y           69.42    0.06   4.37  61.27  66.38  69.28  72.22  78.47 4632.0    1.0
CSPII sbf     g           68.74    0.05   4.03  61.41  65.99  68.55  71.26  77.26 7556.0    1.0
CSPII sbf     i           69.97    0.03   1.68  66.69  68.84  69.96  71.08  73.33 4478.0    1.0
CSPII sbf     r           70.34    0.03   1.94  66.62  69.00  70.32  71.65  74.24 5417.0    1.0
CSPII sbf     u           64.73    0.04   3.32  58.50  62.41  64.65  66.90  71.51 8251.0    1.0
CSPII sbfj21  B           76.53    0.03   2.08  72.52  75.10  76.50  77.92  80.66 6255.0    1.0
CSPII sbfj21  H           79.36    0.04   2.89  73.84  77.40  79.30  81.26  85.14 5157.0    1.0
CSPII sbfj21  J           77.82    0.04   3.09  71.94  75.69  77.77  79.82  84.11 5830.0    1.0
CSPII sbfj21  Y           78.89    0.04   3.15  72.88  76.77  78.82  81.00  85.23 7196.0    1.0
CSPII sbfj21  g           76.98    0.04   3.69  70.08  74.47  76.83  79.36  84.59 7712.0    1.0
CSPII sbfj21  i           75.55    0.02   1.47  72.81  74.53  75.51  76.51  78.59 5148.0    1.0
CSPII sbfj21  r           75.88    0.02   1.90  72.33  74.58  75.82  77.12  79.73 6477.0    1.0
CSPII sbfj21  u           71.53    0.04   3.72  64.56  68.99  71.39  73.93  79.20 7224.0    1.0
CSPII trgb    B           69.29    0.02   1.69  66.05  68.15  69.28  70.39  72.70 5406.0    1.0
CSPII trgb    H           72.72    0.02   1.61  69.62  71.65  72.73  73.80  75.88 6611.0    1.0
CSPII trgb    J           71.21    0.02   1.92  67.55  69.88  71.18  72.48  75.08 6214.0    1.0
CSPII trgb    Y           73.06    0.03   2.32  68.66  71.45  73.02  74.61  77.75 7030.0    1.0
CSPII trgb    g           68.87    0.03   2.78  63.56  67.02  68.77  70.64  74.57 7936.0    1.0
CSPII trgb    i           68.18    0.02   1.15  65.97  67.40  68.16  68.94  70.44 5816.0    1.0
CSPII trgb    r           69.15    0.02   1.53  66.16  68.13  69.14  70.13  72.26 6220.0    1.0
CSPII trgb    u           67.50    0.03   2.96  61.88  65.51  67.41  69.43  73.60 9113.0    1.0
