samp cal     filt      Ho       eHo    sHo   p2.5   p25    p50    p75    p97.5 n_eff     Rhat
CSPI trgb    u        70.95    0.03   2.77  65.70  69.05  70.91  72.73  76.69 7576.0    1.0
CSPII ceph   B        73.17    0.02   1.85  69.61  71.88  73.14  74.41  76.91 6809.0    1.0
CSPII ceph   H        75.07    0.02   1.75  71.71  73.90  75.06  76.23  78.56 7406.0    1.0
CSPII ceph   J        76.10    0.03   2.07  72.08  74.72  76.08  77.46  80.16 6581.0    1.0
CSPII ceph   Y        74.09    0.03   2.36  69.57  72.46  74.05  75.66  78.81 8045.0    1.0
CSPII ceph   g        75.59    0.04   3.42  69.12  73.32  75.45  77.81  82.52 7605.0    1.0
CSPII ceph   i        73.13    0.02   1.45  70.29  72.16  73.13  74.09  75.99 5633.0    1.0
CSPII ceph   r        72.47    0.02   1.69  69.25  71.31  72.45  73.59  75.82 5867.0    1.0
CSPII ceph   u        73.18    0.03   3.14  67.28  71.06  73.13  75.23  79.60 9567.0    1.0
CSPII sbf    B        70.30    0.03   1.96  66.55  68.95  70.26  71.60  74.25 5371.0    1.0
CSPII sbf    H        68.92    0.04   2.53  64.16  67.16  68.85  70.60  74.04 5151.0    1.0
CSPII sbf    J        70.39    0.04   2.92  64.90  68.42  70.31  72.30  76.39 4438.0    1.0
CSPII sbf    Y        66.07    0.07   4.15  58.29  63.20  65.97  68.73  74.61 3354.0    1.0
CSPII sbf    g        69.64    0.05   4.24  61.77  66.70  69.49  72.33  78.30 6531.0    1.0
CSPII sbf    i        71.07    0.03   1.79  67.68  69.87  71.03  72.25  74.65 4622.0    1.0
CSPII sbf    r        70.51    0.03   2.01  66.68  69.15  70.46  71.84  74.51 4320.0    1.0
CSPII sbf    u        66.31    0.04   3.49  59.71  63.95  66.22  68.61  73.42 6696.0    1.0
CSPII sbfj21 B        76.61    0.02   2.17  72.47  75.14  76.55  78.02  81.03 7931.0    1.0
CSPII sbfj21 H        78.13    0.03   2.84  72.72  76.22  78.06  79.96  83.91 6627.0    1.0
CSPII sbfj21 J        78.86    0.04   3.18  72.87  76.69  78.76  80.93  85.27 5533.0    1.0
CSPII sbfj21 Y        76.02    0.04   3.03  70.22  73.95  75.95  78.02  82.17 6629.0    1.0
CSPII sbfj21 g        77.44    0.05   3.83  70.27  74.83  77.32  79.95  85.31 6945.0    1.0
