sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
ASAS14ad,0.0264,0.0274352,1.01,0.018,16.764,0.107,6.8,0.0159,0.0016,9.15e-06,CSPII,Ia,0.973,0,1,-0.010999999999999233,0.011180339887498949,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none
ASAS14hp,0.0388933,0.0386676,1.074,0.01,17.234,0.02,-0.3,0.0295,0.0029,-1.506e-05,CSPII,Ia,0.984,1,0,-0.04899999999999949,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none
ASAS14hr,0.0335967,0.0327196,0.802,0.01,17.242,0.029,-3.2,0.0131,0.0013,1.958e-06,CSPII,Ia,0.985,1,0,0.06099999999999994,0.01345362404707371,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none
ASAS14hu,0.0215851,0.0218919,1.052,0.007,16.197,0.014,-5.8,0.0612,0.0061,1.518e-06,CSPII,Ia,0.983,0,1,-0.04499999999999993,0.006403124237432849,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none
ASAS14jc,0.0113167,0.0117796,0.915,0.005,14.965,0.09,4.7,0.1346,0.0135,2.401e-05,CSPII,Ia,0.962,0,1,0.43700000000000117,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none
ASAS14jg,0.0148167,0.014347,1.285,0.022,15.248,0.074,4.6,0.0128,0.0013,-9.379e-05,CSPII,Ia,0.961,0,1,0.049000000000001265,0.05940538696111658,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none
ASAS14jz,0.0157891,0.0156168,0.989,0.006,15.258,0.025,-8.5,0.0472,0.0047,3.514e-05,CSPII,Ia,0.952,0,0,-0.04100000000000037,0.00565685424949238,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none
ASAS14kd,0.0243,0.0230683,1.169,0.007,15.882,0.133,10.1,0.0574,0.0057,4.951e-05,CSPII,Ia-91T,0.941,0,0,0.2339999999999982,0.007071067811865475,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none
ASAS14kq,0.0335767,0.0325972,1.147,0.011,17.167,0.028,-0.1,0.0155,0.0016,1.542e-05,CSPII,Ia,0.961,1,0,-0.020999999999997243,0.012041594578792296,0.0,8.78,8.91,9.11,N/A,-1.0,-1.0,none
ASAS14lp,0.0050967,0.0062254,1.029,0.004,12.192,0.021,-12.9,0.0213,0.0021,2.552e-05,CSPII,Ia,0.335,0,1,0.24300000000000033,0.006403124237432849,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none
ASAS14lq,0.0261733,0.0250833,0.999,0.024,16.684,0.162,9.6,0.0275,0.0028,-0.0001708,CSPII,Ia,0.977,0,1,0.019999999999999574,0.07940403012442127,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none
ASAS14lt,0.0320233,0.0314552,0.944,0.008,17.025,0.034,-3.5,0.0474,0.0047,-1.96e-05,CSPII,Ia,0.984,1,0,-0.0329999999999977,0.016401219466856725,0.0,10.56,10.64,10.7,N/A,-1.0,-1.0,none
ASAS14lw,0.0208855,0.0202609,1.25,0.007,16.442,0.041,-9.0,0.0117,0.0012,4.093e-05,CSPII,Ia,0.939,0,1,-0.012000000000000455,0.009219544457292887,0.0,6.08,6.35,6.72,N/A,-1.0,-1.0,none
ASAS14me,0.0178,0.017386,1.078,0.005,15.547,0.073,1.5,0.0175,0.0018,3.007e-06,CSPII,Ia,0.981,0,1,0.006999999999999673,0.00565685424949238,0.0,8.91,9.05,9.15,N/A,-1.0,-1.0,none
ASAS14mw,0.0273867,0.0271207,1.063,0.007,16.588,0.013,-4.7,0.0179,0.0018,-2.229e-06,CSPII,Ia,0.984,1,1,-0.03399999999999892,0.005,0.0,10.59,10.68,10.75,N/A,-1.0,-1.0,none
ASAS14my,0.0205,0.0217279,0.923,0.005,16.093,0.018,-7.3,0.0316,0.0032,3.75e-06,CSPII,Ia,0.975,0,1,0.014999999999998792,0.01,0.0,10.11,10.31,10.74,N/A,-1.0,-1.0,none
ASAS15aj,0.0109133,0.0120218,0.831,0.007,14.783,0.031,-2.6,0.0656,0.0066,-1.857e-06,CSPII,Ia,0.952,0,1,0.10299999999999976,0.009219544457292887,0.0,11.05,11.2,11.35,N/A,-1.0,-1.0,none
ASAS15al,0.0337766,0.0337612,1.077,0.028,17.509,0.068,19.3,0.0293,0.0029,-4.056e-05,CSPII,Ia,0.916,1,0,0.054999999999999716,0.05920304046246273,0.0,8.03,8.07,8.23,N/A,-1.0,-1.0,none
ASAS15as,0.0286801,0.0297845,1.076,0.014,16.993,0.121,24.5,0.0398,0.004,-1.045e-05,CSPII,Ia,0.985,1,1,0.028999999999999915,0.0078102496759066544,0.0,7.47,7.66,8.01,N/A,-1.0,-1.0,none
ASAS15ba,0.0231167,0.0239771,0.967,0.004,16.431,0.074,4.9,0.0223,0.0022,-4.192e-06,CSPII,Ia,0.983,0,1,0.008000000000000895,0.006403124237432849,0.0,7.83,7.99,8.19,N/A,-1.0,-1.0,none
ASAS15be,0.0218833,0.0213892,1.134,0.006,16.236,0.014,-0.3,0.0167,0.0017,3.457e-06,CSPII,Ia,0.976,0,1,0.019000000000000128,0.006403124237432849,0.0,7.66,7.8,8.16,N/A,-1.0,-1.0,none
ASAS15bm,0.0207856,0.0214395,0.991,0.005,16.039,0.015,-4.6,0.069,0.0069,9.395e-07,CSPII,Ia,0.976,0,1,0.12700000000000067,0.009899494936611667,0.0,9.89,10.02,10.15,N/A,-1.0,-1.0,none
ASAS15cb,0.04001,0.0411361,1.086,0.053,17.355,0.108,2.0,0.0279,0.0028,-0.0003492,CSPII,Ia,0.583,1,0,0.10699999999999932,0.07940403012442127,0.0,10.17,10.28,10.4,N/A,-1.0,-1.0,none
ASAS15cd,0.0342863,0.0353887,1.003,0.005,17.29,0.014,-3.5,0.0261,0.0026,-8.961e-06,CSPII,Ia,0.983,1,0,-0.021000000000000796,0.009219544457292887,0.0,9.85,9.95,10.02,N/A,-1.0,-1.0,none
ASAS15db,0.01099,0.0113676,0.955,0.003,15.031,0.06,12.9,0.029,0.0029,1.108e-05,CSPII,Ia,0.975,0,0,0.0860000000000003,0.006403124237432849,0.0,9.98,10.11,10.19,N/A,-1.0,-1.0,none
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.22,0.095,15.2,0.0461,0.0046,-5.193e-06,CSPII,Ia,0.962,0,0,-0.0070000000000014495,0.009219544457292887,0.0,10.31,10.41,10.52,N/A,-1.0,-1.0,none
ASAS15fr,0.0334133,0.0345082,0.905,0.021,17.231,0.073,0.5,0.0321,0.0032,-6.023e-05,CSPII,Ia-91T,0.978,1,1,-0.13299999999999912,0.0658027355054484,0.0,9.89,9.98,10.06,N/A,-1.0,-1.0,none
ASAS15ga,0.0066267,0.0076517,0.496,0.03,14.315,0.149,1.2,0.0236,0.0024,-0.0005206,CSPII,Ia-91bg,0.966,0,1,0.43100000000000094,0.04957822102496216,0.0,10.18,10.38,10.48,N/A,-1.0,-1.0,none
ASAS15go,0.01891,0.0192546,1.071,0.012,16.088,0.028,-4.0,0.1369,0.0137,-1.121e-05,CSPII,Ia,0.981,0,1,0.22400000000000198,0.006403124237432849,0.0,10.04,10.18,10.27,N/A,-1.0,-1.0,none
ASAS15gr,0.0242832,0.0247678,1.035,0.007,16.389,0.081,10.7,0.0823,0.0082,-1.889e-05,CSPII,Ia,0.983,0,1,-0.036000000000001364,0.006403124237432849,0.0,8.82,8.94,9.02,N/A,-1.0,-1.0,none
ASAS15hf,0.0061733,0.0072452,0.943,0.005,13.921,0.077,0.2,0.0854,0.0085,6.894e-06,CSPII,Ia,0.961,0,1,0.009000000000000341,0.01,0.0,9.39,9.56,9.97,N/A,-1.0,-1.0,none
ASAS15hx,0.0083,0.0092051,1.039,0.005,13.879,0.011,-11.2,0.0415,0.0042,1.335e-05,CSPII,Ia,0.909,0,1,-0.030000000000001137,0.005,0.0,7.06,7.45,7.89,N/A,-1.0,-1.0,none
CSP12G,0.0369744,0.0379661,1.159,0.029,17.248,0.097,8.9,0.0283,0.0028,6.503e-05,CSPII,Ia,0.985,1,0,0.11499999999999844,0.0738173421358423,0.0,8.29,8.41,8.49,N/A,-1.0,-1.0,none
CSP13N,0.04776,0.0487969,1.138,0.025,17.717,0.067,13.3,0.0238,0.0024,8.476e-05,CSPII,Ia-91T,0.976,1,0,-0.003999999999997783,0.06661080993352356,0.0,9.88,10.07,10.24,N/A,-1.0,-1.0,none
CSP13V,0.0599585,0.0611394,1.05,0.082,18.41,0.087,17.9,0.0474,0.0047,0.0001286,CSPII,Ia,0.987,0,0,-0.14199999999999946,0.1430873858870865,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none
CSP13Z,0.0788454,0.0800694,1.19,0.015,18.867,0.051,-7.3,0.0484,0.0048,4.259e-05,CSPII,Ia-91T,0.98,1,0,-0.022999999999999687,0.01063014581273465,0.0,8.25,8.35,8.85,N/A,-1.0,-1.0,none
CSP13aad,0.0868,0.0865709,1.19,0.033,18.971,0.111,11.2,0.0206,0.0021,0.0003429,CSPII,Ia,0.979,1,0,0.019999999999999574,0.06940461079784253,0.0,9.59,9.65,9.8,N/A,-1.0,-1.0,none
CSP13aaf,0.0775863,0.0787193,1.136,0.015,18.404,0.084,3.4,0.0222,0.0022,1.841e-07,CSPII,Ia,0.978,1,0,-0.05600000000000094,0.00848528137423857,0.0,10.53,10.66,11.04,N/A,-1.0,-1.0,none
