\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
ASAS15hf & 0.0072 & 0.00617 & 14.395 & 0.01 & 0.943 & 0.005 & 0.009 & 0.01 & 1e-05 & 0.0 & 9.56 & CSPII & Ia \\
ASAS15hg & 0.0309 & 0.02975 & 17.484 & 0.076 & 0.82 & 0.02 & 0.063 & 0.0608 & -4e-05 & 0.0 & 10.42 & CSPII & Ia \\
ASAS15hx & 0.0092 & 0.0083 & 13.587 & 0.006 & 1.039 & 0.005 & -0.03 & 0.005 & 1e-05 & 0.0 & 7.45 & CSPII & Ia \\
CSP12J & 0.0149 & 0.01468 & 18.52 & 0.202 & 0.484 & 0.025 & 0.555 & 0.12841 & -0.0004 & 0.0 & 10.09 & CSPII & Ia \\
CSP13abm & 0.0275 & 0.02818 & 16.938 & 0.01 & 1.129 & 0.01 & -0.006 & 0.00849 & -1e-05 & 0.0 & 11.5 & CSPII & Ia \\
CSP14aaq & 0.0362 & 0.03591 & 16.866 & 0.016 & 0.898 & 0.015 & -0.09 & 0.02052 & 4e-05 & 0.0 & 11.08 & CSPII & Ia \\
CSP14abn & 0.0233 & 0.0225 & 16.006 & 0.006 & 1.007 & 0.005 & -0.026 & 0.00424 & -1e-05 & 0.0 & 9.75 & CSPII & Ia \\
CSP14acl & 0.0289 & 0.02998 & 16.943 & 0.083 & 0.96 & 0.008 & -0.071 & 0.015 & -7e-05 & 0.0 & 11.5 & CSPII & Ia \\
CSP14adc & 0.0317 & 0.03244 & 17.915 & 0.018 & 0.811 & 0.01 & 0.232 & 0.0114 & 1e-05 & 0.0 & 10.81 & CSPII & Ia \\
CSP15B & 0.0208 & 0.01989 & 16.857 & 0.01 & 0.718 & 0.006 & 0.14 & 0.01082 & 0.0 & 0.0 & 10.95 & CSPII & Ia \\
CSP15aae & 0.017 & 0.01618 & 17.94 & 0.014 & 0.505 & 0.004 & 0.454 & 0.01063 & 0.0 & 0.0 & 11.14 & CSPII & Ia-91bg \\
KISS15m & 0.0254 & 0.02432 & 19.831 & 0.158 & 0.425 & 0.009 & 0.622 & 0.03176 & -2e-05 & 0.0 & 9.78 & CSPII & Ia-91bg \\
KISS15n & 0.024 & 0.02308 & 15.911 & 0.011 & 1.225 & 0.009 & 0.097 & 0.01063 & 4e-05 & 0.0 & 8.0 & CSPII & Ia-91T \\
LSQ11bk & 0.04 & 0.04027 & 17.101 & 0.016 & 1.071 & 0.016 & -0.078 & 0.01063 & -0.00011 & 0.0 & 6.53 & CSPII & Ia \\
LSQ11ot & 0.0273 & 0.02732 & 18.485 & 0.008 & 0.982 & 0.004 & 0.32 & 0.0064 & 0.0 & 0.0 & 10.17 & CSPII & Ia \\
LSQ11pn & 0.0327 & 0.03265 & 18.211 & 0.021 & 0.503 & 0.008 & 0.287 & 0.01769 & 0.0 & 0.0 & 10.7 & CSPII & Ia \\
LSQ12ca & 0.0995 & 0.0994 & 19.627 & 0.101 & 0.947 & 0.032 & -0.05 & 0.0728 & -0.00035 & 0.0 & 10.44 & CSPII & Ia \\
LSQ12fxd & 0.0313 & 0.03122 & 16.637 & 0.007 & 1.16 & 0.006 & -0.006 & 0.00566 & -0.0 & 0.0 & 10.28 & CSPII & Ia \\
LSQ13aiz & 0.0102 & 0.0092 & 14.122 & 0.015 & 0.964 & 0.006 & 0.08 & 0.0086 & 2e-05 & 0.0 & 8.24 & CSPII & Ia \\
LSQ13dsm & 0.042 & 0.04237 & 17.689 & 0.008 & 0.909 & 0.004 & -0.016 & 0.00781 & 1e-05 & 0.0 & 9.01 & CSPII & Ia \\
LSQ13ry & 0.031 & 0.02984 & 16.692 & 0.015 & 0.881 & 0.006 & -0.048 & 0.0114 & 2e-05 & 0.0 & 9.64 & CSPII & Ia \\
LSQ13vy & 0.0421 & 0.04177 & 18.44 & 0.017 & 0.891 & 0.005 & 0.076 & 0.00781 & 1e-05 & 0.0 & 10.17 & CSPII & Ia \\
LSQ14ajn & 0.0222 & 0.02101 & 17.008 & 0.011 & 0.654 & 0.004 & 0.075 & 0.00922 & -1e-05 & 0.0 & 10.11 & CSPII & Ia \\
LSQ14wp & 0.0706 & 0.06945 & 18.137 & 0.01 & 1.134 & 0.012 & -0.037 & 0.01063 & -0.0 & 0.0 & 7.48 & CSPII & Ia-91T \\
LSQ15aae & 0.0518 & 0.05156 & 18.389 & 0.011 & 1.218 & 0.007 & 0.077 & 0.00849 & 1e-05 & 0.0 & 10.27 & CSPII & Ia-91T \\
PS1-14ra & 0.0288 & 0.02808 & 17.218 & 0.008 & 0.777 & 0.006 & 0.06 & 0.0064 & -1e-05 & 0.0 & 10.65 & CSPII & Ia \\
PS1-14xw & 0.0246 & 0.0245 & 16.248 & 0.007 & 1.039 & 0.01 & 0.026 & 0.0064 & -1e-05 & 0.0 & 11.24 & CSPII & Ia \\
PS15sv & 0.0336 & 0.03328 & 16.711 & 0.01 & 0.993 & 0.005 & 0.011 & 0.00922 & 0.0 & 0.0 & 8.31 & CSPII & Ia-91T \\
PTF11pbp & 0.0277 & 0.0289 & 16.845 & 0.008 & 1.15 & 0.007 & 0.055 & 0.00707 & -1e-05 & 0.0 & 10.88 & CSPII & Ia \\
PTF11qnr & 0.015 & 0.01622 & 16.13 & 0.014 & 0.806 & 0.008 & 0.255 & 0.00922 & 2e-05 & 0.0 & 10.65 & CSPII & Ia \\
PTF13duj & 0.0159 & 0.01694 & 15.474 & 0.013 & 1.156 & 0.014 & 0.057 & 0.01204 & 0.0 & 0.0 & 10.73 & CSPII & Ia \\
PTF13dwl & 0.0864 & 0.08744 & 18.73 & 0.034 & 1.088 & 0.04 & -0.034 & 0.0114 & 0.00046 & 0.0 & 8.74 & CSPII & Ia \\
PTF13ebh & 0.0125 & 0.01326 & 15.712 & 0.01 & 0.636 & 0.004 & 0.123 & 0.00922 & 0.0 & 0.0 & 10.86 & CSPII & Ia \\
PTF14aje & 0.0282 & 0.02767 & 19.753 & 0.027 & 0.684 & 0.005 & 0.608 & 0.01082 & 0.0 & 0.0 & 10.78 & CSPII & Ia \\
PTF14fpg & 0.0328 & 0.034 & 17.294 & 0.01 & 1.078 & 0.013 & 0.01 & 0.00849 & -1e-05 & 0.0 & 11.5 & CSPII & Ia \\
PTF14w & 0.0201 & 0.01889 & 16.689 & 0.005 & 0.742 & 0.004 & 0.056 & 0.005 & 0.0 & 0.0 & 9.14 & CSPII & Ia \\
PTF14yw & 0.0181 & 0.01697 & 16.24 & 0.013 & 0.856 & 0.008 & -0.038 & 0.01063 & 1e-05 & 0.0 & 10.24 & CSPII & Ia \\
SN2004ef & 0.0298 & 0.03097 & 17.541 & 0.006 & 0.84 & 0.003 & 0.117 & 0.00566 & 0.0 & 0.0 & 10.74 & CSPI & Ia \\
SN2004eo & 0.0147 & 0.01569 & 15.563 & 0.009 & 0.869 & 0.005 & 0.025 & 0.00922 & 1e-05 & 0.0 & 11.16 & CSPI & Ia \\
SN2004ey & 0.0146 & 0.01578 & 15.127 & 0.004 & 1.009 & 0.003 & -0.051 & 0.00424 & 0.0 & 0.0 & 10.06 & CSPI & Ia \\
SN2004gs & 0.0283 & 0.02663 & 17.901 & 0.008 & 0.705 & 0.003 & 0.202 & 0.0064 & 0.0 & 0.0 & 10.63 & CSPI & Ia \\
SN2004gu & 0.0469 & 0.04583 & 17.857 & 0.021 & 1.149 & 0.011 & 0.145 & 0.01562 & -4e-05 & 0.0 & 10.02 & CSPI & Ia-06gz \\
SN2005M & 0.0256 & 0.022 & 16.193 & 0.005 & 1.204 & 0.003 & 0.018 & 0.00424 & 0.0 & 0.0 & 8.8 & CSPI & Ia-91T \\
SN2005al & 0.0133 & 0.01239 & 15.364 & 0.009 & 0.865 & 0.004 & -0.051 & 0.00721 & -1e-05 & 0.0 & 10.49 & CSPI & Ia \\
SN2005am & 0.009 & 0.00789 & 14.218 & 0.008 & 0.764 & 0.004 & 0.074 & 0.00781 & -0.0 & 0.0 & 10.83 & CSPI & Ia \\
SN2005be & 0.0356 & 0.035 & 17.397 & 0.086 & 0.761 & 0.023 & 0.053 & 0.0722 & -9e-05 & 0.0 & 10.4 & CSPI & Ia \\
SN2005bg & 0.0242 & 0.02307 & 16.191 & 0.082 & 1.061 & 0.037 & 0.042 & 0.06544 & -0.00034 & 0.0 & 9.91 & CSPI & Ia \\
SN2005bl & 0.0251 & 0.02404 & 19.752 & 0.068 & 0.427 & 0.011 & 0.689 & 0.0336 & 2e-05 & 0.0 & 11.01 & CSPI & Ia-91bg \\
SN2005bo & 0.015 & 0.01389 & 16.285 & 0.008 & 0.881 & 0.008 & 0.242 & 0.0064 & -3e-05 & 0.0 & 10.5 & CSPI & Ia \\
SN2005el & 0.0149 & 0.0149 & 15.184 & 0.012 & 0.865 & 0.003 & -0.073 & 0.01063 & 1e-05 & 0.0 & 10.84 & CSPI & Ia \\
SN2005eq & 0.0284 & 0.02896 & 16.586 & 0.011 & 1.234 & 0.007 & 0.035 & 0.0086 & -0.0 & 0.0 & 10.56 & CSPI & Ia-91T \\
SN2005hc & 0.0445 & 0.04591 & 17.748 & 0.007 & 1.142 & 0.007 & 0.012 & 0.0064 & -0.0 & 0.0 & 10.6 & CSPI & Ia \\
SN2005hj & 0.057 & 0.05797 & 17.997 & 0.022 & 1.152 & 0.019 & 0.08 & 0.01556 & -5e-05 & 0.0 & 9.32 & CSPI & Ia \\
SN2005iq & 0.0329 & 0.03402 & 17.134 & 0.012 & 0.88 & 0.006 & -0.032 & 0.01063 & 1e-05 & 0.0 & 10.54 & CSPI & Ia \\
