\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
ASAS14lp & 0.0062 & 0.0051 & 12.37 & 0.008 & 1.029 & 0.004 & 0.243 & 0.0064 & 0.0 & 0.0 & 10.74 & CSPII & Ia \\
ASAS14lq & 0.0251 & 0.02617 & 16.788 & 0.075 & 0.999 & 0.024 & 0.02 & 0.0794 & -8e-05 & 0.0 & 10.65 & CSPII & Ia \\
ASAS14lt & 0.0315 & 0.03202 & 17.031 & 0.019 & 0.944 & 0.008 & -0.033 & 0.0164 & -0.0 & 0.0 & 10.64 & CSPII & Ia \\
ASAS14lw & 0.0203 & 0.02089 & 16.431 & 0.012 & 1.25 & 0.007 & -0.012 & 0.00922 & 1e-05 & 0.0 & 6.35 & CSPII & Ia \\
ASAS14me & 0.0174 & 0.0178 & 15.791 & 0.008 & 1.078 & 0.005 & 0.007 & 0.00566 & 0.0 & 0.0 & 9.05 & CSPII & Ia \\
ASAS14mf & 0.0302 & 0.03108 & 17.128 & 0.013 & 0.984 & 0.005 & -0.012 & 0.01063 & -1e-05 & 0.0 & 8.93 & CSPII & Ia \\
ASAS14mw & 0.0271 & 0.02739 & 16.68 & 0.007 & 1.063 & 0.007 & -0.034 & 0.005 & 0.0 & 0.0 & 10.68 & CSPII & Ia \\
ASAS14my & 0.0217 & 0.0205 & 16.143 & 0.011 & 0.923 & 0.005 & 0.015 & 0.01 & 0.0 & 0.0 & 10.31 & CSPII & Ia \\
ASAS15aj & 0.012 & 0.01091 & 14.912 & 0.013 & 0.831 & 0.007 & 0.103 & 0.00922 & 0.0 & 0.0 & 11.2 & CSPII & Ia \\
ASAS15al & 0.0338 & 0.03378 & 17.541 & 0.06 & 1.077 & 0.028 & 0.055 & 0.0592 & -1e-05 & 0.0 & 8.07 & CSPII & Ia \\
ASAS15as & 0.0298 & 0.02868 & 17.037 & 0.01 & 1.076 & 0.014 & 0.029 & 0.00781 & -0.0 & 0.0 & 7.66 & CSPII & Ia \\
ASAS15ba & 0.024 & 0.02312 & 16.651 & 0.008 & 0.967 & 0.004 & 0.008 & 0.0064 & -0.0 & 0.0 & 7.99 & CSPII & Ia \\
ASAS15be & 0.0214 & 0.02188 & 16.404 & 0.008 & 1.134 & 0.006 & 0.019 & 0.0064 & 1e-05 & 0.0 & 7.8 & CSPII & Ia \\
