\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
ASAS15gr & 0.0248 & 0.02428 & 15.823 & 0.004 & 1.035 & 0.007 & -0.036 & 0.0064 & 1e-05 & 0.0 & 8.94 & CSPII & Ia \\
ASAS15hf & 0.0072 & 0.00617 & 13.961 & 0.007 & 0.943 & 0.005 & 0.009 & 0.01 & 1e-05 & 0.0 & 9.56 & CSPII & Ia \\
ASAS15hg & 0.0309 & 0.02975 & 16.84 & 0.028 & 0.82 & 0.02 & 0.063 & 0.0608 & -2e-05 & 0.0 & 10.42 & CSPII & Ia \\
ASAS15hx & 0.0092 & 0.0083 & 13.132 & 0.004 & 1.039 & 0.005 & -0.03 & 0.005 & 1e-05 & 0.0 & 7.45 & CSPII & Ia \\
CSP12J & 0.0149 & 0.01468 & 16.112 & 0.078 & 0.484 & 0.025 & 0.555 & 0.12841 & -0.00028 & 0.0 & 10.09 & CSPII & Ia \\
CSP12N & 0.0983 & 0.09713 & 18.599 & 0.006 & 1.053 & 0.012 & -0.114 & 0.00849 & 3e-05 & 0.0 & 7.51 & CSPII & Ia \\
CSP13aad & 0.0866 & 0.0868 & 18.622 & 0.036 & 1.19 & 0.033 & 0.02 & 0.0694 & -5e-05 & 0.0 & 9.65 & CSPII & Ia \\
CSP13abm & 0.0275 & 0.02818 & 16.333 & 0.006 & 1.129 & 0.01 & -0.006 & 0.00849 & -0.0 & 0.0 & 11.5 & CSPII & Ia \\
CSP14aaq & 0.0362 & 0.03591 & 16.651 & 0.014 & 0.898 & 0.015 & -0.09 & 0.02052 & 7e-05 & 0.0 & 11.08 & CSPII & Ia \\
CSP14abn & 0.0233 & 0.0225 & 15.596 & 0.003 & 1.007 & 0.005 & -0.026 & 0.00424 & -0.0 & 0.0 & 9.75 & CSPII & Ia \\
CSP14acl & 0.0289 & 0.02998 & 16.549 & 0.011 & 0.96 & 0.008 & -0.071 & 0.015 & -2e-05 & 0.0 & 11.5 & CSPII & Ia \\
CSP14adc & 0.0317 & 0.03244 & 17.06 & 0.008 & 0.811 & 0.01 & 0.232 & 0.0114 & 1e-05 & 0.0 & 10.81 & CSPII & Ia \\
CSP15B & 0.0208 & 0.01989 & 16.053 & 0.007 & 0.718 & 0.006 & 0.14 & 0.01082 & 1e-05 & 0.0 & 10.95 & CSPII & Ia \\
CSP15aae & 0.017 & 0.01618 & 16.544 & 0.008 & 0.505 & 0.004 & 0.454 & 0.01063 & 1e-05 & 0.0 & 11.14 & CSPII & Ia-91bg \\
KISS15m & 0.0254 & 0.02432 & 17.999 & 0.021 & 0.425 & 0.009 & 0.622 & 0.03176 & 4e-05 & 0.0 & 9.78 & CSPII & Ia-91bg \\
KISS15n & 0.024 & 0.02308 & 15.455 & 0.007 & 1.225 & 0.009 & 0.097 & 0.01063 & 3e-05 & 0.0 & 8.0 & CSPII & Ia-91T \\
LSQ11bk & 0.04 & 0.04027 & 16.88 & 0.007 & 1.071 & 0.016 & -0.078 & 0.01063 & -0.0 & 0.0 & 6.53 & CSPII & Ia \\
LSQ11ot & 0.0273 & 0.02732 & 17.71 & 0.004 & 0.982 & 0.004 & 0.32 & 0.0064 & 1e-05 & 0.0 & 10.17 & CSPII & Ia \\
LSQ11pn & 0.0327 & 0.03265 & 17.311 & 0.011 & 0.503 & 0.008 & 0.287 & 0.01769 & 3e-05 & 0.0 & 10.7 & CSPII & Ia \\
LSQ12agq & 0.0654 & 0.06416 & 18.359 & 0.036 & 1.152 & 0.027 & 0.089 & 0.07301 & -5e-05 & 0.0 & 9.3 & CSPII & Ia \\
LSQ12aor & 0.0946 & 0.09334 & 19.395 & 0.014 & 0.923 & 0.018 & -0.069 & 0.0247 & 0.00013 & 0.0 & 9.85 & CSPII & Ia \\
LSQ12bld & 0.0843 & 0.08336 & 18.947 & 0.008 & 0.896 & 0.009 & 0.078 & 0.01442 & 4e-05 & 0.0 & 10.55 & CSPII & Ia \\
LSQ12btn & 0.0553 & 0.05417 & 18.127 & 0.008 & 0.829 & 0.01 & 0.1 & 0.01063 & -0.0 & 0.0 & 10.9 & CSPII & Ia \\
LSQ12ca & 0.0995 & 0.0994 & 19.058 & 0.034 & 0.947 & 0.032 & -0.05 & 0.0728 & -8e-05 & 0.0 & 10.44 & CSPII & Ia \\
LSQ12cda & 0.1384 & 0.13749 & 20.141 & 0.069 & 0.813 & 0.126 & 0.045 & 0.12657 & -0.00397 & 0.0 & 9.82 & CSPII & Ia \\
LSQ12cdl & 0.109 & 0.10793 & 19.153 & 0.031 & 0.994 & 0.044 & -0.141 & 0.0728 & -2e-05 & 0.0 & 8.81 & CSPII & Ia \\
LSQ13aiz & 0.0102 & 0.0092 & 13.651 & 0.006 & 0.964 & 0.006 & 0.08 & 0.0086 & 1e-05 & 0.0 & 8.24 & CSPII & Ia \\
LSQ13dsm & 0.042 & 0.04237 & 17.256 & 0.005 & 0.909 & 0.004 & -0.016 & 0.00781 & 1e-05 & 0.0 & 9.01 & CSPII & Ia \\
LSQ13ry & 0.031 & 0.02984 & 16.519 & 0.01 & 0.881 & 0.006 & -0.048 & 0.0114 & 3e-05 & 0.0 & 9.64 & CSPII & Ia \\
LSQ13vy & 0.0421 & 0.04177 & 17.531 & 0.007 & 0.891 & 0.005 & 0.076 & 0.00781 & 2e-05 & 0.0 & 10.17 & CSPII & Ia \\
LSQ14ajn & 0.0222 & 0.02101 & 16.227 & 0.006 & 0.654 & 0.004 & 0.075 & 0.00922 & 0.0 & 0.0 & 10.11 & CSPII & Ia \\
LSQ14gov & 0.0892 & 0.08954 & 18.482 & 0.028 & 1.052 & 0.011 & -0.104 & 0.00781 & -1e-05 & 0.0 & 9.02 & CSPII & Ia \\
LSQ14wp & 0.0706 & 0.06945 & 17.874 & 0.006 & 1.134 & 0.012 & -0.037 & 0.01063 & 0.0 & 0.0 & 7.48 & CSPII & Ia-91T \\
LSQ15aae & 0.0518 & 0.05156 & 17.776 & 0.006 & 1.218 & 0.007 & 0.077 & 0.00849 & 2e-05 & 0.0 & 10.27 & CSPII & Ia-91T \\
PS1-14ra & 0.0288 & 0.02808 & 16.576 & 0.004 & 0.777 & 0.006 & 0.06 & 0.0064 & -0.0 & 0.0 & 10.65 & CSPII & Ia \\
PS1-14xw & 0.0246 & 0.0245 & 15.777 & 0.004 & 1.039 & 0.01 & 0.026 & 0.0064 & 1e-05 & 0.0 & 11.24 & CSPII & Ia \\
PS15sv & 0.0336 & 0.03328 & 16.391 & 0.006 & 0.993 & 0.005 & 0.011 & 0.00922 & 1e-05 & 0.0 & 8.31 & CSPII & Ia-91T \\
PTF11pbp & 0.0277 & 0.0289 & 16.29 & 0.005 & 1.15 & 0.007 & 0.055 & 0.00707 & 0.0 & 0.0 & 10.88 & CSPII & Ia \\
PTF11ppn & 0.0662 & 0.06725 & 18.576 & 0.106 & 0.641 & 0.037 & 0.189 & 0.17918 & 0.00081 & 0.0 & 11.02 & CSPII & Ia-91bg \\
PTF11pra & 0.0167 & 0.01754 & 17.634 & 0.027 & 0.439 & 0.017 & 0.92 & 0.06 & -0.0 & 0.0 & 10.68 & CSPII & Ia \\
PTF11qnr & 0.015 & 0.01622 & 15.583 & 0.006 & 0.806 & 0.008 & 0.255 & 0.00922 & 1e-05 & 0.0 & 10.65 & CSPII & Ia \\
PTF13duj & 0.0159 & 0.01694 & 15.035 & 0.008 & 1.156 & 0.014 & 0.057 & 0.01204 & 1e-05 & 0.0 & 10.73 & CSPII & Ia \\
PTF13dwl & 0.0864 & 0.08744 & 18.457 & 0.025 & 1.088 & 0.04 & -0.034 & 0.0114 & 0.00042 & 0.0 & 8.74 & CSPII & Ia \\
