\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
ASAS14my & 0.0217 & 0.0205 & 16.281 & 0.02 & 0.923 & 0.005 & 0.015 & 0.01 & 0.0 & 0.0 & 10.31 & CSPII & Ia \\
ASAS15aj & 0.012 & 0.01091 & 14.861 & 0.028 & 0.831 & 0.007 & 0.103 & 0.00922 & 3e-05 & 0.0 & 11.2 & CSPII & Ia \\
ASAS15al & 0.0338 & 0.03378 & 17.642 & 0.053 & 1.077 & 0.028 & 0.055 & 0.0592 & 2e-05 & 0.0 & 8.07 & CSPII & Ia \\
ASAS15as & 0.0298 & 0.02868 & 17.209 & 0.038 & 1.076 & 0.014 & 0.029 & 0.00781 & -3e-05 & 0.0 & 7.66 & CSPII & Ia \\
ASAS15ba & 0.024 & 0.02312 & 16.78 & 0.041 & 0.967 & 0.004 & 0.008 & 0.0064 & 1e-05 & 0.0 & 7.99 & CSPII & Ia \\
ASAS15be & 0.0214 & 0.02188 & 16.569 & 0.015 & 1.134 & 0.006 & 0.019 & 0.0064 & 1e-05 & 0.0 & 7.8 & CSPII & Ia \\
ASAS15bm & 0.0214 & 0.02079 & 16.33 & 0.019 & 0.991 & 0.005 & 0.127 & 0.0099 & 1e-05 & 0.0 & 10.02 & CSPII & Ia \\
ASAS15cb & 0.0411 & 0.04001 & 17.392 & 0.066 & 1.086 & 0.053 & 0.107 & 0.0794 & 0.0004 & 0.0 & 10.28 & CSPII & Ia \\
ASAS15cd & 0.0354 & 0.03429 & 17.56 & 0.018 & 1.003 & 0.005 & -0.021 & 0.00922 & 1e-05 & 0.0 & 9.95 & CSPII & Ia \\
ASAS15db & 0.0114 & 0.01099 & 14.96 & 0.028 & 0.955 & 0.003 & 0.086 & 0.0064 & 0.0 & 0.0 & 10.11 & CSPII & Ia \\
ASAS15dd & 0.0247 & 0.02436 & 16.243 & 0.045 & 0.849 & 0.006 & -0.007 & 0.00922 & 1e-05 & 0.0 & 10.41 & CSPII & Ia \\
ASAS15fr & 0.0345 & 0.03341 & 17.509 & 0.043 & 0.905 & 0.021 & -0.133 & 0.0658 & -0.0 & 0.0 & 9.98 & CSPII & Ia-91T \\
ASAS15ga & 0.0077 & 0.00663 & 14.684 & 0.181 & 0.496 & 0.03 & 0.431 & 0.04958 & -0.00024 & 0.0 & 10.38 & CSPII & Ia-91bg \\
ASAS15go & 0.0193 & 0.01891 & 16.239 & 0.032 & 1.071 & 0.012 & 0.224 & 0.0064 & 0.0 & 0.0 & 10.18 & CSPII & Ia \\
ASAS15gr & 0.0248 & 0.02428 & 16.612 & 0.043 & 1.035 & 0.007 & -0.036 & 0.0064 & 1e-05 & 0.0 & 8.94 & CSPII & Ia \\
ASAS15hf & 0.0072 & 0.00617 & 14.426 & 0.049 & 0.943 & 0.005 & 0.009 & 0.01 & 1e-05 & 0.0 & 9.56 & CSPII & Ia \\
ASAS15hx & 0.0092 & 0.0083 & 14.084 & 0.012 & 1.039 & 0.005 & -0.03 & 0.005 & -0.0 & 0.0 & 7.45 & CSPII & Ia \\
CSP12G & 0.038 & 0.03697 & 17.732 & 0.057 & 1.159 & 0.029 & 0.115 & 0.07382 & -3e-05 & 0.0 & 8.41 & CSPII & Ia \\
CSP13N & 0.0488 & 0.04776 & 17.954 & 0.034 & 1.138 & 0.025 & -0.004 & 0.06661 & 0.0 & 0.0 & 10.07 & CSPII & Ia-91T \\
CSP13abl & 0.0406 & 0.04037 & 17.951 & 0.06 & 0.817 & 0.051 & 1.073 & 0.06265 & -0.0004 & 0.0 & 8.91 & CSPII & Ia \\
CSP14aar & 0.0424 & 0.04217 & 17.876 & 0.066 & 0.982 & 0.022 & -0.021 & 0.00721 & 5e-05 & 0.0 & 9.07 & CSPII & Ia \\
CSP14abk & 0.0797 & 0.07974 & 18.147 & 0.091 & 0.96 & 0.025 & 0.081 & 0.02832 & 0.00016 & 0.0 & 11.5 & CSPII & Ia \\
CSP14abn & 0.0233 & 0.0225 & 16.428 & 0.013 & 1.007 & 0.005 & -0.026 & 0.00424 & -0.0 & 0.0 & 9.75 & CSPII & Ia \\
CSP14adc & 0.0317 & 0.03244 & 17.463 & 0.031 & 0.811 & 0.01 & 0.232 & 0.0114 & -1e-05 & 0.0 & 10.81 & CSPII & Ia \\
CSP15aae & 0.017 & 0.01618 & 16.368 & 0.034 & 0.505 & 0.004 & 0.454 & 0.01063 & 4e-05 & 0.0 & 11.14 & CSPII & Ia-91bg \\
KISS15m & 0.0254 & 0.02432 & 17.584 & 0.038 & 0.425 & 0.009 & 0.622 & 0.03176 & 8e-05 & 0.0 & 9.78 & CSPII & Ia-91bg \\
KISS15n & 0.024 & 0.02308 & 16.184 & 0.055 & 1.225 & 0.009 & 0.097 & 0.01063 & 2e-05 & 0.0 & 8.0 & CSPII & Ia-91T \\
LSQ11bk & 0.04 & 0.04027 & 17.958 & 0.026 & 1.071 & 0.016 & -0.078 & 0.01063 & 3e-05 & 0.0 & 6.53 & CSPII & Ia \\
LSQ11ot & 0.0273 & 0.02732 & 17.305 & 0.016 & 0.982 & 0.004 & 0.32 & 0.0064 & 0.0 & 0.0 & 10.17 & CSPII & Ia \\
LSQ11pn & 0.0327 & 0.03265 & 17.29 & 0.032 & 0.503 & 0.008 & 0.287 & 0.01769 & -2e-05 & 0.0 & 10.7 & CSPII & Ia \\
LSQ12bld & 0.0843 & 0.08336 & 19.325 & 0.09 & 0.896 & 0.009 & 0.078 & 0.01442 & 0.0 & 0.0 & 10.55 & CSPII & Ia \\
LSQ12btn & 0.0553 & 0.05417 & 18.511 & 0.054 & 0.829 & 0.01 & 0.1 & 0.01063 & 0.00012 & 0.0 & 10.9 & CSPII & Ia \\
LSQ12fuk & 0.0206 & 0.02059 & 16.381 & 0.034 & 1.004 & 0.006 & -0.008 & 0.01204 & 0.0 & 0.0 & 8.34 & CSPII & Ia \\
LSQ12fvl & 0.056 & 0.05593 & 18.913 & 0.054 & 0.596 & 0.009 & 0.246 & 0.01703 & 3e-05 & 0.0 & 10.74 & CSPII & Ia \\
LSQ12fxd & 0.0313 & 0.03122 & 16.996 & 0.021 & 1.16 & 0.006 & -0.006 & 0.00566 & -1e-05 & 0.0 & 10.28 & CSPII & Ia \\
LSQ12gdj & 0.0293 & 0.0303 & 16.92 & 0.035 & 1.165 & 0.007 & -0.031 & 0.00707 & 0.0 & 0.0 & 8.66 & CSPII & Ia-91T \\
