\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
ASAS15bm & 0.0214 & 0.02079 & 16.22 & 0.024 & 0.991 & 0.005 & 0.127 & 0.0099 & 0.0 & 0.0 & 10.02 & CSPII & Ia \\
ASAS15cb & 0.0411 & 0.04001 & 17.339 & 0.087 & 1.086 & 0.053 & 0.107 & 0.0794 & 0.0005 & 0.0 & 10.28 & CSPII & Ia \\
ASAS15cd & 0.0354 & 0.03429 & 17.465 & 0.018 & 1.003 & 0.005 & -0.021 & 0.00922 & 0.0 & 0.0 & 9.95 & CSPII & Ia \\
ASAS15db & 0.0114 & 0.01099 & 15.013 & 0.042 & 0.955 & 0.003 & 0.086 & 0.0064 & -1e-05 & 0.0 & 10.11 & CSPII & Ia \\
ASAS15dd & 0.0247 & 0.02436 & 16.508 & 0.077 & 0.849 & 0.006 & -0.007 & 0.00922 & -2e-05 & 0.0 & 10.41 & CSPII & Ia \\
ASAS15fr & 0.0345 & 0.03341 & 17.392 & 0.075 & 0.905 & 0.021 & -0.133 & 0.0658 & -7e-05 & 0.0 & 9.98 & CSPII & Ia-91T \\
ASAS15ga & 0.0077 & 0.00663 & 14.7 & 0.12 & 0.496 & 0.03 & 0.431 & 0.04958 & 0.00048 & 0.0 & 10.38 & CSPII & Ia-91bg \\
ASAS15go & 0.0193 & 0.01891 & 16.327 & 0.039 & 1.071 & 0.012 & 0.224 & 0.0064 & 0.0 & 0.0 & 10.18 & CSPII & Ia \\
ASAS15gr & 0.0248 & 0.02428 & 16.643 & 0.068 & 1.035 & 0.007 & -0.036 & 0.0064 & -0.0 & 0.0 & 8.94 & CSPII & Ia \\
ASAS15hf & 0.0072 & 0.00617 & 14.164 & 0.085 & 0.943 & 0.005 & 0.009 & 0.01 & -0.0 & 0.0 & 9.56 & CSPII & Ia \\
ASAS15hg & 0.0309 & 0.02975 & 17.266 & 0.09 & 0.82 & 0.02 & 0.063 & 0.0608 & -7e-05 & 0.0 & 10.42 & CSPII & Ia \\
ASAS15hx & 0.0092 & 0.0083 & 13.953 & 0.017 & 1.039 & 0.005 & -0.03 & 0.005 & -0.0 & 0.0 & 7.45 & CSPII & Ia \\
CSP12G & 0.038 & 0.03697 & 17.535 & 0.08 & 1.159 & 0.029 & 0.115 & 0.07382 & 0.00027 & 0.0 & 8.41 & CSPII & Ia \\
CSP12N & 0.0983 & 0.09713 & 19.81 & 0.036 & 1.053 & 0.012 & -0.114 & 0.00849 & 2e-05 & 0.0 & 7.51 & CSPII & Ia \\
CSP13N & 0.0488 & 0.04776 & 17.927 & 0.043 & 1.138 & 0.025 & -0.004 & 0.06661 & 0.00024 & 0.0 & 10.07 & CSPII & Ia-91T \\
CSP13V & 0.0611 & 0.05996 & 18.601 & 0.082 & 1.05 & 0.082 & -0.142 & 0.14309 & 0.00249 & 0.0 & 11.5 & CSPII & Ia \\
CSP13Z & 0.0801 & 0.07885 & 19.121 & 0.046 & 1.19 & 0.015 & -0.023 & 0.01063 & 0.00021 & 0.0 & 8.35 & CSPII & Ia-91T \\
CSP13aad & 0.0866 & 0.0868 & 19.324 & 0.061 & 1.19 & 0.033 & 0.02 & 0.0694 & 0.0005 & 0.0 & 9.65 & CSPII & Ia \\
CSP13aaf & 0.0787 & 0.07759 & 18.845 & 0.091 & 1.136 & 0.015 & -0.056 & 0.00849 & 0.0002 & 0.0 & 10.66 & CSPII & Ia \\
CSP13aao & 0.0616 & 0.06136 & 18.782 & 0.178 & 0.696 & 0.049 & 0.125 & 0.08684 & -0.00272 & 0.0 & 9.93 & CSPII & Ia \\
CSP13aaq & 0.0598 & 0.05976 & 18.673 & 0.04 & 0.984 & 0.007 & -0.055 & 0.01131 & -0.0 & 0.0 & 11.5 & CSPII & Ia \\
CSP13aay & 0.0588 & 0.05896 & 18.79 & 0.024 & 1.14 & 0.012 & 0.039 & 0.00922 & 2e-05 & 0.0 & 11.5 & CSPII & Ia \\
CSP13abl & 0.0406 & 0.04037 & 18.474 & 0.066 & 0.817 & 0.051 & 1.073 & 0.06265 & -0.00077 & 0.0 & 8.91 & CSPII & Ia \\
CSP13abs & 0.0783 & 0.07715 & 19.089 & 0.053 & 1.208 & 0.014 & -0.061 & 0.01628 & -1e-05 & 0.0 & 6.36 & CSPII & Ia-91T \\
CSP14aar & 0.0424 & 0.04217 & 17.807 & 0.112 & 0.982 & 0.022 & -0.021 & 0.00721 & 1e-05 & 0.0 & 9.07 & CSPII & Ia \\
CSP14abk & 0.0797 & 0.07974 & 18.341 & 0.068 & 0.96 & 0.025 & 0.081 & 0.02832 & -0.00013 & 0.0 & 11.5 & CSPII & Ia \\
CSP14abn & 0.0233 & 0.0225 & 16.361 & 0.017 & 1.007 & 0.005 & -0.026 & 0.00424 & -2e-05 & 0.0 & 9.75 & CSPII & Ia \\
CSP14acy & 0.066 & 0.06637 & 18.312 & 0.127 & 0.966 & 0.011 & 0.122 & 0.0178 & -8e-05 & 0.0 & 8.19 & CSPII & Ia-91T \\
CSP14adc & 0.0317 & 0.03244 & 17.395 & 0.038 & 0.811 & 0.01 & 0.232 & 0.0114 & -6e-05 & 0.0 & 10.81 & CSPII & Ia \\
CSP14ade & 0.0626 & 0.06246 & 18.609 & 0.064 & 1.228 & 0.013 & 0.035 & 0.01204 & 0.00018 & 0.0 & 10.49 & CSPII & Ia-91T \\
CSP15B & 0.0208 & 0.01989 & 16.225 & 0.031 & 0.718 & 0.006 & 0.14 & 0.01082 & 1e-05 & 0.0 & 10.95 & CSPII & Ia \\
CSP15aae & 0.017 & 0.01618 & 16.168 & 0.035 & 0.505 & 0.004 & 0.454 & 0.01063 & 2e-05 & 0.0 & 11.14 & CSPII & Ia-91bg \\
KISS13j & 0.0776 & 0.07653 & 18.877 & 0.346 & 0.895 & 0.026 & 0.132 & 0.02081 & -4e-05 & 0.0 & 9.83 & CSPII & Ia \\
KISS13l & 0.133 & 0.13201 & 20.549 & 0.145 & 1.087 & 0.115 & -0.038 & 0.09964 & -0.00256 & 0.0 & 8.69 & CSPII & Ia \\
KISS13v & 0.0962 & 0.0954 & 19.627 & 0.124 & 0.984 & 0.014 & 0.094 & 0.01769 & 0.00013 & 0.0 & 11.5 & CSPII & Ia \\
KISS15m & 0.0254 & 0.02432 & 17.657 & 0.043 & 0.425 & 0.009 & 0.622 & 0.03176 & 0.0001 & 0.0 & 9.78 & CSPII & Ia-91bg \\
KISS15n & 0.024 & 0.02308 & 15.994 & 0.088 & 1.225 & 0.009 & 0.097 & 0.01063 & 3e-05 & 0.0 & 8.0 & CSPII & Ia-91T \\
LSQ11bk & 0.04 & 0.04027 & 17.911 & 0.028 & 1.071 & 0.016 & -0.078 & 0.01063 & 1e-05 & 0.0 & 6.53 & CSPII & Ia \\
LSQ11ot & 0.0273 & 0.02732 & 17.418 & 0.022 & 0.982 & 0.004 & 0.32 & 0.0064 & -0.0 & 0.0 & 10.17 & CSPII & Ia \\
LSQ11pn & 0.0327 & 0.03265 & 17.513 & 0.034 & 0.503 & 0.008 & 0.287 & 0.01769 & -0.0 & 0.0 & 10.7 & CSPII & Ia \\
LSQ12agq & 0.0654 & 0.06416 & 18.953 & 0.096 & 1.152 & 0.027 & 0.089 & 0.07301 & 0.00024 & 0.0 & 9.3 & CSPII & Ia \\
LSQ12aor & 0.0946 & 0.09334 & 19.66 & 0.096 & 0.923 & 0.018 & -0.069 & 0.0247 & -0.00017 & 0.0 & 9.85 & CSPII & Ia \\
LSQ12bld & 0.0843 & 0.08336 & 19.434 & 0.032 & 0.896 & 0.009 & 0.078 & 0.01442 & -2e-05 & 0.0 & 10.55 & CSPII & Ia \\
LSQ12btn & 0.0553 & 0.05417 & 18.519 & 0.032 & 0.829 & 0.01 & 0.1 & 0.01063 & 0.0 & 0.0 & 10.9 & CSPII & Ia \\
LSQ12cda & 0.1384 & 0.13749 & 20.598 & 0.216 & 0.813 & 0.126 & 0.045 & 0.12657 & -0.01906 & 0.0 & 9.82 & CSPII & Ia \\
LSQ12cdl & 0.109 & 0.10793 & 20.04 & 0.079 & 0.994 & 0.044 & -0.141 & 0.0728 & -0.00044 & 0.0 & 8.81 & CSPII & Ia \\
LSQ12fuk & 0.0206 & 0.02059 & 16.291 & 0.059 & 1.004 & 0.006 & -0.008 & 0.01204 & -3e-05 & 0.0 & 8.34 & CSPII & Ia \\
LSQ12fvl & 0.056 & 0.05593 & 18.865 & 0.038 & 0.596 & 0.009 & 0.246 & 0.01703 & 6e-05 & 0.0 & 10.74 & CSPII & Ia \\
LSQ12fxd & 0.0313 & 0.03122 & 16.955 & 0.026 & 1.16 & 0.006 & -0.006 & 0.00566 & 4e-05 & 0.0 & 10.28 & CSPII & Ia \\
LSQ12gdj & 0.0293 & 0.0303 & 16.89 & 0.042 & 1.165 & 0.007 & -0.031 & 0.00707 & 2e-05 & 0.0 & 8.66 & CSPII & Ia-91T \\
LSQ12gln & 0.1022 & 0.10203 & 19.783 & 0.024 & 1.109 & 0.014 & -0.066 & 0.00781 & 3e-05 & 0.0 & 8.75 & CSPII & Ia \\
LSQ12hno & 0.0468 & 0.04727 & 18.231 & 0.029 & 0.989 & 0.014 & 0.049 & 0.01 & -0.00011 & 0.0 & 7.7 & CSPII & Ia \\
LSQ12hnr & 0.1255 & 0.1243 & 20.479 & 0.093 & 1.095 & 0.07 & 0.006 & 0.07684 & 0.00037 & 0.0 & 8.05 & CSPII & Ia \\
LSQ12hvj & 0.0724 & 0.07125 & 19.217 & 0.023 & 1.167 & 0.015 & 0.081 & 0.0099 & 5e-05 & 0.0 & 9.05 & CSPII & Ia \\
LSQ12hxx & 0.0689 & 0.06936 & 18.94 & 0.041 & 1.19 & 0.024 & 0.078 & 0.0164 & 0.00022 & 0.0 & 10.45 & CSPII & Ia \\
LSQ12hzj & 0.0346 & 0.0334 & 17.345 & 0.027 & 0.969 & 0.004 & -0.069 & 0.00707 & -0.0 & 0.0 & 9.35 & CSPII & Ia \\
LSQ12hzs & 0.0718 & 0.07208 & 19.067 & 0.032 & 1.02 & 0.018 & 0.1 & 0.01063 & 1e-05 & 0.0 & 10.02 & CSPII & Ia \\
LSQ13abo & 0.0681 & 0.06745 & 19.053 & 0.048 & 0.88 & 0.019 & 0.207 & 0.02778 & -7e-05 & 0.0 & 10.31 & CSPII & Ia \\
LSQ13cwp & 0.0662 & 0.0666 & 18.916 & 0.06 & 0.944 & 0.017 & 0.088 & 0.0228 & -1e-05 & 0.0 & 10.54 & CSPII & Ia \\
LSQ13dby & 0.0996 & 0.09993 & 19.922 & 0.027 & 1.139 & 0.014 & -0.04 & 0.01063 & 0.0 & 0.0 & 11.5 & CSPII & Ia \\
LSQ13dcy & 0.0801 & 0.0801 & 19.537 & 0.055 & 0.94 & 0.025 & 0.116 & 0.0191 & -0.00017 & 0.0 & 9.18 & CSPII & Ia \\
LSQ13dhj & 0.0929 & 0.0935 & 19.867 & 0.114 & 1.167 & 0.019 & 0.06 & 0.0191 & 0.00023 & 0.0 & 8.63 & CSPII & Ia \\
LSQ13dkp & 0.0685 & 0.06894 & 19.106 & 0.048 & 0.646 & 0.009 & 0.01 & 0.01345 & -5e-05 & 0.0 & 10.8 & CSPII & Ia \\
LSQ13dpm & 0.0521 & 0.05086 & 18.268 & 0.015 & 1.054 & 0.009 & -0.01 & 0.005 & 0.0 & 0.0 & 9.17 & CSPII & Ia \\
LSQ13dqh & 0.1035 & 0.1038 & 19.981 & 0.036 & 1.19 & 0.022 & -0.031 & 0.01703 & -6e-05 & 0.0 & 11.5 & CSPII & Ia \\
LSQ13dsm & 0.042 & 0.04237 & 17.944 & 0.082 & 0.909 & 0.004 & -0.016 & 0.00781 & -0.0 & 0.0 & 9.01 & CSPII & Ia \\
LSQ13lq & 0.0765 & 0.07555 & 18.91 & 0.063 & 1.069 & 0.026 & -0.071 & 0.00566 & 5e-05 & 0.0 & 8.44 & CSPII & Ia \\
LSQ13pf & 0.087 & 0.08604 & 19.472 & 0.084 & 0.915 & 0.039 & 0.233 & 0.07301 & -0.00051 & 0.0 & 10.26 & CSPII & Ia-91T \\
LSQ13ry & 0.031 & 0.02984 & 17.275 & 0.056 & 0.881 & 0.006 & -0.048 & 0.0114 & 1e-05 & 0.0 & 9.64 & CSPII & Ia \\
LSQ13vy & 0.0421 & 0.04177 & 17.819 & 0.088 & 0.891 & 0.005 & 0.076 & 0.00781 & -1e-05 & 0.0 & 10.17 & CSPII & Ia \\
LSQ14act & 0.0595 & 0.05905 & 18.822 & 0.028 & 0.691 & 0.007 & 0.003 & 0.0099 & -6e-05 & 0.0 & 10.17 & CSPII & Ia \\
LSQ14age & 0.0816 & 0.08054 & 19.46 & 0.043 & 1.115 & 0.014 & -0.009 & 0.01281 & 4e-05 & 0.0 & 8.42 & CSPII & Ia \\
LSQ14ahc & 0.0518 & 0.05086 & 18.086 & 0.029 & 1.222 & 0.01 & -0.029 & 0.01063 & -1e-05 & 0.0 & 9.13 & CSPII & Ia \\
LSQ14ahm & 0.051 & 0.04977 & 18.14 & 0.036 & 1.156 & 0.009 & -0.051 & 0.01063 & 1e-05 & 0.0 & 8.2 & CSPII & Ia \\
LSQ14asu & 0.0696 & 0.0684 & 19.251 & 0.078 & 0.767 & 0.013 & 0.004 & 0.0114 & -3e-05 & 0.0 & 10.67 & CSPII & Ia \\
LSQ14auy & 0.0832 & 0.08241 & 19.39 & 0.032 & 1.147 & 0.017 & -0.012 & 0.01273 & -2e-05 & 0.0 & 10.74 & CSPII & Ia \\
