p0	p1	p2	beta	alpha	sig_int	vel	H0
-19.182	-0.89	-0.02	2.65	-0.063	0.13	310.0	72.74
0.062	0.11	0.30	0.08	0.031	0.001	0.001	2.11
0.062	0.11	0.30	0.08	0.031	0.001	0.001	0.11
