sn	mu_obs	err_mu_obs	zcmb	mass_best	mass_low	mass_hhigh	sample
ASAS14ad	35.348	0.224	0.0274	8.61	8.23	8.78	CSPII
ASAS14hp	35.893	0.186	0.0387	9.09	8.98	9.15	CSPII
ASAS14hr	35.688	0.192	0.0327	10.34	10.18	10.45	CSPII
ASAS14hu	34.861	0.211	0.0219	9.93	9.8	10.24	CSPII
ASAS14jc	33.278	0.299	0.0118	9.46	9.32	9.77	CSPII
ASAS14jg	33.982	0.266	0.0143	8.76	8.57	8.88	CSPII
ASAS14jz	33.833	0.244	0.0156	8.23	8.11	8.35	CSPII
ASAS14kd	34.486	0.246	0.0231	10.14	10.03	10.23	CSPII
ASAS14kq	35.854	0.192	0.0326	8.91	8.78	9.11	CSPII
ASAS14lp	30.715	0.464	0.0062	10.74	10.6	10.91	CSPII
ASAS14lq	35.298	0.262	0.0251	10.65	10.46	10.73	CSPII
ASAS14lt	35.628	0.194	0.0315	10.64	10.56	10.7	CSPII
ASAS14lw	35.123	0.22	0.0203	6.35	6.08	6.72	CSPII
ASAS14me	34.179	0.242	0.0174	9.05	8.91	9.15	CSPII
ASAS14mw	35.273	0.198	0.0271	10.68	10.59	10.75	CSPII
ASAS14my	34.648	0.212	0.0217	10.31	10.11	10.74	CSPII
ASAS15aj	33.251	0.283	0.012	11.2	11.05	11.35	CSPII
ASAS15al	36.09	0.203	0.0338	8.07	8.03	8.23	CSPII
ASAS15as	35.576	0.228	0.0298	7.66	7.47	8.01	CSPII
ASAS15ba	34.96	0.217	0.024	7.99	7.83	8.19	CSPII
ASAS15be	34.866	0.213	0.0214	7.8	7.66	8.16	CSPII
ASAS15bm	34.577	0.212	0.0214	10.02	9.89	10.15	CSPII
ASAS15cb	35.973	0.217	0.0411	10.28	10.17	10.4	CSPII
ASAS15cd	35.909	0.188	0.0354	9.95	9.85	10.02	CSPII
ASAS15db	33.567	0.297	0.0114	10.11	9.98	10.19	CSPII
ASAS15dd	34.736	0.224	0.0247	10.41	10.31	10.52	CSPII
ASAS15fr	35.84	0.204	0.0345	9.98	9.89	10.06	CSPII
ASAS15ga	32.339	0.418	0.0077	10.38	10.18	10.48	CSPII
ASAS15go	34.634	0.222	0.0193	10.18	10.04	10.27	CSPII
ASAS15gr	35.011	0.218	0.0248	8.94	8.82	9.02	CSPII
ASAS15hf	32.474	0.415	0.0072	9.56	9.39	9.97	CSPII
ASAS15hx	32.462	0.338	0.0092	7.45	7.06	7.89	CSPII
CSP12G	35.861	0.213	0.038	8.41	8.29	8.49	CSPII
CSP13N	36.42	0.195	0.0488	10.07	9.88	10.24	CSPII
CSP13V	37.163	0.21	0.0611	11.5	11.5	11.5	CSPII
CSP13Z	37.568	0.182	0.0801	8.35	8.25	8.85	CSPII
CSP13aad	37.684	0.21	0.0866	9.65	9.59	9.8	CSPII
CSP13aaf	37.147	0.194	0.0787	10.66	10.53	11.04	CSPII
CSP13aam	37.05	0.194	0.0751	9.05	8.65	9.23	CSPII
CSP13aao	37.13	0.263	0.0616	9.93	9.8	10.09	CSPII
CSP13aaq	37.224	0.179	0.0598	11.5	11.5	11.5	CSPII
CSP13aay	37.343	0.178	0.0588	11.5	11.5	11.5	CSPII
CSP13abl	35.956	0.193	0.0406	8.91	8.9	9.04	CSPII
CSP13abs	37.313	0.178	0.0783	6.36	6.23	6.48	CSPII
CSP14aar	36.216	0.215	0.0424	9.07	8.9	9.42	CSPII
CSP14abn	34.803	0.207	0.0233	9.75	9.59	10.24	CSPII
CSP14acy	36.527	0.221	0.066	8.19	7.86	8.33	CSPII
CSP14adc	35.76	0.193	0.0317	10.81	10.67	11.14	CSPII
CSP14ade	36.756	0.274	0.0626	10.49	10.33	10.97	CSPII
CSP15B	33.966	0.243	0.0208	10.95	10.78	11.42	CSPII
CSP15aae	34.274	0.238	0.017	11.14	10.96	11.26	CSPII
KISS13j	36.81	0.377	0.0776	9.83	9.65	10.21	CSPII
KISS15m	35.39	0.204	0.0254	9.78	9.67	9.94	CSPII
KISS15n	34.35	0.22	0.024	8.0	7.8	8.17	CSPII
LSQ11bk	36.273	0.185	0.04	6.53	6.5	6.59	CSPII
LSQ11ot	35.562	0.198	0.0273	10.17	10.0	10.22	CSPII
LSQ11pn	35.43	0.192	0.0327	10.7	10.52	10.8	CSPII
LSQ12agq	37.066	0.227	0.0654	9.3	9.29	9.43	CSPII
LSQ12bld	37.821	0.177	0.0843	10.55	10.42	10.64	CSPII
LSQ12btn	36.684	0.202	0.0553	10.9	10.84	10.94	CSPII
LSQ12cdl	38.463	0.202	0.109	8.81	8.79	8.93	CSPII
LSQ12fuk	34.645	0.226	0.0206	8.34	8.2	8.45	CSPII
LSQ12fvl	36.782	0.182	0.056	10.74	10.55	10.93	CSPII
LSQ12fxd	35.618	0.192	0.0313	10.28	10.16	10.4	CSPII
LSQ12gdj	35.205	0.196	0.0293	8.66	8.36	8.76	CSPII
LSQ12hno	36.363	0.181	0.0468	7.7	7.64	7.9	CSPII
LSQ12hvj	37.641	0.177	0.0724	9.05	8.79	9.22	CSPII
LSQ12hxx	37.441	0.182	0.0689	10.45	10.28	10.58	CSPII
LSQ12hzj	35.893	0.19	0.0346	9.35	9.32	9.73	CSPII
LSQ12hzs	37.434	0.177	0.0718	10.02	9.88	10.42	CSPII
LSQ13abo	37.403	0.193	0.0681	10.31	10.04	10.34	CSPII
LSQ13cwp	37.235	0.179	0.0662	10.54	10.39	10.7	CSPII
LSQ13dcy	37.839	0.177	0.0801	9.18	9.01	9.34	CSPII
LSQ13dkp	37.253	0.185	0.0685	10.8	10.61	10.92	CSPII
LSQ13dpm	36.688	0.179	0.0521	9.17	9.06	9.6	CSPII
LSQ13dsm	36.092	0.185	0.042	9.01	8.85	9.14	CSPII
LSQ13lq	37.235	0.186	0.0765	8.44	8.0	8.63	CSPII
LSQ13pf	37.536	0.24	0.087	10.26	10.14	10.44	CSPII
LSQ13ry	35.668	0.195	0.031	9.64	9.54	9.7	CSPII
LSQ13vy	36.219	0.214	0.0421	10.17	10.15	10.33	CSPII
LSQ14act	37.028	0.18	0.0595	10.17	10.07	10.61	CSPII
LSQ14age	38.224	0.182	0.0816	8.42	8.33	8.59	CSPII
LSQ14ahc	36.654	0.18	0.0518	9.13	8.89	9.62	CSPII
LSQ14ahm	36.736	0.181	0.051	8.2	8.03	8.37	CSPII
LSQ14auy	37.718	0.177	0.0832	10.74	10.61	11.19	CSPII
LSQ14ba	37.765	0.176	0.0788	9.47	9.3	9.87	CSPII
LSQ14bjj	37.701	0.175	0.082	8.46	8.3	8.91	CSPII
LSQ14fms	37.653	0.263	0.0773	10.11	10.0	10.49	CSPII
LSQ14foj	36.466	0.184	0.0452	8.44	8.33	8.7	CSPII
LSQ14fom	36.837	0.181	0.0553	9.54	9.4	9.72	CSPII
LSQ14gfb	36.723	0.221	0.0528	10.3	10.11	10.64	CSPII
LSQ14ghv	37.486	0.183	0.0663	10.18	10.06	10.31	CSPII
LSQ14gov	37.893	0.176	0.0892	9.02	8.85	9.19	CSPII
LSQ14ip	36.959	0.2	0.0624	10.18	10.01	10.31	CSPII
LSQ14jp	36.204	0.216	0.0465	10.54	10.48	10.81	CSPII
LSQ14wp	37.29	0.178	0.0706	7.48	7.23	7.59	CSPII
LSQ14xi	36.76	0.181	0.0519	10.9	10.77	11.07	CSPII
LSQ15aja	37.32	0.177	0.07	7.46	7.34	7.58	CSPII
LSQ15alq	36.31	0.181	0.0481	10.4	10.22	10.82	CSPII
LSQ15bv	37.299	0.216	0.0701	10.56	10.39	10.77	CSPII
PS1-14ra	35.349	0.195	0.0288	10.65	10.35	10.72	CSPII
PS1-14rx	37.513	0.188	0.068	9.89	9.77	10.06	CSPII
PS1-14xw	34.882	0.203	0.0246	11.24	11.11	11.71	CSPII
PS15sv	35.503	0.189	0.0336	8.31	8.2	8.56	CSPII
PTF11pbp	35.393	0.197	0.0277	10.88	10.73	10.97	CSPII
PTF11ppn	36.444	0.257	0.0662	11.02	10.96	11.06	CSPII
PTF11pra	34.319	0.244	0.0167	10.68	10.57	10.75	CSPII
PTF11qnr	33.882	0.249	0.015	10.65	10.38	10.7	CSPII
PTF13duj	34.309	0.268	0.0159	10.73	10.61	10.82	CSPII
PTF13ebh	33.385	0.275	0.0125	10.86	10.8	11.02	CSPII
PTF13efe	37.631	0.176	0.0758	11.5	11.5	11.5	CSPII
PTF13ez	36.208	0.185	0.0445	9.71	9.52	9.84	CSPII
PTF14aje	35.164	0.196	0.0282	10.78	10.64	10.84	CSPII
PTF14gnl	36.681	0.181	0.0525	10.06	9.86	10.5	CSPII
PTF14w	34.688	0.217	0.0201	9.14	8.96	9.3	CSPII
PTF14yy	36.375	0.183	0.0441	9.41	9.25	9.52	CSPII
SN1981B	30.961	0.096	0.0072	10.47	10.42	10.68	
SN2001el	31.304	0.043	0.0037	10.34	10.34	10.34	
SN2002fk	32.457	0.061	0.0066	9.94	9.78	10.64	
SN2003du	32.769	0.073	0.0067	8.6	8.47	8.74	
SN2004ef	35.485	0.213	0.0298	10.74	10.63	10.8	CSPI
SN2004eo	34.009	0.25	0.0147	11.16	11.03	11.35	CSPI
SN2004ey	34.093	0.251	0.0146	10.06	9.76	10.41	CSPI
SN2004gs	35.234	0.208	0.0283	10.63	10.57	10.7	CSPI
SN2004gu	36.36	0.204	0.0469	10.02	9.74	10.19	CSPI
SN2005A	34.38	0.242	0.0183	11.19	11.07	11.26	CSPI
SN2005M	35.253	0.201	0.0256	8.8	8.38	8.92	CSPI
SN2005ag	37.878	0.196	0.0801	10.9	10.84	10.95	CSPI
SN2005al	34.004	0.273	0.0133	10.49	10.4	10.63	CSPI
SN2005am	32.297	0.349	0.009	10.83	10.68	11.26	CSPI
SN2005cf	32.253	0.121	0.007	9.65	9.6	9.6	
SN2005el	34.09	0.249	0.0149	10.84	10.7	11.24	CSPI
SN2005eq	35.509	0.196	0.0284	10.56	10.44	10.65	CSPI
SN2005hc	36.652	0.182	0.0445	10.6	10.52	10.65	CSPI
SN2005hj	36.804	0.187	0.057	9.32	9.22	9.38	CSPI
SN2005iq	35.839	0.191	0.0329	10.54	10.47	10.6	CSPI
SN2005kc	33.885	0.258	0.0139	11.06	10.6	11.5	CSPI
SN2005ke	31.88	0.622	0.0045	10.43	10.29	10.61	CSPI
SN2005ki	34.657	0.216	0.0204	10.8	10.62	10.86	CSPI
SN2005na	35.162	0.21	0.0268	10.97	10.9	11.05	CSPI
SN2006D	33.002	0.13	0.0096	9.76	9.54	9.85	CSPI
SN2006X	30.801	0.458	0.0063	9.33	9.06	9.43	CSPI
SN2006ax	34.37	0.227	0.018	10.92	10.79	11.04	CSPI
SN2006bd	35.463	0.204	0.0268	10.77	10.6	10.8	CSPI
SN2006bh	33.326	0.118	0.0105	10.43	10.31	10.49	CSPI
SN2006br	35.086	0.235	0.0255	10.97	10.87	11.36	CSPI
SN2006ej	34.491	0.231	0.0193	10.63	10.48	10.7	CSPI
SN2006eq	36.454	0.21	0.0484	10.19	9.79	10.65	CSPI
SN2006et	34.862	0.211	0.0216	10.8	10.7	10.88	CSPI
SN2006ev	35.531	0.214	0.0276	10.75	10.65	10.91	CSPI
SN2006gj	35.218	0.216	0.027	10.53	10.36	10.6	CSPI
SN2006gt	36.284	0.187	0.0436	9.93	9.87	9.94	CSPI
