sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
ASAS14ad,0.0264,0.0274352,1.013,0.004,16.389,0.005,-8.7,0.0159,0.0016,3.993e-06,CSPII,Ia,0.973,0,1,-0.03,0.011,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none
ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.743,0.005,-6.0,0.0295,0.0029,1.611e-05,CSPII,Ia,0.984,1,0,-0.055,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.028,0.011,-7.3,0.0131,0.0013,3.206e-05,CSPII,Ia,0.985,1,0,0.053,0.013,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none
ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.549,0.005,-8.4,0.0612,0.0061,8.928e-06,CSPII,Ia,0.983,0,1,-0.052,0.006,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none
ASAS14jc,0.0113167,0.0117796,0.914,0.005,15.1,0.008,-6.6,0.1346,0.0135,7.991e-06,CSPII,Ia,0.962,0,1,0.426,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none
ASAS14jg,0.0148167,0.014347,1.3,0.017,14.848,0.025,-0.8,0.0128,0.0013,-5.627e-06,CSPII,Ia,0.961,0,1,0.068,0.059,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none
ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.764,0.005,-9.9,0.0472,0.0047,1.234e-06,CSPII,Ia,0.952,0,0,-0.045,0.006,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none
ASAS14kd,0.0243,0.0230683,1.174,0.007,16.025,0.006,-9.4,0.0574,0.0057,8.819e-06,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none
ASAS14kq,0.0335767,0.0325972,1.157,0.011,16.71,0.009,-7.5,0.0155,0.0016,5.594e-05,CSPII,Ia,0.961,1,0,-0.038,0.011,0.0,8.78,8.91,9.11,N/A,-1.0,-1.0,none
ASAS14lo,0.0199167,0.0210151,0.95,0.018,15.916,0.027,0.9,0.0282,0.0028,-8.326e-06,CSPII,Ia,0.979,0,1,0.116,0.061,0.0,9.47,9.69,9.79,N/A,-1.0,-1.0,none
ASAS14lp,0.0050967,0.0062254,1.027,0.004,11.889,0.005,-15.4,0.0213,0.0021,4.949e-06,CSPII,Ia,0.335,0,1,0.237,0.006,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none
ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.052,0.039,4.2,0.0275,0.0028,-6.35e-05,CSPII,Ia,0.977,0,1,0.013,0.078,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none
ASAS14lt,0.0320233,0.0314552,0.947,0.008,16.456,0.012,-4.9,0.0474,0.0047,8.117e-06,CSPII,Ia,0.984,1,0,-0.034,0.016,0.0,10.56,10.64,10.7,N/A,-1.0,-1.0,none
