sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
ASAS14ad,0.0264,0.0274352,1.013,0.004,16.786,0.104,11.2,0.0159,0.0016,1.046e-05,,,,-0.03,0.011,0.0,N/A,-1.0,-1.0,,,,,8.61,8.23,8.78,CSPII,Ia,0.973,none
ASAS14hp,0.0388933,0.0386676,1.077,0.01,17.267,0.019,4.6,0.0295,0.0029,5.172e-06,,,,-0.055,0.005,0.0,N/A,-1.0,-1.0,,,,,9.09,8.98,9.15,CSPII,Ia,0.984,none
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.258,0.027,0.6,0.0131,0.0013,1.3e-06,,,,0.053,0.013,0.0,N/A,-1.0,-1.0,,,,,10.34,10.18,10.45,CSPII,Ia,0.985,none
ASAS14hu,0.0215851,0.0218919,1.05,0.007,16.19,0.012,-1.1,0.0612,0.0061,3.852e-06,,,,-0.052,0.006,0.0,N/A,-1.0,-1.0,,,,,9.93,9.8,10.24,CSPII,Ia,0.983,none
ASAS14jc,0.0113167,0.0117796,0.914,0.005,14.96,0.087,8.5,0.1346,0.0135,2.367e-05,,,,0.426,0.01,0.0,N/A,-1.0,-1.0,,,,,9.46,9.32,9.77,CSPII,Ia,0.962,none
ASAS14jg,0.0148167,0.014347,1.3,0.017,15.305,0.071,10.3,0.0128,0.0013,-2.225e-05,,,,0.068,0.059,0.0,N/A,-1.0,-1.0,,,,,8.76,8.57,8.88,CSPII,Ia,0.961,none
ASAS14jz,0.0157891,0.0156168,0.985,0.005,15.237,0.024,-4.3,0.0472,0.0047,2.815e-05,,,,-0.045,0.006,0.0,N/A,-1.0,-1.0,,,,,8.23,8.11,8.35,CSPII,Ia,0.952,none
ASAS14kd,0.0243,0.0230683,1.174,0.007,15.916,0.126,15.0,0.0574,0.0057,5.422e-05,,,,0.221,0.007,0.0,N/A,-1.0,-1.0,,,,,10.14,10.03,10.23,CSPII,Ia-91T,0.941,none
ASAS14kq,0.0335767,0.0325972,1.157,0.011,17.192,0.026,4.8,0.0155,0.0016,4.004e-05,,,,-0.038,0.011,0.0,N/A,-1.0,-1.0,,,,,8.91,8.78,9.11,CSPII,Ia,0.961,none
ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.186,0.02,-8.3,0.0213,0.0021,2.67e-05,,,,0.237,0.006,0.0,N/A,-1.0,-1.0,,,,,10.74,10.6,10.91,CSPII,Ia,0.335,none
ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.693,0.154,14.0,0.0275,0.0028,-0.0001707,,,,0.013,0.078,0.0,N/A,-1.0,-1.0,,,,,10.65,10.46,10.73,CSPII,Ia,0.977,none
ASAS14lt,0.0320233,0.0314552,0.947,0.008,17.033,0.033,0.4,0.0474,0.0047,-2.01e-05,,,,-0.034,0.016,0.0,N/A,-1.0,-1.0,,,,,10.64,10.56,10.7,CSPII,Ia,0.984,none
ASAS14lw,0.0208855,0.0202609,1.156,0.009,16.375,0.045,-4.3,0.0117,0.0012,4.118e-05,,,,-0.01,0.011,0.0,N/A,-1.0,-1.0,,,,,6.35,6.08,6.72,CSPII,Ia,0.939,none
