sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
SN2007mm	19.628	21.17	0.046	N/A	CSPI
SN2007nq	17.43	17.788	0.031	N/A	CSPI
SN2007ol	18.049	18.089	0.04	N/A	CSPI
SN2007on	13.032	13.679	0.032	N/A	CSPI
SN2007sr	12.794	13.234	0.08	N4038	CSPI
SN2007st	15.834	16.391	0.11	N/A	CSPI
SN2007ux	17.407	18.322	0.031	N/A	CSPI
SN2008C	15.663	16.178	0.095	N/A	CSPI
SN2008O	18.148	19.323	0.033	N/A	CSPI
SN2008R	15.27	15.904	0.031	N/A	CSPI
SN2008ar	16.232	16.282	0.031	N/A	CSPI
SN2008bc	14.748	14.609	0.03	N/A	CSPI
SN2008bf	15.711	15.555	0.03	N/A	CSPI
SN2008bi	17.001	19.053	0.223	N/A	CSPI
SN2008bq	16.713	16.694	0.031	N/A	CSPI
SN2008bt	16.761	18.662	0.032	N/A	CSPI
SN2008bz	17.953	17.878	0.078	N/A	CSPI
SN2008cc	14.338	14.973	0.081	N/A	CSPI
SN2008cd	18.809	23.634	0.348	N/A	CSPI
SN2008cf	17.057	16.999	0.08	N/A	CSPI
SN2008ff	15.403	15.843	0.034	N/A	CSPI
SN2008fl	15.681	15.95	0.071	N/A	CSPI
SN2008fp	13.936	15.248	0.031	N/A	CSPI
SN2008fr	16.823	16.757	0.091	N/A	CSPI
SN2008fu	17.717	17.768	0.12	N/A	CSPI
SN2008fw	13.994	14.099	0.081	N/A	CSPI
SN2008gg	16.572	16.956	0.079	N/A	CSPI
SN2008gl	16.818	17.017	0.031	N/A	CSPI
SN2008go	18.042	18.222	0.032	N/A	CSPI
SN2008gp	16.431	16.361	0.031	N/A	CSPI
SN2008hj	16.783	16.751	0.031	N/A	CSPI
SN2008hu	17.849	18.078	0.087	N/A	CSPI
SN2008hv	14.741	14.721	0.031	N/A	CSPI
SN2008ia	15.881	15.92	0.033	N/A	CSPI
SN2009D	15.752	15.527	0.03	N/A	CSPI
SN2009F	16.908	18.944	0.037	N/A	CSPI
SN2009I	18.181	20.018	0.039	N/A	CSPI
SN2009P	17.022	18.136	0.043	N/A	CSPI
SN2009Y	13.992	14.275	0.032	N/A	CSPI
SN2009aa	16.333	16.423	0.032	N/A	CSPI
SN2009ab	14.713	14.906	0.031	N/A	CSPI
SN2009ad	16.203	16.188	0.032	N/A	CSPI
SN2009ag	14.608	15.079	0.032	N/A	CSPI
SN2009al	16.246	16.865	0.039	N/A	CSPI
SN2009cz	15.701	15.582	0.032	N/A	CSPI
SN2009ds	15.482	15.671	0.033	N/A	CSPI
SN2009ig	13.453	13.694	0.038	N1015	N/A
SN2009le	15.346	15.617	0.031	N/A	CSPI
SN2011by	12.855	12.869	0.036	N3972	N/A
SN2011fe	10.004	10.056	0.032	M101	N/A
SN2011iy	12.154	12.837	0.032	N/A	CSPII
SN2011jh	15.09	16.355	0.031	N/A	CSPII
SN2011jn	17.919	18.551	0.12	N/A	CSPII
SN2011jt	16.644	17.208	0.11	N/A	CSPII
SN2012E	15.668	15.835	0.031	N/A	CSPII
SN2012G	15.98	15.704	0.031	N/A	CSPII
SN2012U	15.497	15.527	0.104	N/A	CSPII
SN2012ah	14.446	14.309	0.091	N/A	CSPII
SN2012aq	17.576	17.603	0.076	N/A	CSPII
SN2012ar	16.497	16.758	0.031	N/A	CSPII
SN2012bl	15.211	15.262	0.032	N/A	CSPII
SN2012bo	16.176	16.052	0.031	N/A	CSPII
SN2012cg	11.996	12.194	0.115	N4424	N/A
SN2012fr	11.935	11.861	0.034	N1365	CSPII
SN2012gm	15.347	15.87	0.03	N/A	CSPII
SN2012hd	14.899	15.362	0.031	N/A	CSPII
SN2012hl	17.732	18.819	0.033	N/A	CSPII
SN2012hr	13.623	13.675	0.03	N/A	CSPII
SN2012ht	13.003	13.077	0.033	N3347	CSPII
SN2012id	15.265	15.58	0.103	N/A	CSPII
SN2012ij	15.519	16.611	0.033	N/A	CSPII
SN2013E	13.768	13.861	0.03	N/A	CSPII
SN2013H	15.638	16.139	0.03	N/A	CSPII
SN2013M	16.616	16.737	0.032	N/A	CSPII
SN2013U	17.007	17.276	0.032	N/A	CSPII
SN2013aa	11.098	10.867	0.03	N/A	CSPII
SN2013ad	16.042	15.786	0.032	N/A	CSPII
