sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
ASAS14ad	17.192	17.182	0.046	N/A	CSPII
ASAS14hp	17.663	17.441	0.038	N/A	CSPII
ASAS14hr	17.402	17.787	0.041	N/A	CSPII
ASAS14hu	16.473	16.278	0.037	N/A	CSPII
ASAS14jc	14.95	16.39	0.039	N/A	CSPII
ASAS14jg	15.566	15.291	0.08	N/A	CSPII
ASAS14jz	15.348	15.281	0.038	N/A	CSPII
ASAS14kd	16.327	16.795	0.044	N/A	CSPII
ASAS14lp	12.356	13.048	0.037	N/A	CSPII
ASAS14lq	16.943	17.0	0.111	N/A	CSPII
ASAS14lt	17.117	17.078	0.04	N/A	CSPII
ASAS14lw	16.582	16.237	0.04	N/A	CSPII
ASAS14me	15.992	15.935	0.038	N/A	CSPII
ASAS14mw	16.906	16.714	0.037	N/A	CSPII
ASAS14my	16.281	16.417	0.038	N/A	CSPII
ASAS15aj	14.861	15.333	0.039	N/A	CSPII
ASAS15al	17.642	17.752	0.083	N/A	CSPII
ASAS15as	17.209	17.25	0.041	N/A	CSPII
ASAS15ba	16.78	16.892	0.038	N/A	CSPII
ASAS15be	16.569	16.489	0.038	N/A	CSPII
ASAS15bm	16.33	16.734	0.038	N/A	CSPII
ASAS15cb	17.392	17.602	0.151	N/A	CSPII
ASAS15cd	17.56	17.502	0.038	N/A	CSPII
ASAS15db	14.96	15.28	0.037	N/A	CSPII
ASAS15dd	16.243	16.382	0.04	N/A	CSPII
ASAS15fr	17.509	17.222	0.083	N/A	CSPII
ASAS15ga	14.684	16.308	0.101	N/A	CSPII
ASAS15go	16.239	16.827	0.039	N/A	CSPII
ASAS15gr	16.612	16.487	0.039	N/A	CSPII
ASAS15hf	14.426	14.537	0.04	N/A	CSPII
ASAS15hx	14.084	14.001	0.037	N/A	CSPII
CSP12G	17.732	17.89	0.108	N/A	CSPII
CSP13N	17.954	17.753	0.091	N/A	CSPII
CSP13abl	17.951	21.42	0.099	N/A	CSPII
CSP14aar	17.876	17.861	0.048	N/A	CSPII
CSP14abn	16.428	16.353	0.037	N/A	CSPII
CSP14adc	17.463	18.35	0.039	N/A	CSPII
CSP15aae	16.368	18.046	0.039	N/A	CSPII
KISS15m	17.584	19.793	0.047	N/A	CSPII
