sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
SN2005ki	16.294	16.401	0.023	N/A	CSPI
SN2005na	16.696	16.659	0.028	N/A	CSPI
SN2006D	14.67	15.149	0.023	N/A	CSPI
SN2006X	12.96	16.695	0.024	N/A	CSPI
SN2006ax	15.979	15.747	0.023	N/A	CSPI
SN2006bd	17.447	19.904	0.045	N/A	CSPI
SN2006bh	15.018	15.166	0.023	N/A	CSPI
SN2006br	17.126	19.733	0.128	N/A	CSPI
SN2006dd	12.825	12.589	0.002	N1316	N/A
SN2006ej	16.435	16.685	0.061	N/A	CSPI
SN2006eq	17.913	19.144	0.098	N/A	CSPI
SN2006et	16.417	16.571	0.024	N/A	CSPI
SN2006ev	17.245	17.934	0.075	N/A	CSPI
SN2006gj	17.232	18.392	0.027	N/A	CSPI
SN2006gt	18.308	19.381	0.034	N/A	CSPI
SN2006hb	15.761	16.597	0.066	N/A	CSPI
SN2006hx	17.929	18.31	0.039	N/A	CSPI
SN2006is	17.219	17.278	0.091	N/A	CSPI
SN2006kf	16.371	16.663	0.023	N/A	CSPI
SN2006mr	13.866	16.352	0.031	N/A	CSPI
SN2006ob	18.64	19.199	0.032	N/A	CSPI
SN2006os	17.287	18.305	0.07	N/A	CSPI
SN2007A	15.98	16.524	0.027	N/A	CSPI
SN2007N	16.308	19.501	0.03	N/A	CSPI
SN2007S	15.516	16.357	0.024	N/A	CSPI
SN2007af	13.621	13.89	0.011	N5584	CSPI
SN2007ai	17.146	17.417	0.029	N/A	CSPI
SN2007al	15.921	18.364	0.031	N/A	CSPI
SN2007as	16.075	16.441	0.023	N/A	CSPI
SN2007ax	15.092	17.491	0.031	N/A	CSPI
SN2007ba	17.618	18.913	0.032	N/A	CSPI
SN2007bc	16.471	16.668	0.024	N/A	CSPI
SN2007bd	17.374	17.458	0.026	N/A	CSPI
SN2007bm	13.994	15.379	0.024	N/A	CSPI
SN2007ca	15.723	16.421	0.025	N/A	CSPI
SN2007hj	15.705	16.651	0.024	N/A	CSPI
SN2007jg	17.575	17.782	0.025	N/A	CSPI
SN2007le	13.955	14.827	0.023	N/A	CSPI
SN2007nq	17.705	18.083	0.029	N/A	CSPI
SN2007on	13.264	13.909	0.005	N1404	CSPI
SN2007sr	13.396	13.857	0.039	N4038	CSPI
SN2007st	16.259	16.846	0.097	N/A	CSPI
SN2007ux	17.502	18.445	0.024	N/A	CSPI
SN2008C	16.063	16.599	0.083	N/A	CSPI
SN2008O	17.922	19.127	0.028	N/A	CSPI
SN2008R	15.478	16.118	0.025	N/A	CSPI
SN2008ar	16.862	16.924	0.024	N/A	CSPI
SN2008bc	15.729	15.574	0.023	N/A	CSPI
SN2008bf	16.924	16.74	0.023	N/A	CSPI
SN2008bi	16.188	18.26	0.184	N/A	CSPI
SN2008bq	17.421	17.34	0.032	N/A	CSPI
SN2008bt	16.34	18.239	0.045	N/A	CSPI
SN2008cc	14.636	15.313	0.067	N/A	CSPI
SN2008cf	18.029	17.969	0.082	N/A	CSPI
