sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
SN2006ob	18.64	19.198	0.027		CSPI
SN2006os	17.287	18.304	0.065		CSPI
SN2007A	15.98	16.523	0.068	N0105	CSPI
SN2007N	16.308	19.5	0.024		CSPI
SN2007S	15.516	16.356	0.019		CSPI
SN2007af	13.621	13.889	0.003	N5584	CSPI
SN2007ai	17.146	17.416	0.024		CSPI
SN2007al	15.921	18.363	0.026		CSPI
SN2007as	16.075	16.44	0.018		CSPI
SN2007ax	15.092	17.49	0.026		CSPI
SN2007ba	17.618	18.912	0.026		CSPI
SN2007bc	16.471	16.667	0.019		CSPI
SN2007bd	17.374	17.457	0.021		CSPI
SN2007bm	13.994	15.378	0.019		CSPI
SN2007ca	15.723	16.42	0.02		CSPI
SN2007hj	15.705	16.65	0.019		CSPI
SN2007jg	17.575	17.781	0.02		CSPI
SN2007le	13.955	14.826	0.018		CSPI
SN2007nq	17.705	18.082	0.023		CSPI
SN2007on	13.264	13.908	0.018		CSPI
SN2007sr	13.396	13.856	0.05	N4038	CSPI
SN2007st	16.259	16.845	0.092		CSPI
SN2007ux	17.502	18.444	0.018		CSPI
SN2008C	16.063	16.598	0.078		CSPI
SN2008O	17.922	19.126	0.022		CSPI
SN2008R	15.478	16.117	0.02		CSPI
SN2008ar	16.862	16.923	0.019		CSPI
SN2008bc	15.729	15.573	0.018		CSPI
SN2008bf	16.924	16.739	0.018		CSPI
SN2008bi	16.188	18.259	0.178		CSPI
SN2008bq	17.421	17.339	0.026		CSPI
SN2008bt	16.34	18.238	0.04		CSPI
SN2008cc	14.636	15.312	0.061		CSPI
SN2008cf	18.029	17.968	0.077		CSPI
SN2008ff	16.276	16.691	0.022		CSPI
SN2008fl	16.205	16.493	0.054		CSPI
SN2008fp	13.576	14.892	0.019		CSPI
SN2008fr	17.799	17.765	0.075		CSPI
SN2008fu	18.335	18.406	0.099		CSPI
SN2008fw	14.707	14.771	0.069		CSPI
SN2008gg	17.421	17.791	0.066		CSPI
SN2008gl	17.513	17.732	0.019		CSPI
SN2008gp	17.46	17.387	0.019		CSPI
SN2008hj	17.668	17.633	0.019		CSPI
SN2008hu	18.18	18.43	0.074		CSPI
SN2008hv	15.542	15.541	0.018		CSPI
SN2008ia	16.366	16.423	0.021		CSPI
SN2009D	16.662	16.37	0.018		CSPI
