sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
SN2009I	18.181	20.032	0.054		CSPI
SN2009P	17.022	18.147	0.066		CSPI
SN2009Y	13.992	14.221	0.047	N5728	CSPI
SN2009aa	16.333	16.432	0.032		CSPI
SN2009ab	14.713	14.929	0.032		CSPI
SN2009ad	16.203	16.146	0.036		CSPI
SN2009ag	14.608	15.101	0.033		CSPI
SN2009al	16.246	16.891	0.042		CSPI
SN2009cz	15.701	15.506	0.034		CSPI
SN2009ds	15.482	15.624	0.037		CSPI
SN2009ig	13.453	13.68	0.008	N1015	N/A
SN2009le	15.346	15.585	0.032		CSPI
SN2011by	12.855	12.892	0.009	N3972	N/A
SN2011fe	10.004	10.066	0.003	M101	N/A
SN2011iy	12.154	12.842	0.032		CSPII
SN2011jh	15.09	16.418	0.031		CSPII
SN2011jn	17.919	18.555	0.141		CSPII
SN2011jt	16.644	17.232	0.138		CSPII
SN2012E	15.668	15.86	0.032		CSPII
SN2012G	15.98	15.648	0.031		CSPII
SN2012U	15.497	15.543	0.127		CSPII
SN2012ah	14.446	14.303	0.11		CSPII
SN2012aq	17.576	17.651	0.092		CSPII
SN2012ar	16.497	16.779	0.031		CSPII
SN2012bl	15.211	15.24	0.034		CSPII
SN2012bo	16.176	15.99	0.031		CSPII
SN2012cg	11.996	12.206	0.018	N4424	N/A
SN2012fr	11.935	11.804	0.004	N1365	CSPII
SN2012gm	15.347	15.893	0.03		CSPII
SN2012hd	14.899	15.393	0.031		CSPII
SN2012hl	17.732	18.917	0.037		CSPII
SN2012hr	13.623	13.682	0.03		CSPII
SN2012ht	13.003	13.143	0.003	N3447	CSPII
SN2012id	15.265	15.619	0.129		CSPII
SN2012ij	15.519	16.62	0.034		CSPII
SN2013E	13.768	13.823	0.03		CSPII
SN2013H	15.638	16.134	0.03		CSPII
SN2013M	16.616	16.743	0.032		CSPII
SN2013U	17.007	17.194	0.033		CSPII
SN2013aa	11.098	10.865	0.003	N5643	CSPII
SN2013ad	16.042	15.759	0.033		CSPII
SN2013aj	14.09	14.459	0.031		CSPII
SN2013as	18.33	18.358	0.099		CSPII
SN2013ay	16.284	18.199	0.124		CSPII
SN2013az	17.229	17.694	0.104		CSPII
SN2013bc	18.187	20.776	0.089		CSPII
SN2013bz	15.446	15.704	0.033		CSPII
SN2013cg	13.848	14.156	0.122		CSPII
SN2013ct	11.843	12.066	0.032		CSPII
SN2013dy	12.747	13.28	0.017	N7250	N/A
SN2013fy	16.269	16.079	0.033		CSPII
SN2013fz	15.417	15.404	0.03		CSPII
SN2013gv	16.76	16.849	0.032		CSPII
SN2013gy	14.697	14.8	0.03		CSPII
SN2013hh	17.194	18.641	0.107		CSPII
SN2013hn	14.886	14.864	0.1		CSPII
SN2014D	17.251	19.057	0.106		CSPII
SN2014I	16.296	16.42	0.03		CSPII
SN2014Z	15.54	15.51	0.096		CSPII
SN2014ao	16.919	18.883	0.031		CSPII
SN2014at	16.389	16.326	0.03		CSPII
SN2014ba	16.121	19.263	0.141		CSPII
SN2014dl	16.031	15.798	0.033		CSPII
SN2014dn	17.66	19.948	0.031		CSPII
SN2014eg	15.512	16.004	0.033		CSPII
SN2015F	12.753	13.041	0.005	N2442	CSPII
SNhunt281	13.695	14.11	0.03		CSPII
