sn_1,zhel_1,zcmb_1,st_1,est_1,Mmax_1,eMmax_1,t0_1,EBVmw_1,eEBVmw_1,covMs_1,sample_1,subtype_1,quality_1,cosmo_1,phys_1,BV_1,eBV_1,covBV_M_1,ml_1,m_1,mu_1,host_1,dist_1,edist_1,caltype_1,sn_2,zhel_2,zcmb_2,st_2,est_2,Mmax_2,eMmax_2,t0_2,EBVmw_2,eEBVmw_2,covMs_2,sample_2,subtype_2,quality_2,cosmo_2,phys_2,BV_2,eBV_2,covBV_M_2,ml_2,m_2,mu_2,host_2,dist_2,edist_2,caltype_2,sn_3,zhel_3,zcmb_3,st_3,est_3,Mmax_3,eMmax_3,t0_3,EBVmw_3,eEBVmw_3,covMs_3,sample_3,subtype_3,quality_3,cosmo_3,phys_3,BV_3,eBV_3,covBV_M_3,ml_3,m_3,mu_3,host_3,dist_3,edist_3,caltype_3,sn_4,zhel_4,zcmb_4,st_4,est_4,Mmax_4,eMmax_4,t0_4,EBVmw_4,eEBVmw_4,covMs_4,sample_4,subtype_4,quality_4,cosmo_4,phys_4,BV_4,eBV_4,covBV_M_4,ml_4,m_4,mu_4,host_4,dist_4,edist_4,caltype_4,sn_5,zhel_5,zcmb_5,st_5,est_5,Mmax_5,eMmax_5,t0_5,EBVmw_5,eEBVmw_5,covMs_5,sample_5,subtype_5,quality_5,cosmo_5,phys_5,BV_5,eBV_5,covBV_M_5,ml_5,m_5,mu_5,host_5,dist_5,edist_5,caltype_5,sn_2a,zhel_2a,zcmb_2a,st_2a,est_2a,Mmax_2a,eMmax_2a,t0_2a,EBVmw_2a,eEBVmw_2a,covMs_2a,sample_2a,subtype_2a,quality_2a,cosmo_2a,phys_2a,BV_2a,eBV_2a,covBV_M_2a,ml_2a,m_2a,mu_2a,host_2a,dist_2a,edist_2a,caltype_2a,sn_3a,zhel_3a,zcmb_3a,st_3a,est_3a,Mmax_3a,eMmax_3a,t0_3a,EBVmw_3a,eEBVmw_3a,covMs_3a,sample_3a,subtype_3a,quality_3a,cosmo_3a,phys_3a,BV_3a,eBV_3a,covBV_M_3a,ml_3a,m_3a,mu_3a,host_3a,dist_3a,edist_3a,caltype_3a,sn_4a,zhel_4a,zcmb_4a,st_4a,est_4a,Mmax_4a,eMmax_4a,t0_4a,EBVmw_4a,eEBVmw_4a,covMs_4a,sample_4a,subtype_4a,quality_4a,cosmo_4a,phys_4a,BV_4a,eBV_4a,covBV_M_4a,ml_4a,m_4a,mu_4a,host_4a,dist_4a,edist_4a,caltype_4a,sn_5a,zhel_5a,zcmb_5a,st_5a,est_5a,Mmax_5a,eMmax_5a,t0_5a,EBVmw_5a,eEBVmw_5a,covMs_5a,sample_5a,subtype_5a,quality_5a,cosmo_5a,phys_5a,BV_5a,eBV_5a,covBV_M_5a,ml_5a,m_5a,mu_5a,host_5a,dist_5a,edist_5a,caltype_5a
PS15sv,0.033277,0.0335844,1.113,0.014,16.713,0.013,-1.4,0.0782,0.0078,-5.325E-5,CSPII,Ia-91T,0.977,1,1,0.013,0.013,0.0,8.2,8.31,8.56,N/A,-1.0,-1.0,none,PS15sv,0.033277,0.0335844,1.113,0.014,16.44,0.009,-3.0,0.0782,0.0078,-2.215E-5,CSPII,Ia-91T,0.977,1,1,0.013,0.013,8.1E-5,8.2,8.31,8.56,N/A,-1.0,-1.0,none,PS15sv,0.033277,0.0335844,1.113,0.014,16.412,0.007,-3.3,0.0782,0.0078,-2.27E-6,CSPII,Ia-91T,0.977,1,1,0.013,0.013,0.0,8.2,8.31,8.56,N/A,-1.0,-1.0,none,PS15sv,0.033277,0.0335844,1.113,0.014,16.427,0.009,-4.4,0.0782,0.0078,6.999E-5,CSPII,Ia-91T,0.977,1,1,0.013,0.013,-8.1E-5,8.2,8.31,8.56,N/A,-1.0,-1.0,none,PS15sv,0.033277,0.0335844,1.113,0.014,16.508,0.009,-5.0,0.0782,0.0078,4.538E-5,CSPII,Ia-91T,0.977,1,1,0.013,0.013,0.0,8.2,8.31,8.56,N/A,-1.0,-1.0,none,PS15sv,0.033277,0.0335844,1.113,0.014,17.085,0.014,0.1,0.0782,0.0078,4.121E-5,CSPII,Ia-91T,0.977,1,1,0.013,0.013,0.0,8.2,8.31,8.56,N/A,-1.0,-1.0,none,PS15sv,0.033277,0.0335844,1.113,0.014,17.189,0.033,2.6,0.0782,0.0078,2.929E-5,CSPII,Ia-91T,0.977,1,1,0.013,0.013,0.0,8.2,8.31,8.56,N/A,-1.0,-1.0,none,PS15sv,0.033277,0.0335844,1.113,0.014,16.933,0.018,2.9,0.0782,0.0078,1.498E-5,CSPII,Ia-91T,0.977,1,1,0.013,0.013,0.0,8.2,8.31,8.56,N/A,-1.0,-1.0,none,PS15sv,0.033277,0.0335844,1.113,0.014,17.466,0.087,6.3,0.0782,0.0078,6.2E-5,CSPII,Ia-91T,0.977,1,1,0.013,0.013,0.0,8.2,8.31,8.56,N/A,-1.0,-1.0,none
PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.852,0.009,-4.8,0.0507,0.0051,-7.633E-6,CSPII,Ia,0.984,1,1,0.051,0.007,0.0,10.73,10.88,10.97,N/A,-1.0,-1.0,none,PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.353,0.005,-6.4,0.0507,0.0051,-3.501E-6,CSPII,Ia,0.984,1,1,0.051,0.007,2.5E-5,10.73,10.88,10.97,N/A,-1.0,-1.0,none,PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.292,0.005,-6.7,0.0507,0.0051,1.224E-6,CSPII,Ia,0.984,1,1,0.051,0.007,0.0,10.73,10.88,10.97,N/A,-1.0,-1.0,none,PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.302,0.005,-7.6,0.0507,0.0051,1.987E-5,CSPII,Ia,0.984,1,1,0.051,0.007,-2.5E-5,10.73,10.88,10.97,N/A,-1.0,-1.0,none,PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.34,0.006,-8.7,0.0507,0.0051,1.46E-5,CSPII,Ia,0.984,1,1,0.051,0.007,0.0,10.73,10.88,10.97,N/A,-1.0,-1.0,none,PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.891,0.01,-3.5,0.0507,0.0051,1.978E-5,CSPII,Ia,0.984,1,1,0.051,0.007,0.0,10.73,10.88,10.97,N/A,-1.0,-1.0,none,PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.872,0.027,0.3,0.0507,0.0051,1.341E-5,CSPII,Ia,0.984,1,1,0.051,0.007,0.0,10.73,10.88,10.97,N/A,-1.0,-1.0,none,PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.711,0.016,0.5,0.0507,0.0051,8.861E-6,CSPII,Ia,0.984,1,1,0.051,0.007,0.0,10.73,10.88,10.97,N/A,-1.0,-1.0,none,PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.957,0.024,-0.0,0.0507,0.0051,6.106E-6,CSPII,Ia,0.984,1,1,0.051,0.007,0.0,10.73,10.88,10.97,N/A,-1.0,-1.0,none
PTF11qnr,0.0162167,0.0149985,0.807,0.008,16.127,0.014,-7.8,0.0556,0.0056,2.343E-5,CSPII,Ia,0.979,0,1,0.255,0.009,0.0,10.38,10.65,10.7,N/A,-1.0,-1.0,none,PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.763,0.007,-9.3,0.0556,0.0056,2.487E-5,CSPII,Ia,0.979,0,1,0.255,0.009,4.9E-5,10.38,10.65,10.7,N/A,-1.0,-1.0,none,PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.583,0.006,-9.5,0.0556,0.0056,1.488E-5,CSPII,Ia,0.979,0,1,0.255,0.009,0.0,10.38,10.65,10.7,N/A,-1.0,-1.0,none,PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.508,0.006,-10.7,0.0556,0.0056,1.991E-5,CSPII,Ia,0.979,0,1,0.255,0.009,-3.6E-5,10.38,10.65,10.7,N/A,-1.0,-1.0,none,PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.478,0.008,-10.5,0.0556,0.0056,1.454E-5,CSPII,Ia,0.979,0,1,0.255,0.009,0.0,10.38,10.65,10.7,N/A,-1.0,-1.0,none,PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.929,0.013,-6.8,0.0556,0.0056,1.621E-5,CSPII,Ia,0.979,0,1,0.255,0.009,0.0,10.38,10.65,10.7,N/A,-1.0,-1.0,none,PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.767,0.029,2.9,0.0556,0.0056,-4.275E-5,CSPII,Ia,0.979,0,1,0.255,0.009,0.0,10.38,10.65,10.7,N/A,-1.0,-1.0,none,PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.534,0.025,2.3,0.0556,0.0056,4.856E-5,CSPII,Ia,0.979,0,1,0.255,0.009,0.0,10.38,10.65,10.7,N/A,-1.0,-1.0,none,PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.691,0.02,3.5,0.0556,0.0056,-3.268E-6,CSPII,Ia,0.979,0,1,0.255,0.009,0.0,10.38,10.65,10.7,N/A,-1.0,-1.0,none
PTF13duj,0.01694,0.015867,1.158,0.013,15.501,0.012,-5.3,0.0665,0.0067,4.471E-6,CSPII,Ia,0.965,0,1,0.052,0.011,0.0,10.61,10.73,10.82,N/A,-1.0,-1.0,none,PTF13duj,0.01694,0.015867,1.158,0.013,15.051,0.008,-7.0,0.0665,0.0067,-5.587E-6,CSPII,Ia,0.965,0,1,0.052,0.011,6.4E-5,10.61,10.73,10.82,N/A,-1.0,-1.0,none,PTF13duj,0.01694,0.015867,1.158,0.013,15.03,0.008,-7.2,0.0665,0.0067,5.401E-6,CSPII,Ia,0.965,0,1,0.052,0.011,0.0,10.61,10.73,10.82,N/A,-1.0,-1.0,none,PTF13duj,0.01694,0.015867,1.158,0.013,14.999,0.008,-8.2,0.0665,0.0067,4.507E-5,CSPII,Ia,0.965,0,1,0.052,0.011,-6.4E-5,10.61,10.73,10.82,N/A,-1.0,-1.0,none,PTF13duj,0.01694,0.015867,1.158,0.013,15.087,0.011,-9.3,0.0665,0.0067,3.445E-5,CSPII,Ia,0.965,0,1,0.052,0.011,0.0,10.61,10.73,10.82,N/A,-1.0,-1.0,none,PTF13duj,0.01694,0.015867,1.158,0.013,15.757,0.018,-4.1,0.0665,0.0067,5.754E-5,CSPII,Ia,0.965,0,1,0.052,0.011,0.0,10.61,10.73,10.82,N/A,-1.0,-1.0,none,PTF13duj,0.01694,0.015867,1.158,0.013,15.904,0.091,15.8,0.0665,0.0067,2.35E-4,CSPII,Ia,0.965,0,1,0.052,0.011,0.0,10.61,10.73,10.82,N/A,-1.0,-1.0,none,PTF13duj,0.01694,0.015867,1.158,0.013,15.674,0.108,15.9,0.0665,0.0067,1.721E-4,CSPII,Ia,0.965,0,1,0.052,0.011,0.0,10.61,10.73,10.82,N/A,-1.0,-1.0,none,PTF13duj,0.01694,0.015867,1.158,0.013,15.916,0.058,15.4,0.0665,0.0067,-3.874E-5,CSPII,Ia,0.965,0,1,0.052,0.011,0.0,10.61,10.73,10.82,N/A,-1.0,-1.0,none
PTF13ebh,0.01326,0.012484,0.632,0.004,15.723,0.01,-11.5,0.0668,0.0067,2.291E-6,CSPII,Ia,0.975,0,1,0.117,0.009,0.0,10.8,10.86,11.02,N/A,-1.0,-1.0,none,PTF13ebh,0.01326,0.012484,0.632,0.004,15.042,0.007,-13.1,0.0668,0.0067,6.795E-6,CSPII,Ia,0.975,0,1,0.117,0.009,4.9E-5,10.8,10.86,11.02,N/A,-1.0,-1.0,none,PTF13ebh,0.01326,0.012484,0.632,0.004,14.977,0.007,-13.2,0.0668,0.0067,7.886E-6,CSPII,Ia,0.975,0,1,0.117,0.009,0.0,10.8,10.86,11.02,N/A,-1.0,-1.0,none,PTF13ebh,0.01326,0.012484,0.632,0.004,14.925,0.006,-14.3,0.0668,0.0067,8.065E-6,CSPII,Ia,0.975,0,1,0.117,0.009,-3.6E-5,10.8,10.86,11.02,N/A,-1.0,-1.0,none,PTF13ebh,0.01326,0.012484,0.632,0.004,14.915,0.008,-14.8,0.0668,0.0067,5.134E-6,CSPII,Ia,0.975,0,1,0.117,0.009,0.0,10.8,10.86,11.02,N/A,-1.0,-1.0,none,PTF13ebh,0.01326,0.012484,0.632,0.004,15.334,0.011,-11.6,0.0668,0.0067,-1.175E-6,CSPII,Ia,0.975,0,1,0.117,0.009,0.0,10.8,10.86,11.02,N/A,-1.0,-1.0,none,PTF13ebh,0.01326,0.012484,0.632,0.004,15.196,0.024,-9.9,0.0668,0.0067,-3.104E-6,CSPII,Ia,0.975,0,1,0.117,0.009,0.0,10.8,10.86,11.02,N/A,-1.0,-1.0,none,PTF13ebh,0.01326,0.012484,0.632,0.004,15.083,0.023,-9.5,0.0668,0.0067,-1.362E-5,CSPII,Ia,0.975,0,1,0.117,0.009,0.0,10.8,10.86,11.02,N/A,-1.0,-1.0,none,PTF13ebh,0.01326,0.012484,0.632,0.004,15.243,0.023,-8.3,0.0668,0.0067,-5.58E-6,CSPII,Ia,0.975,0,1,0.117,0.009,0.0,10.8,10.86,11.02,N/A,-1.0,-1.0,none
PTF14aje,0.0276708,0.0282271,0.685,0.006,19.775,0.044,-1.7,0.1524,0.0152,1.047E-5,CSPII,Ia,0.978,1,0,0.582,0.014,0.0,10.64,10.78,10.84,N/A,-1.0,-1.0,none,PTF14aje,0.0276708,0.0282271,0.685,0.006,18.511,0.011,-3.3,0.1524,0.0152,1.43E-5,CSPII,Ia,0.978,1,0,0.582,0.014,1.21E-4,10.64,10.78,10.84,N/A,-1.0,-1.0,none,PTF14aje,0.0276708,0.0282271,0.685,0.006,18.219,0.008,-3.5,0.1524,0.0152,1.68E-5,CSPII,Ia,0.978,1,0,0.582,0.014,0.0,10.64,10.78,10.84,N/A,-1.0,-1.0,none,PTF14aje,0.0276708,0.0282271,0.685,0.006,17.929,0.008,-4.5,0.1524,0.0152,1.167E-5,CSPII,Ia,0.978,1,0,0.582,0.014,-6.4E-5,10.64,10.78,10.84,N/A,-1.0,-1.0,none,PTF14aje,0.0276708,0.0282271,0.685,0.006,17.682,0.006,-6.7,0.1524,0.0152,-1.33E-6,CSPII,Ia,0.978,1,0,0.582,0.014,0.0,10.64,10.78,10.84,N/A,-1.0,-1.0,none,PTF14aje,0.0276708,0.0282271,0.685,0.006,17.771,0.009,-3.2,0.1524,0.0152,-1.417E-5,CSPII,Ia,0.978,1,0,0.582,0.014,0.0,10.64,10.78,10.84,N/A,-1.0,-1.0,none,PTF14aje,0.0276708,0.0282271,0.685,0.006,17.348,0.026,0.2,0.1524,0.0152,-3.373E-5,CSPII,Ia,0.978,1,0,0.582,0.014,0.0,10.64,10.78,10.84,N/A,-1.0,-1.0,none,PTF14aje,0.0276708,0.0282271,0.685,0.006,17.108,0.02,0.5,0.1524,0.0152,-3.06E-5,CSPII,Ia,0.978,1,0,0.582,0.014,0.0,10.64,10.78,10.84,N/A,-1.0,-1.0,none,PTF14aje,0.0276708,0.0282271,0.685,0.006,17.162,0.035,0.4,0.1524,0.0152,-2.044E-5,CSPII,Ia,0.978,1,0,0.582,0.014,0.0,10.64,10.78,10.84,N/A,-1.0,-1.0,none
PTF14w,0.0188933,0.0200839,0.743,0.004,16.703,0.005,-4.7,0.0205,0.0021,3.175E-6,CSPII,Ia,0.975,0,1,0.05,0.005,0.0,8.96,9.14,9.3,N/A,-1.0,-1.0,none,PTF14w,0.0188933,0.0200839,0.743,0.004,16.086,0.004,-6.3,0.0205,0.0021,4.873E-6,CSPII,Ia,0.975,0,1,0.05,0.005,1.6E-5,8.96,9.14,9.3,N/A,-1.0,-1.0,none,PTF14w,0.0188933,0.0200839,0.743,0.004,16.034,0.004,-6.4,0.0205,0.0021,4.122E-6,CSPII,Ia,0.975,0,1,0.05,0.005,0.0,8.96,9.14,9.3,N/A,-1.0,-1.0,none,PTF14w,0.0188933,0.0200839,0.743,0.004,16.036,0.003,-7.4,0.0205,0.0021,1.559E-6,CSPII,Ia,0.975,0,1,0.05,0.005,-9.0E-6,8.96,9.14,9.3,N/A,-1.0,-1.0,none,PTF14w,0.0188933,0.0200839,0.743,0.004,16.073,0.004,-7.6,0.0205,0.0021,2.336E-6,CSPII,Ia,0.975,0,1,0.05,0.005,0.0,8.96,9.14,9.3,N/A,-1.0,-1.0,none,PTF14w,0.0188933,0.0200839,0.743,0.004,16.562,0.007,-4.1,0.0205,0.0021,-8.458E-7,CSPII,Ia,0.975,0,1,0.05,0.005,0.0,8.96,9.14,9.3,N/A,-1.0,-1.0,none,PTF14w,0.0188933,0.0200839,0.743,0.004,16.43,0.019,0.5,0.0205,0.0021,-1.121E-5,CSPII,Ia,0.975,0,1,0.05,0.005,0.0,8.96,9.14,9.3,N/A,-1.0,-1.0,none,PTF14w,0.0188933,0.0200839,0.743,0.004,16.322,0.013,0.4,0.0205,0.0021,-6.109E-7,CSPII,Ia,0.975,0,1,0.05,0.005,0.0,8.96,9.14,9.3,N/A,-1.0,-1.0,none,PTF14w,0.0188933,0.0200839,0.743,0.004,16.436,0.018,1.6,0.0205,0.0021,-8.741E-6,CSPII,Ia,0.975,0,1,0.05,0.005,0.0,8.96,9.14,9.3,N/A,-1.0,-1.0,none
SN2004ef,0.0309667,0.02977,0.84,0.003,17.539,0.006,-6.4,0.0458,0.0046,3.204E-6,CSPI,Ia,0.981,0,0,0.119,0.006,0.0,10.63,10.74,10.8,N/A,-1.0,-1.0,none,SN2004ef,0.0309667,0.02977,0.84,0.003,16.87,0.004,-9.0,0.0458,0.0046,4.988E-6,CSPI,Ia,0.981,0,0,0.119,0.006,1.6E-5,10.63,10.74,10.8,N/A,-1.0,-1.0,none,SN2004ef,0.0309667,0.02977,0.84,0.003,16.79,0.004,-9.2,0.0458,0.0046,4.487E-6,CSPI,Ia,0.981,0,0,0.119,0.006,0.0,10.63,10.74,10.8,N/A,-1.0,-1.0,none,SN2004ef,0.0309667,0.02977,0.84,0.003,16.751,0.004,-10.3,0.0458,0.0046,5.148E-6,CSPI,Ia,0.981,0,0,0.119,0.006,-1.6E-5,10.63,10.74,10.8,N/A,-1.0,-1.0,none,SN2004ef,0.0309667,0.02977,0.84,0.003,16.771,0.005,-10.2,0.0458,0.0046,4.172E-6,CSPI,Ia,0.981,0,0,0.119,0.006,0.0,10.63,10.74,10.8,N/A,-1.0,-1.0,none,SN2004ef,0.0309667,0.02977,0.84,0.003,17.318,0.008,-6.3,0.0458,0.0046,4.657E-6,CSPI,Ia,0.981,0,0,0.119,0.006,0.0,10.63,10.74,10.8,N/A,-1.0,-1.0,none,SN2004ef,0.0309667,0.02977,0.84,0.003,17.21,0.077,9.5,0.0458,0.0046,-1.262E-5,CSPI,Ia,0.981,0,0,0.119,0.006,0.0,10.63,10.74,10.8,N/A,-1.0,-1.0,none,SN2004ef,0.0309667,0.02977,0.84,0.003,17.049,0.086,8.6,0.0458,0.0046,3.226E-6,CSPI,Ia,0.981,0,0,0.119,0.006,0.0,10.63,10.74,10.8,N/A,-1.0,-1.0,none,SN2004ef,0.0309667,0.02977,0.84,0.003,17.257,0.047,9.7,0.0458,0.0046,-1.997E-6,CSPI,Ia,0.981,0,0,0.119,0.006,0.0,10.63,10.74,10.8,N/A,-1.0,-1.0,none
SN2004eo,0.01569,0.0147367,0.867,0.005,15.561,0.009,-10.8,0.093,0.0093,5.766E-6,CSPI,Ia,0.979,0,0,0.023,0.009,0.0,11.03,11.16,11.35,N/A,-1.0,-1.0,none,SN2004eo,0.01569,0.0147367,0.867,0.005,15.126,0.007,-12.3,0.093,0.0093,1.176E-5,CSPI,Ia,0.979,0,0,0.023,0.009,4.9E-5,11.03,11.16,11.35,N/A,-1.0,-1.0,none,SN2004eo,0.01569,0.0147367,0.867,0.005,15.056,0.008,-12.6,0.093,0.0093,1.244E-5,CSPI,Ia,0.979,0,0,0.023,0.009,0.0,11.03,11.16,11.35,N/A,-1.0,-1.0,none,SN2004eo,0.01569,0.0147367,0.867,0.005,15.103,0.006,-13.7,0.093,0.0093,7.47E-6,CSPI,Ia,0.979,0,0,0.023,0.009,-3.6E-5,11.03,11.16,11.35,N/A,-1.0,-1.0,none,SN2004eo,0.01569,0.0147367,0.867,0.005,15.064,0.009,-13.6,0.093,0.0093,1.005E-5,CSPI,Ia,0.979,0,0,0.023,0.009,0.0,11.03,11.16,11.35,N/A,-1.0,-1.0,none,SN2004eo,0.01569,0.0147367,0.867,0.005,15.559,0.012,-9.5,0.093,0.0093,7.93E-6,CSPI,Ia,0.979,0,0,0.023,0.009,0.0,11.03,11.16,11.35,N/A,-1.0,-1.0,none,SN2004eo,0.01569,0.0147367,0.867,0.005,15.569,0.018,-4.7,0.093,0.0093,3.372E-6,CSPI,Ia,0.979,0,0,0.023,0.009,0.0,11.03,11.16,11.35,N/A,-1.0,-1.0,none,SN2004eo,0.01569,0.0147367,0.867,0.005,15.478,0.012,-5.7,0.093,0.0093,5.475E-6,CSPI,Ia,0.979,0,0,0.023,0.009,0.0,11.03,11.16,11.35,N/A,-1.0,-1.0,none,SN2004eo,0.01569,0.0147367,0.867,0.005,15.701,0.015,-4.7,0.093,0.0093,1.33E-5,CSPI,Ia,0.979,0,0,0.023,0.009,0.0,11.03,11.16,11.35,N/A,-1.0,-1.0,none
SN2004ey,0.0157767,0.0146267,1.008,0.003,15.128,0.005,-7.4,0.1197,0.012,1.625E-6,CSPI,Ia,0.973,0,0,-0.054,0.004,0.0,9.76,10.06,10.41,N/A,-1.0,-1.0,none,SN2004ey,0.0157767,0.0146267,1.008,0.003,14.777,0.003,-8.9,0.1197,0.012,2.232E-6,CSPI,Ia,0.973,0,0,-0.054,0.004,9.0E-6,9.76,10.06,10.41,N/A,-1.0,-1.0,none,SN2004ey,0.0157767,0.0146267,1.008,0.003,14.755,0.003,-9.2,0.1197,0.012,2.099E-6,CSPI,Ia,0.973,0,0,-0.054,0.004,0.0,9.76,10.06,10.41,N/A,-1.0,-1.0,none,SN2004ey,0.0157767,0.0146267,1.008,0.003,14.831,0.003,-10.1,0.1197,0.012,2.027E-6,CSPI,Ia,0.973,0,0,-0.054,0.004,-9.0E-6,9.76,10.06,10.41,N/A,-1.0,-1.0,none,SN2004ey,0.0157767,0.0146267,1.008,0.003,14.921,0.004,-10.5,0.1197,0.012,1.885E-6,CSPI,Ia,0.973,0,0,-0.054,0.004,0.0,9.76,10.06,10.41,N/A,-1.0,-1.0,none,SN2004ey,0.0157767,0.0146267,1.008,0.003,15.536,0.006,-5.5,0.1197,0.012,1.47E-6,CSPI,Ia,0.973,0,0,-0.054,0.004,0.0,9.76,10.06,10.41,N/A,-1.0,-1.0,none,SN2004ey,0.0157767,0.0146267,1.008,0.003,15.56,0.012,1.8,0.1197,0.012,2.537E-6,CSPI,Ia,0.973,0,0,-0.054,0.004,0.0,9.76,10.06,10.41,N/A,-1.0,-1.0,none,SN2004ey,0.0157767,0.0146267,1.008,0.003,15.446,0.007,0.4,0.1197,0.012,7.873E-7,CSPI,Ia,0.973,0,0,-0.054,0.004,0.0,9.76,10.06,10.41,N/A,-1.0,-1.0,none,SN2004ey,0.0157767,0.0146267,1.008,0.003,15.772,0.014,1.5,0.1197,0.012,6.049E-6,CSPI,Ia,0.973,0,0,-0.054,0.004,0.0,9.76,10.06,10.41,N/A,-1.0,-1.0,none
SN2004gs,0.0266267,0.0282767,0.707,0.003,17.893,0.008,-2.3,0.0257,0.0026,5.201E-8,CSPI,Ia,0.982,0,0,0.205,0.006,0.0,10.57,10.63,10.7,N/A,-1.0,-1.0,none,SN2004gs,0.0266267,0.0282767,0.707,0.003,17.184,0.004,-3.9,0.0257,0.0026,3.039E-6,CSPI,Ia,0.982,0,0,0.205,0.006,1.6E-5,10.57,10.63,10.7,N/A,-1.0,-1.0,none,SN2004gs,0.0266267,0.0282767,0.707,0.003,17.053,0.004,-4.0,0.0257,0.0026,2.973E-6,CSPI,Ia,0.982,0,0,0.205,0.006,0.0,10.57,10.63,10.7,N/A,-1.0,-1.0,none,SN2004gs,0.0266267,0.0282767,0.707,0.003,16.979,0.004,-5.0,0.0257,0.0026,3.442E-6,CSPI,Ia,0.982,0,0,0.205,0.006,-1.6E-5,10.57,10.63,10.7,N/A,-1.0,-1.0,none,SN2004gs,0.0266267,0.0282767,0.707,0.003,16.958,0.005,-5.3,0.0257,0.0026,4.903E-7,CSPI,Ia,0.982,0,0,0.205,0.006,0.0,10.57,10.63,10.7,N/A,-1.0,-1.0,none,SN2004gs,0.0266267,0.0282767,0.707,0.003,17.355,0.008,-1.9,0.0257,0.0026,-2.331E-6,CSPI,Ia,0.982,0,0,0.205,0.006,0.0,10.57,10.63,10.7,N/A,-1.0,-1.0,none,SN2004gs,0.0266267,0.0282767,0.707,0.003,17.148,0.052,9.4,0.0257,0.0026,-9.907E-6,CSPI,Ia,0.982,0,0,0.205,0.006,0.0,10.57,10.63,10.7,N/A,-1.0,-1.0,none,SN2004gs,0.0266267,0.0282767,0.707,0.003,16.868,0.07,9.6,0.0257,0.0026,-2.079E-5,CSPI,Ia,0.982,0,0,0.205,0.006,0.0,10.57,10.63,10.7,N/A,-1.0,-1.0,none,SN2004gs,0.0266267,0.0282767,0.707,0.003,17.321,0.036,11.8,0.0257,0.0026,-6.99E-6,CSPI,Ia,0.982,0,0,0.205,0.006,0.0,10.57,10.63,10.7,N/A,-1.0,-1.0,none
SN2004gu,0.0458267,0.0468967,1.153,0.011,17.862,0.021,0.8,0.0223,0.0022,-4.212E-5,CSPI,Ia-06gz,0.986,0,0,0.149,0.014,0.0,9.74,10.02,10.19,N/A,-1.0,-1.0,none,SN2004gu,0.0458267,0.0468967,1.153,0.011,17.422,0.011,-0.8,0.0223,0.0022,-2.754E-5,CSPI,Ia-06gz,0.986,0,0,0.149,0.014,1.21E-4,9.74,10.02,10.19,N/A,-1.0,-1.0,none,SN2004gu,0.0458267,0.0468967,1.153,0.011,17.333,0.008,-5.1,0.0223,0.0022,-6.907E-6,CSPI,Ia-06gz,0.986,0,0,0.149,0.014,0.0,9.74,10.02,10.19,N/A,-1.0,-1.0,none,SN2004gu,0.0458267,0.0468967,1.153,0.011,17.273,0.009,-6.0,0.0223,0.0022,5.431E-5,CSPI,Ia-06gz,0.986,0,0,0.149,0.014,-8.1E-5,9.74,10.02,10.19,N/A,-1.0,-1.0,none,SN2004gu,0.0458267,0.0468967,1.153,0.011,17.356,0.009,-7.1,0.0223,0.0022,3.398E-5,CSPI,Ia-06gz,0.986,0,0,0.149,0.014,0.0,9.74,10.02,10.19,N/A,-1.0,-1.0,none,SN2004gu,0.0458267,0.0468967,1.153,0.011,18.001,0.015,-1.9,0.0223,0.0022,5.316E-5,CSPI,Ia-06gz,0.986,0,0,0.149,0.014,0.0,9.74,10.02,10.19,N/A,-1.0,-1.0,none,SN2004gu,0.0458267,0.0468967,1.153,0.011,18.058,0.046,17.0,0.0223,0.0022,1.237E-4,CSPI,Ia-06gz,0.986,0,0,0.149,0.014,0.0,9.74,10.02,10.19,N/A,-1.0,-1.0,none,SN2004gu,0.0458267,0.0468967,1.153,0.011,17.766,0.09,17.1,0.0223,0.0022,9.035E-5,CSPI,Ia-06gz,0.986,0,0,0.149,0.014,0.0,9.74,10.02,10.19,N/A,-1.0,-1.0,none,SN2004gu,0.0458267,0.0468967,1.153,0.011,18.223,0.062,28.6,0.0223,0.0022,4.211E-5,CSPI,Ia-06gz,0.986,0,0,0.149,0.014,0.0,9.74,10.02,10.19,N/A,-1.0,-1.0,none
