ObjID,Name,zhel,zcmb,sBV,e_sBV,mcorr,e_mcorr,BV,e_BV,mass
71,SN07jh,0.040767,0.040267,0.584,0.019,17.0260541086,0.0849553792557,0.34,0.0290688837075,11.0815129701
72,SN07le,0.006717,0.005523,1.028,0.004,12.9684490849,0.0446714090384,0.318,0.00781024967591,10.2839592201
73,SN07mm,0.066354,0.068873,0.501,0.018,18.0231062532,0.112182130001,0.509,0.0418807831827,11.3639693515
74,SN07nq,0.045,0.043903,0.75,0.005,17.108710849,0.0369308201684,0.043,0.01,11.3635124119
75,SN07ol,0.05587,0.054882,0.696,0.035,17.86306745,0.0862909495681,-0.07,0.0280178514522,10.3741354709
76,SN07on,0.00649,0.006183,0.57,0.004,12.324461504,0.0470554044268,0.113,0.00848528137424,11.1264926153
77,SN07sr,0.005473,0.006656,0.988,0.017,12.3034628755,0.178779898998,0.146,0.0578013840665,11.0467573522
78,SN07st,0.021167,0.020651,0.742,0.023,15.3914111711,0.170342500917,0.161,0.0774661216275,11.1715740393
79,SN07ux,0.030893,0.031996,0.6,0.008,16.4127700926,0.0531453944705,0.198,0.00860232526704,10.2617416132
80,SN08C,0.01661,0.017067,0.953,0.026,15.0825458774,0.179932731066,0.173,0.0772010362625,10.5547536709
81,SN08O,0.03883,0.039318,0.655,0.013,17.0313674857,0.0610563614308,0.303,0.0170293863659,11.6837405992
82,SN08R,0.013493,0.012887,0.591,0.005,14.5710719413,0.0422979162627,0.119,0.00781024967591,11.0636181183
83,SN08ar,0.02613,0.027247,0.97,0.006,16.0770397979,0.0417985632143,0.023,0.011401754251,10.3857872891
84,SN08bc,0.015077,0.015707,1.048,0.004,14.7864833048,0.039559376317,-0.03,0.005,10.1051559519
85,SN08bf,0.023484,0.024554,1.024,0.005,15.8664815265,0.0242636778964,-0.033,0.00565685424949,11.4057796738
86,SN08bi,0.013437,0.014388,0.485,0.028,14.7644150319,0.252456919238,0.51,0.132306462427,10.9622000993
87,SN08bq,0.033977,0.034443,1.155,0.009,16.7203159328,0.0329389325149,0.055,0.00707106781187,11.1283258109
88,SN08bt,0.015353,0.01658,0.47,0.009,14.8762168777,0.0640818827483,0.499,0.0128062484749,10.9754199193
89,SN08bz,0.060237,0.061326,0.927,0.023,17.9523512656,0.140467321458,-0.04,0.0628012738724,10.6898877817
90,SN08cc,0.010387,0.010122,0.789,0.017,13.7838725403,0.176343018688,0.084,0.0652150289427,10.6416752397
91,SN08cd,0.007407,0.008462,1.012,0.08,13.7306036371,0.308339939127,1.684,0.131882523482,10.7826208611
92,SN08cf,0.045968,0.046827,1.121,0.036,17.2579910659,0.147875241801,0.017,0.0642028036771,11.0308388911
93,SN08ff,0.019193,0.018673,1.132,0.01,15.1035903341,0.0543073640202,0.129,0.0166433169771,10.7963878068
94,SN08fl,0.0199,0.019417,0.856,0.019,15.3658242556,0.154360542377,0.06,0.0644049687524,11.0639949947
95,SN08fp,0.00566,0.006287,1.077,0.007,12.6177331774,0.0558889778588,0.463,0.00707106781187,10.3610457073
96,SN08fr,0.038973,0.037906,1.059,0.024,16.8747860681,0.147726861909,-0.001,0.0672011904656,11.0265211694
97,SN08fu,0.05237,0.051834,0.822,0.022,17.5867371517,0.170734527305,-0.074,0.0884816365129,10.9885275339
98,SN08fw,0.008543,0.009507,1.114,0.023,13.9389817641,0.166351310684,0.064,0.061400325732,11.5901531341
