sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
ASAS14ad,0.0264,0.0274352,1.0224989119492163,0.004766230359192222,16.25770627573568,0.0048693241629937205,-8.4,0.0159,0.0016,6.05e-06,CSPII,Ia,0.973,0,1,-0.034327842365506456,0.014701124944878234,-1.6e-05,8.23,8.61,8.78,N/A,-1.0,-1.0,none
ASAS14hp,0.0388933,0.0386676,1.0864036783619533,0.009657754645761669,16.565502354852438,0.0053265799345164535,-5.6,0.0295,0.0029,-2.942e-06,CSPII,Ia,0.984,1,0,-0.07046663476397796,0.007398810727204866,-9e-06,8.98,9.09,9.15,N/A,-1.0,-1.0,none
ASAS14hr,0.0335967,0.0327196,0.785236631709155,0.006304033568374523,17.024726977686754,0.009228036438940034,-7.4,0.0131,0.0013,3.943e-05,CSPII,Ia,0.985,1,0,0.052067429853842384,0.014070757459476852,-8.1e-05,10.18,10.34,10.45,N/A,-1.0,-1.0,none
ASAS14hu,0.0215851,0.0218919,1.081973039733661,0.0074972596980795204,15.44954485192531,0.005154708527452577,-8.1,0.0612,0.0061,-6.662e-06,CSPII,Ia,0.983,0,1,-0.05812988236086447,0.006884103235948342,-1.6e-05,9.8,9.93,10.24,N/A,-1.0,-1.0,none
ASAS14jc,0.0113167,0.0117796,0.9101274745393709,0.007310288734753357,15.23322387877445,0.010394691560680012,-6.6,0.1346,0.0135,5.219e-06,CSPII,Ia,0.962,0,1,0.44469548206593323,0.015817726039366892,-3.6e-05,9.32,9.46,9.77,N/A,-1.0,-1.0,none
ASAS14jg,0.0148167,0.014347,1.1245166285951296,0.025547137476476932,14.757978281459215,0.03720132383162371,1.8,0.0128,0.0013,-3.733e-06,CSPII,Ia,0.961,0,1,0.09337785175103264,0.06131209702412014,-0.001225,8.57,8.76,8.88,N/A,-1.0,-1.0,none
ASAS14jz,0.0157891,0.0156168,0.9768344412567868,0.007515104855580631,14.656136856530159,0.004504773723035769,-9.7,0.0472,0.0047,9.292e-06,CSPII,Ia,0.952,0,0,-0.03327912803150035,0.005943334348908313,-1.6e-05,8.11,8.23,8.35,N/A,-1.0,-1.0,none
ASAS14kd,0.0243,0.0230683,1.1344136521807762,0.010581247733024114,16.017463097672508,0.007079023826849066,-8.1,0.0574,0.0057,1.454e-05,CSPII,Ia-91T,0.941,0,0,0.2280953085562949,0.009449824637927833,-2.5e-05,10.03,10.14,10.23,N/A,-1.0,-1.0,none
ASAS14kq,0.0335767,0.0325972,1.1892529014330073,0.00799440853723809,16.62060039147813,0.006400559552127098,-6.4,0.0155,0.0016,4.669e-05,CSPII,Ia,0.961,1,0,-0.0177569738704193,0.009200489590878219,-6.4e-05,8.78,8.91,9.11,N/A,-1.0,-1.0,none
ASAS14lo,0.0199167,0.0210151,0.9429326914829473,0.018884252051846552,15.836587748221644,0.03836613750585673,1.0,0.0282,0.0028,-6.901e-06,CSPII,Ia,0.979,0,1,0.12083675245889935,0.06395464970213544,-0.001296,9.47,9.69,9.79,N/A,-1.0,-1.0,none
