sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype,Ho,eHo,meth,kmag,ekmag,dsbf,ed
SN2005el,0.0149,0.0148833,0.864,0.003,15.685,0.011,-1.6,0.0976,0.0098,8.096e-06,CSPI,Ia,0.973,0,0,-0.08,0.012,0.0,10.7,10.84,11.24,N/A,-1.0,-1.0,none,,,,,,,
SN2005eq,0.0289567,0.02835,1.136,0.009,17.06,0.023,3.5,0.0629,0.0063,2.008e-05,CSPI,Ia-91T,0.984,0,0,0.055,0.01,0.0,10.44,10.56,10.65,N/A,-1.0,-1.0,none,,,,,,,
SN2005hc,0.0459067,0.0444967,1.141,0.007,18.009,0.047,-1.4,0.028,0.0028,5.827e-06,CSPI,Ia,0.98,0,0,0.013,0.007,0.0,10.52,10.6,10.65,N/A,-1.0,-1.0,none,,,,,,,
SN2005iq,0.03402,0.03293,0.882,0.006,17.501,0.04,2.1,0.0185,0.0019,4.632e-05,CSPI,Ia,0.965,0,0,-0.031,0.011,0.0,10.47,10.54,10.6,N/A,-1.0,-1.0,none,,,,,,,
SN2005kc,0.01511,0.01389,0.933,0.005,15.597,0.015,-5.1,0.1137,0.0114,4.086e-06,CSPI,Ia,0.978,0,0,0.234,0.011,0.0,10.6,11.06,11.5,N/A,-1.0,-1.0,none,,,,,,,
SN2005ke,0.0048767,0.0044833,0.436,0.003,13.998,0.011,-7.7,0.02,0.002,1.166e-05,CSPI,Ia-91bg,0.953,0,0,0.662,0.012,0.0,10.29,10.43,10.61,N/A,-1.0,-1.0,none,,,,,,,
SN2005ki,0.0191933,0.02037,0.836,0.004,16.321,0.013,-3.4,0.0267,0.0027,4.158e-06,CSPI,Ia,0.982,0,0,-0.019,0.007,0.0,10.62,10.8,10.86,N/A,-1.0,-1.0,none,,,,,,,
SN2005na,0.0263033,0.0268133,0.97,0.005,16.699,0.032,20.5,0.0681,0.0068,2.649e-05,CSPI,Ia,0.976,0,0,-0.015,0.009,0.0,10.9,10.97,11.05,N/A,-1.0,-1.0,none,,,,,,,
SN2006D,0.00852,0.00964,0.839,0.003,14.675,0.024,20.7,0.0394,0.0039,1.369e-05,CSPI,Ia,0.972,0,0,0.099,0.006,0.0,9.54,9.76,9.85,N/A,-1.0,-1.0,none,,,,,,,
SN2006X,0.0052367,0.00632,0.97,0.004,12.957,0.013,-5.3,0.0228,0.0023,9.688e-06,CSPI,Ia,0.557,0,0,1.213,0.012,0.0,9.06,9.33,9.43,N/A,-1.0,-1.0,none,,,,,,,
SN2006ax,0.0167267,0.0179567,1.003,0.004,15.98,0.01,-5.3,0.041,0.0041,3.839e-06,CSPI,Ia,0.981,0,0,-0.073,0.008,0.0,10.79,10.92,11.04,N/A,-1.0,-1.0,none,,,,,,,
SN2006bd,0.0257067,0.0267967,0.395,0.01,17.728,0.094,8.0,0.0231,0.0023,0.000207,CSPI,Ia-91bg,0.981,0,0,0.733,0.044,0.0,10.6,10.77,10.8,N/A,-1.0,-1.0,none,,,,,,,
SN2006bh,0.01084,0.0104933,0.827,0.003,15.026,0.01,0.9,0.0228,0.0023,7.461e-06,CSPI,Ia,0.969,0,0,-0.01,0.006,0.0,10.31,10.43,10.49,N/A,-1.0,-1.0,none,,,,,,,
SN2006br,0.0245733,0.0255233,0.954,0.032,17.132,0.098,8.7,0.0197,0.002,-3.42e-05,CSPI,Ia,0.982,0,0,0.837,0.097,0.0,10.87,10.97,11.36,N/A,-1.0,-1.0,none,,,,,,,
SN2006dd,0.005867,0.0055089,0.951,0.003,12.823,0.007,-6.2,0.0179,0.0018,4.609e-06,,,,,,-0.065,0.007,0.0,11.75,11.79,11.8,N1316,31.44,0.04,t,,,,,,,
SN2006ej,0.0204367,0.0193367,0.845,0.018,16.429,0.038,8.9,0.0296,0.003,1.722e-05,CSPI,Ia,0.971,0,0,0.028,0.06,0.0,10.48,10.63,10.7,N/A,-1.0,-1.0,none,,,,,,,
SN2006eq,0.0494667,0.0483667,0.656,0.022,17.817,0.113,5.4,0.0416,0.0042,-0.000126,CSPI,Ia,0.973,0,0,0.302,0.075,0.0,9.79,10.19,10.65,N/A,-1.0,-1.0,none,,,,,,,
SN2006et,0.0221567,0.0216467,1.181,0.006,16.4,0.01,-7.0,0.0165,0.0017,3.83e-06,CSPI,Ia,0.983,0,0,0.142,0.007,0.0,10.7,10.8,10.88,N/A,-1.0,-1.0,none,,,,,,,
SN2006ev,0.0287133,0.0276,0.84,0.021,17.23,0.044,7.4,0.0759,0.0076,7.087e-05,CSPI,Ia,0.924,0,0,0.179,0.069,0.0,10.65,10.75,10.91,N/A,-1.0,-1.0,none,,,,,,,
SN2006gj,0.0283333,0.0269667,0.709,0.007,17.278,0.061,7.0,0.0705,0.007,-7.11e-05,CSPI,Ia,0.983,0,0,0.297,0.012,0.0,10.36,10.53,10.6,N/A,-1.0,-1.0,none,,,,,,,
SN2006gt,0.04474,0.0436433,0.565,0.009,18.394,0.093,1.0,0.0323,0.0032,-2.882e-05,CSPI,Ia-91bg,0.982,0,0,0.257,0.016,0.0,9.87,9.93,9.94,N/A,-1.0,-1.0,none,,,,,,,
SN2006hb,0.0153333,0.0153367,0.682,0.018,15.792,0.033,7.8,0.0236,0.0024,-1.702e-05,CSPI,Ia-86G,0.98,0,0,0.186,0.064,0.0,10.05,10.22,10.39,N/A,-1.0,-1.0,none,,,,,,,
SN2006hx,0.0454633,0.0444033,0.98,0.012,17.914,0.055,-3.7,0.0256,0.0026,-4.135e-05,CSPI,Ia,0.981,0,0,0.113,0.035,0.0,10.12,10.31,10.44,N/A,-1.0,-1.0,none,,,,,,,
SN2006is,0.0313333,0.03142,1.093,0.036,17.17,0.048,5.7,0.029,0.0029,0.0001167,CSPI,Ia,0.983,0,0,0.038,0.066,0.0,6.68,7.1,7.41,N/A,-1.0,-1.0,none,,,,,,,
SN2006kf,0.0212867,0.0208,0.771,0.005,16.385,0.017,1.1,0.2097,0.021,-1.091e-06,CSPI,Ia,0.981,0,0,0.024,0.009,0.0,10.59,10.82,10.9,N/A,-1.0,-1.0,none,,,,,,,
SN2006mr,0.0058667,0.00551,0.333,0.004,13.921,0.034,-5.6,0.0179,0.0018,2.575e-05,CSPI,Ia-91bg,0.947,0,0,0.728,0.028,0.0,10.79,11.19,11.38,N/A,-1.0,-1.0,none,,,,,,,
SN2006ob,0.0591967,0.0582567,0.739,0.009,18.571,0.091,7.8,0.0285,0.0029,-4.878e-05,CSPI,Ia,0.986,0,0,0.124,0.016,0.0,11.08,11.26,11.33,N/A,-1.0,-1.0,none,,,,,,,
SN2006os,0.0327867,0.03208,0.941,0.02,17.308,0.059,6.4,0.1254,0.0125,8.469e-06,CSPI,Ia,0.982,0,0,0.318,0.065,0.0,10.66,10.81,10.87,N/A,-1.0,-1.0,none,,,,,,,
SN2007A,0.0176333,0.0164633,1.05,0.02,15.979,0.033,2.8,0.0631,0.0063,1.729e-05,CSPI,Ia,0.98,0,0,0.202,0.01,0.0,10.57,10.57,10.57,N/A,-1.0,-1.0,none,,,,,,,
SN2007N,0.01287,0.014,0.376,0.006,16.307,0.046,-0.8,0.0343,0.0034,2.123e-05,CSPI,Ia-91bg,0.976,0,0,0.953,0.024,0.0,10.1,10.19,10.57,N/A,-1.0,-1.0,none,,,,,,,
SN2007S,0.01387,0.0150233,1.186,0.007,15.517,0.009,-7.3,0.0224,0.0022,1.127e-06,CSPI,Ia-91T,0.973,0,0,0.366,0.011,0.0,9.63,9.98,10.16,N/A,-1.0,-1.0,none,,,,,,,
SN2007af,0.00546,0.00629,0.949,0.002,13.621,0.007,-7.5,0.0338,0.0034,2.32e-06,CSPI,Ia,0.927,0,0,0.065,0.007,0.0,9.69,9.82,9.87,N5584,31.79,0.05,c,,,,,,,
SN2007ai,0.03164,0.0319867,1.223,0.013,17.117,0.026,3.2,0.286,0.0286,-7.16e-05,CSPI,Ia-91T,0.985,0,0,0.183,0.013,0.0,9.76,9.91,10.18,N/A,-1.0,-1.0,none,,,,,,,
SN2007al,0.0121133,0.0132629,0.383,0.006,16.024,0.056,-0.3,0.036,0.0036,5.911e-05,CSPI,Ia-91bg,0.971,0,0,0.693,0.026,0.0,9.33,9.47,9.91,N/A,-1.0,-1.0,none,,,,,,,
SN2007as,0.01756,0.0178967,0.889,0.004,16.073,0.017,-2.1,0.1229,0.0123,1.59e-05,CSPI,Ia,0.98,0,0,0.08,0.009,0.0,10.24,10.36,10.43,N/A,-1.0,-1.0,none,,,,,,,
SN2007ax,0.0068567,0.0076367,0.353,0.01,15.102,0.091,-5.8,0.0446,0.0045,0.0001204,CSPI,Ia-91bg,0.924,0,0,0.682,0.03,0.0,10.13,10.23,10.29,N/A,-1.0,-1.0,none,,,,,,,
SN2007ba,0.0384867,0.0390533,0.568,0.008,17.644,0.073,-1.7,0.0315,0.0032,-5.343e-06,CSPI,Ia-91bg,0.796,0,0,0.327,0.019,0.0,10.9,10.99,11.06,N/A,-1.0,-1.0,none,,,,,,,
SN2007bc,0.0207567,0.02185,0.907,0.005,16.474,0.028,2.6,0.0186,0.0019,1.907e-05,CSPI,Ia,0.983,0,0,0.033,0.009,0.0,10.65,10.73,10.78,N/A,-1.0,-1.0,none,,,,,,,
SN2007bd,0.0309967,0.0318267,0.917,0.006,17.378,0.043,-4.1,0.0289,0.0029,-1.847e-05,CSPI,Ia,0.984,0,0,-0.001,0.016,0.0,10.68,10.82,10.89,N/A,-1.0,-1.0,none,,,,,,,
SN2007bm,0.0062067,0.00744,0.906,0.005,13.996,0.012,-3.4,0.0354,0.0035,2.271e-05,CSPI,Ia,0.958,0,0,0.421,0.009,0.0,10.09,10.27,10.72,N/A,-1.0,-1.0,none,,,,,,,
SN2007ca,0.0140567,0.01507,1.078,0.012,15.705,0.016,-5.6,0.057,0.0057,1.077e-05,CSPI,Ia,0.979,0,0,0.26,0.009,0.0,9.52,9.69,9.74,N/A,-1.0,-1.0,none,,,,,,,
SN2007hj,0.0141033,0.0128818,0.633,0.005,15.741,0.035,9.1,0.0747,0.0075,-2.509e-05,CSPI,Ia,0.961,0,0,0.215,0.01,0.0,10.3,10.45,10.89,N/A,-1.0,-1.0,none,,,,,,,
SN2007jg,0.0371067,0.0365767,0.939,0.006,17.573,0.044,1.5,0.0904,0.009,-9.336e-06,CSPI,Ia,0.974,0,0,0.028,0.01,0.0,7.95,8.1,8.22,N/A,-1.0,-1.0,none,,,,,,,
SN2007le,0.0067167,0.0055233,1.02,0.004,13.955,0.008,-6.4,0.0287,0.0029,6.395e-06,CSPI,Ia,0.955,0,0,0.292,0.006,0.0,9.71,9.85,10.16,N/A,-1.0,-1.0,none,,,,,,,
SN2007nq,0.045,0.0439033,0.769,0.006,17.664,0.066,8.6,0.0312,0.0031,7.583e-05,CSPI,Ia,0.952,0,0,0.056,0.011,0.0,11.15,11.21,11.28,N/A,-1.0,-1.0,none,,,,,,,
SN2007on,0.00649,0.0061833,0.589,0.003,13.284,0.013,-6.6,0.0098,0.001,-2.263e-06,CSPI,Ia,0.957,0,0,0.115,0.012,0.0,10.78,11.04,11.45,N/A,-1.0,-1.0,none,,,,,,,
SN2007so,0.0296667,0.0289285,0.925,0.009,16.659,0.06,33.5,0.1161,0.0116,0.0001536,CSPI,Ia,,0,0,0.014,0.076,0.0,10.89,10.97,11.07,N/A,-1.0,-1.0,none,,,,,,,
SN2007sr,0.0054733,0.0066557,0.989,0.017,13.382,0.027,9.9,0.0398,0.004,4.356e-06,CSPI,Ia,0.198,0,0,0.159,0.059,0.0,9.85,10.05,10.17,N4038,31.29,0.1,c,,,,,,,
SN2007st,0.0211667,0.0206508,0.863,0.022,16.276,0.056,8.9,0.0143,0.0014,0.000119,CSPI,Ia,0.951,0,0,0.149,0.083,0.0,10.85,10.95,11.4,N/A,-1.0,-1.0,none,,,,,,,
SN2007ux,0.0308933,0.031996,0.628,0.006,17.53,0.021,3.3,0.0386,0.0039,-5.299e-05,CSPI,Ia-86G,0.981,0,0,0.21,0.01,0.0,10.23,10.3,10.34,N/A,-1.0,-1.0,none,,,,,,,
SN2008C,0.01661,0.0170667,0.967,0.024,16.045,0.043,9.7,0.072,0.0072,6.056e-05,CSPI,Ia,0.981,0,0,0.167,0.074,0.0,10.35,10.49,10.55,N/A,-1.0,-1.0,none,,,,,,,
SN2008O,0.03883,0.039318,0.688,0.01,17.912,0.048,2.3,0.0763,0.0076,-0.0001125,CSPI,Ia,0.986,0,0,0.313,0.016,0.0,11.12,11.33,11.59,N/A,-1.0,-1.0,none,,,,,,,
SN2008R,0.0134933,0.0128867,0.632,0.006,15.516,0.044,4.3,0.0618,0.0062,-4.646e-05,CSPI,Ia,0.976,0,0,0.12,0.011,0.0,11.07,11.25,11.31,N/A,-1.0,-1.0,none,,,,,,,
SN2008ar,0.02613,0.0272474,0.976,0.004,16.859,0.031,-1.7,0.0311,0.0031,1.835e-06,CSPI,Ia,0.984,0,0,0.008,0.011,0.0,10.11,10.21,10.28,N/A,-1.0,-1.0,none,,,,,,,
SN2008bc,0.0150767,0.0157067,1.057,0.005,15.726,0.011,-1.7,0.2251,0.0225,1.475e-05,CSPI,Ia,0.979,0,0,-0.028,0.006,0.0,9.95,10.1,10.23,N/A,-1.0,-1.0,none,,,,,,,
SN2008bd,0.0300833,0.0312803,0.66,0.038,17.454,0.114,24.6,0.0751,0.0075,-0.002116,CSPI,Ia-91bg,,0,0,0.339,0.067,0.0,10.99,11.07,11.13,N/A,-1.0,-1.0,none,,,,,,,
SN2008bf,0.0234837,0.0245538,1.019,0.004,16.906,0.023,-3.8,0.0296,0.003,5.697e-06,CSPI,Ia,0.982,0,0,-0.046,0.006,0.0,11.4,11.4,11.4,N/A,-1.0,-1.0,none,,,,,,,
SN2008bi,0.0134367,0.0143882,0.512,0.022,16.281,0.058,10.5,0.037,0.0037,6.772e-05,CSPI,Ia-91bg,0.972,0,0,0.591,0.123,0.0,10.27,10.38,10.48,N/A,-1.0,-1.0,none,,,,,,,
SN2008bq,0.0339767,0.0344433,1.153,0.009,17.374,0.08,7.3,0.0774,0.0077,6.409e-06,CSPI,Ia,0.983,0,0,0.04,0.009,0.0,10.74,10.82,10.91,N/A,-1.0,-1.0,none,,,,,,,
SN2008bt,0.0153533,0.0165796,0.498,0.008,16.445,0.137,26.8,0.0445,0.0044,0.0001361,CSPI,Ia-91bg,0.979,0,0,0.508,0.013,0.0,10.7,10.85,10.91,N/A,-1.0,-1.0,none,,,,,,,
SN2008cc,0.0103867,0.0101222,0.813,0.018,14.643,0.018,19.3,0.0355,0.0035,1.855e-05,CSPI,Ia,0.965,0,0,0.158,0.065,0.0,10.4,10.48,10.64,N/A,-1.0,-1.0,none,,,,,,,
SN2008cf,0.0459682,0.0468269,1.092,0.035,18.055,0.043,6.1,0.0577,0.0058,9.919e-05,CSPI,Ia,0.986,0,0,0.009,0.062,0.0,8.59,8.73,8.97,N/A,-1.0,-1.0,none,,,,,,,
SN2008ff,0.0191933,0.0186725,1.083,0.009,16.234,0.016,24.9,0.0436,0.0044,1.755e-05,CSPI,Ia,0.981,0,0,0.177,0.017,0.0,10.8,10.8,10.8,N/A,-1.0,-1.0,none,,,,,,,
SN2008fl,0.0199,0.0194172,0.883,0.017,16.206,0.03,8.5,0.1569,0.0157,1.102e-05,CSPI,Ia,0.982,0,0,0.056,0.059,0.0,10.87,10.94,11.01,N/A,-1.0,-1.0,none,,,,,,,
SN2008fp,0.00566,0.0062867,1.108,0.008,13.576,0.006,-0.1,0.1686,0.0169,7.643e-06,CSPI,Ia,0.944,0,0,0.479,0.007,0.0,10.15,10.2,10.63,N/A,-1.0,-1.0,none,,,,,,,
SN2008fr,0.0389733,0.0379062,1.035,0.023,17.722,0.041,13.0,0.0395,0.004,2.359e-05,CSPI,Ia,0.981,0,0,-0.014,0.069,0.0,7.58,7.73,7.92,N/A,-1.0,-1.0,none,,,,,,,
SN2008fu,0.05237,0.0518336,0.822,0.024,18.327,0.054,16.5,0.018,0.0018,7.878e-05,CSPI,Ia,0.986,0,0,-0.021,0.087,0.0,10.66,10.72,10.8,N/A,-1.0,-1.0,none,,,,,,,
SN2008fw,0.0085433,0.0095066,1.117,0.023,14.693,0.021,23.4,0.1123,0.0112,-4.74e-07,CSPI,Ia-91T,0.971,0,0,0.076,0.065,0.0,10.31,10.49,10.61,N/A,-1.0,-1.0,none,,,,,,,
SN2008gg,0.0319933,0.0310658,1.054,0.025,17.407,0.037,10.8,0.0195,0.002,2.237e-05,CSPI,Ia,0.984,0,0,0.149,0.063,0.0,10.63,10.73,10.82,N/A,-1.0,-1.0,none,,,,,,,
SN2008gl,0.0339933,0.0329459,0.867,0.005,17.492,0.034,3.7,0.0244,0.0024,-1.353e-06,CSPI,Ia,0.977,0,0,0.028,0.008,0.0,10.81,10.86,10.92,N/A,-1.0,-1.0,none,,,,,,,
SN2008gp,0.03339,0.0328233,0.979,0.004,17.441,0.033,-5.1,0.1042,0.0104,6.613e-06,CSPI,Ia,0.985,0,0,-0.031,0.011,0.0,10.64,10.73,10.79,N/A,-1.0,-1.0,none,,,,,,,
SN2008hj,0.0378667,0.0367224,1.008,0.005,17.653,0.036,-2.9,0.0303,0.003,5.171e-06,CSPI,Ia,0.983,0,0,-0.008,0.007,0.0,10.2,10.4,10.69,N/A,-1.0,-1.0,none,,,,,,,
SN2008hs,0.017349,0.0166411,0.625,0.006,16.483,0.027,-6.1,0.0497,0.005,1.101e-05,N/A,N/A,0.0,,,0.086,0.024,0.0,11.401,11.504,11.607,NGC0910,34.459,0.093,s,,,,9.357,0.033,77.9,3.3
SN2008hu,0.0496656,0.050526,0.827,0.023,18.193,0.069,2.8,0.0921,0.0092,9.011e-05,CSPI,Ia,0.985,0,0,0.021,0.07,0.0,10.84,10.99,11.07,N/A,-1.0,-1.0,none,,,,,,,
SN2008hv,0.01254,0.01358,0.867,0.004,15.548,0.013,-8.1,0.0279,0.0028,7.502e-06,CSPI,Ia,0.973,0,0,-0.047,0.011,0.0,10.29,10.55,10.67,N/A,-1.0,-1.0,none,,,,,,,
SN2008ia,0.0219833,0.02254,0.834,0.006,16.356,0.026,2.9,0.1954,0.0195,6.571e-05,CSPI,Ia,0.983,0,0,-0.035,0.016,0.0,10.54,10.77,11.23,N/A,-1.0,-1.0,none,,,,,,,
SN2009D,0.02499,0.024654,1.159,0.007,16.644,0.013,1.8,0.0441,0.0044,-1.368e-06,CSPI,Ia,0.984,0,0,-0.021,0.006,0.0,10.35,10.43,10.5,N/A,-1.0,-1.0,none,,,,,,,
SN2009F,0.0129467,0.01291,0.386,0.007,16.084,0.034,-4.9,0.0895,0.0089,4.985e-05,CSPI,Ia-91bg,0.97,0,0,0.551,0.025,0.0,10.61,10.79,11.22,N/A,-1.0,-1.0,none,,,,,,,
SN2009I,0.02615,0.0254309,1.089,0.03,16.963,0.029,-1.3,0.0272,0.0027,0.000128,CSPI,Ia,0.969,0,0,0.651,0.017,0.0,10.53,10.74,10.88,N/A,-1.0,-1.0,none,,,,,,,
SN2009Y,0.0093467,0.0101034,0.993,0.005,14.673,0.015,0.4,0.0873,0.0087,7.046e-06,CSPI,Ia,0.97,0,0,0.148,0.01,0.0,10.66,10.76,10.95,N/A,-1.0,-1.0,none,,,,,,,
SN2009aa,0.02729,0.0284814,0.944,0.004,16.961,0.016,-5.4,0.0295,0.0029,8.617e-06,CSPI,Ia,0.983,0,0,0.013,0.012,0.0,10.1,10.6,10.8,N/A,-1.0,-1.0,none,,,,,,,
SN2009ab,0.0111633,0.0108624,0.903,0.006,15.249,0.015,-3.6,0.1838,0.0184,1.483e-05,CSPI,Ia,0.959,0,0,0.035,0.011,0.0,10.2,10.35,10.78,N/A,-1.0,-1.0,none,,,,,,,
SN2009ad,0.02838,0.0283174,1.107,0.014,17.098,0.026,0.6,0.0953,0.0095,4.543e-05,CSPI,Ia,0.984,0,0,0.032,0.011,0.0,10.5,10.58,10.64,N/A,-1.0,-1.0,none,,,,,,,
SN2009ag,0.0086333,0.0092477,0.966,0.005,14.774,0.012,0.9,0.218,0.0218,6.374e-06,CSPI,Ia,0.97,0,0,0.149,0.014,0.0,9.99,10.2,10.6,N/A,-1.0,-1.0,none,,,,,,,
SN2009al,0.02209,0.0232764,0.92,0.013,16.61,0.033,-1.9,0.0212,0.0021,3.368e-05,CSPI,Ia,0.98,0,0,0.186,0.028,0.0,10.66,10.72,10.77,N/A,-1.0,-1.0,none,,,,,,,
SN2009cz,0.0211233,0.0219786,1.173,0.011,16.485,0.023,0.7,0.0221,0.0022,1.343e-06,CSPI,Ia,0.982,0,0,0.017,0.011,0.0,10.68,10.75,10.84,N/A,-1.0,-1.0,none,,,,,,,
SN2009ds,0.0192467,0.0204662,1.121,0.015,16.293,0.027,-2.2,0.0332,0.0033,7.005e-05,CSPI,Ia,0.982,0,0,0.107,0.013,0.0,10.62,10.77,10.97,N/A,-1.0,-1.0,none,,,,,,,
SN2009ig,0.0088,0.0080401,1.061,0.014,14.23,0.053,43.5,0.0269,0.0027,6.556e-05,,,,,,0.103,0.009,0.0,10.35,10.35,10.35,N1015,32.5,0.08,c,,,,,,,
SN2010Y,0.0109,0.0112644,0.66,0.006,15.42,0.071,-4.2,0.0117,0.0012,8.566e-06,N/A,N/A,0.0,,,0.02,0.016,0.0,10.474,10.58,10.686,NGC3392,33.861,0.088,s,,,,10.862,0.05,59.2,2.4
SN2011by,0.002843,0.003405,0.967,0.003,13.489,0.015,-7.4,0.0119,0.0012,2.728e-06,,,,,,-0.006,0.009,0.0,9.47,9.47,9.47,N3972,31.59,0.07,c,,,,,,,
SN2011fe,0.000803,0.0012072,0.972,0.002,10.756,0.006,-10.5,0.0077,0.0008,5.409e-06,,,,,,0.01,0.008,0.0,10.23,10.23,10.23,M101,29.14,0.04,c,,,,,,,
SN2011iv,0.00649,0.0061827,0.701,0.007,12.788,0.033,1.2,0.0098,0.001,-3.699e-05,CSPII,Ia,0.93,0,1,0.03,0.011,0.0,10.78,11.04,11.45,N1404,31.36,0.06,t,,,,,,,
SN2011iy,0.0042633,0.0053357,1.033,0.005,12.697,0.021,19.8,0.0529,0.0053,5.433e-06,CSPII,Ia,0.9,0,1,0.244,0.012,0.0,10.21,10.39,10.83,N/A,-1.0,-1.0,none,,,,,,,
SN2011jh,0.0077833,0.0089154,0.789,0.005,14.474,0.019,1.3,0.0322,0.0032,1.634e-06,CSPII,Ia,0.966,0,1,0.367,0.008,0.0,10.02,10.09,10.16,N/A,-1.0,-1.0,none,,,,,,,
SN2012aq,0.0519633,0.0525508,0.996,0.018,18.296,0.046,16.0,0.0338,0.0034,1.029e-05,CSPII,Ia,0.972,1,0,0.004,0.063,0.0,7.63,7.77,8.01,N/A,-1.0,-1.0,none,,,,,,,
SN2012ar,0.02824,0.028536,0.809,0.006,16.878,0.042,6.1,0.2024,0.0202,-3.759e-06,CSPII,Ia,0.982,1,1,0.032,0.006,0.0,10.84,10.94,11.02,N/A,-1.0,-1.0,none,,,,,,,
SN2012bl,0.0186933,0.0181998,1.081,0.016,16.261,0.044,7.1,0.0297,0.003,0.0001483,CSPII,Ia,0.977,0,1,0.044,0.008,0.0,9.85,10.09,10.24,N/A,-1.0,-1.0,none,,,,,,,
SN2012bo,0.0254133,0.0265314,1.16,0.007,16.929,0.038,4.8,0.0447,0.0045,1.008e-05,CSPII,Ia,0.983,0,1,0.009,0.006,0.0,10.15,10.32,10.4,N/A,-1.0,-1.0,none,,,,,,,
SN2012cg,0.001458,0.0025798,1.024,0.008,12.552,0.017,-10.1,0.0179,0.0018,1.078e-05,,,,,,0.075,0.009,0.0,9.6,9.7,9.8,N4424,31.08,0.29,c,,,,,,,
SN2012fr,0.0054533,0.0051291,1.108,0.004,12.966,0.01,-7.2,0.0177,0.0018,-5.07e-07,CSPII,Ia,0.981,0,1,0.013,0.006,0.0,11.06,11.25,11.32,N1365,31.31,0.06,c,,,,,,,
SN2012gm,0.01478,0.013553,0.987,0.004,15.482,0.012,-3.1,0.0393,0.0039,3.366e-06,CSPII,Ia,0.977,0,1,0.172,0.004,0.0,9.9,10.01,10.08,N/A,-1.0,-1.0,none,,,,,,,
SN2012hd,0.0119433,0.0111341,0.888,0.004,15.127,0.017,-7.7,0.0228,0.0023,1.316e-05,CSPII,Ia,0.973,0,1,0.122,0.008,0.0,10.38,10.44,10.54,N/A,-1.0,-1.0,none,,,,,,,
SN2012hr,0.0075567,0.0078716,0.973,0.001,14.407,0.008,-0.1,0.0389,0.0039,2.018e-06,CSPII,Ia,0.966,0,1,0.009,0.004,0.0,10.21,10.32,10.45,N/A,-1.0,-1.0,none,,,,,,,
SN2012ht,0.0035567,0.0046846,0.868,0.003,13.686,0.01,-6.8,0.0252,0.0025,7.761e-06,CSPII,Ia,,0,1,-0.016,0.01,0.0,8.06,8.06,8.06,N3347,31.91,0.04,c,,,,,,,
SN2013E,0.0094067,0.0104565,1.131,0.004,14.514,0.025,14.6,0.0843,0.0084,8.581e-06,CSPII,Ia,0.951,0,1,0.075,0.004,0.0,9.83,9.96,9.99,N/A,-1.0,-1.0,none,,,,,,,
SN2013H,0.0154767,0.0158792,1.048,0.005,15.782,0.034,12.8,0.1134,0.0113,1.289e-05,CSPII,Ia,0.98,0,1,0.186,0.005,0.0,10.32,10.5,10.6,N/A,-1.0,-1.0,none,,,,,,,
SN2013M,0.03493,0.0357427,0.943,0.004,17.187,0.029,-0.7,0.0719,0.0072,1.923e-05,CSPII,Ia,0.934,1,1,0.023,0.01,0.0,10.73,10.9,11.04,N/A,-1.0,-1.0,none,,,,,,,
SN2013U,0.0344833,0.0356518,1.239,0.011,17.056,0.051,12.0,0.0245,0.0025,-6.326e-05,CSPII,Ia-91T,0.842,1,1,0.172,0.01,0.0,10.15,10.27,10.31,N/A,-1.0,-1.0,none,,,,,,,
SN2013aa,0.0039967,0.0046654,1.002,0.002,12.085,0.008,3.5,0.1458,0.0146,2.568e-06,CSPII,Ia,0.888,0,1,-0.068,0.004,0.0,9.85,9.99,10.12,N/A,-1.0,-1.0,none,,,,,,,
SN2013ad,0.0363748,0.0358694,0.991,0.013,17.266,0.058,6.7,0.3692,0.0369,5.99e-05,CSPII,Ia,0.639,1,0,-0.09,0.011,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,,,,,,,
SN2013aj,0.00912,0.0100653,0.8,0.004,14.584,0.012,-0.1,0.0316,0.0032,8.713e-06,CSPII,Ia,0.969,0,1,0.052,0.006,0.0,9.82,9.99,10.38,N/A,-1.0,-1.0,none,,,,,,,
SN2013as,0.0684526,0.0696439,1.01,0.022,18.963,0.164,10.1,0.0336,0.0034,1.008e-05,CSPII,Ia,0.984,1,0,0.0,0.067,0.0,8.43,8.59,8.95,N/A,-1.0,-1.0,none,,,,,,,
SN2013ay,0.0157167,0.0156526,0.494,0.019,15.772,0.036,8.4,0.0622,0.0062,-1.049e-05,CSPII,Ia,0.953,0,1,0.531,0.082,0.0,10.64,10.72,10.82,N/A,-1.0,-1.0,none,,,,,,,
SN2013az,0.0372533,0.037464,0.768,0.025,17.453,0.048,7.2,0.0271,0.0027,-6.587e-05,CSPII,Ia,0.972,1,0,0.089,0.064,0.0,10.93,10.99,11.07,N/A,-1.0,-1.0,none,,,,,,,
SN2013bc,0.02245,0.023528,0.481,0.023,16.844,0.065,1.5,0.0407,0.0041,9.867e-05,CSPII,Ia,0.98,0,1,0.735,0.067,0.0,10.28,10.47,10.55,N/A,-1.0,-1.0,none,,,,,,,
SN2013bz,0.01915,0.0201818,1.152,0.009,15.938,0.025,-0.5,0.0377,0.0038,7.06e-06,CSPII,Ia-91T,0.855,0,1,0.152,0.009,0.0,9.94,9.98,10.04,N/A,-1.0,-1.0,none,,,,,,,
