sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
ASAS14ad,0.0264,0.0274352,1.013,0.004,16.687,0.007,-5.7,0.0159,0.0016,4.33e-06,CSPII,Ia,0.973,0,1,-0.03,0.011,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none
ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.728,0.006,-2.7,0.0295,0.0029,-1.022e-05,CSPII,Ia,0.984,1,0,-0.055,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.994,0.014,-4.5,0.0131,0.0013,2.496e-05,CSPII,Ia,0.985,1,0,0.053,0.013,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none
ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.958,0.006,-5.2,0.0612,0.0061,7.021e-06,CSPII,Ia,0.983,0,1,-0.052,0.006,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none
ASAS14jc,0.0113167,0.0117796,0.914,0.005,16.875,0.014,-3.8,0.1346,0.0135,6.929e-06,CSPII,Ia,0.962,0,1,0.426,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none
ASAS14jg,0.0148167,0.014347,1.3,0.017,15.074,0.073,4.5,0.0128,0.0013,-2.262e-05,CSPII,Ia,0.961,0,1,0.068,0.059,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none
ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.987,0.005,-7.0,0.0472,0.0047,4.49e-06,CSPII,Ia,0.952,0,0,-0.045,0.006,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none
ASAS14kd,0.0243,0.0230683,1.174,0.007,16.55,0.007,-5.2,0.0574,0.0057,-2.323e-06,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none
ASAS14kq,0.0335767,0.0325972,1.157,0.011,17.078,0.012,-3.5,0.0155,0.0016,-2.944e-05,CSPII,Ia,0.961,1,0,-0.038,0.011,0.0,8.78,8.91,9.11,N/A,-1.0,-1.0,none
ASAS14lo,0.0199167,0.0210151,0.95,0.018,16.739,0.073,3.8,0.0282,0.0028,-1.548e-05,CSPII,Ia,0.979,0,1,0.116,0.061,0.0,9.47,9.69,9.79,N/A,-1.0,-1.0,none
ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.751,0.007,-11.3,0.0213,0.0021,6.231e-06,CSPII,Ia,0.335,0,1,0.237,0.006,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none
ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.571,0.094,7.2,0.0275,0.0028,-0.0001082,CSPII,Ia,0.977,0,1,0.013,0.078,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none
ASAS14lt,0.0320233,0.0314552,0.947,0.008,16.812,0.013,-3.1,0.0474,0.0047,3.992e-06,CSPII,Ia,0.984,1,0,-0.034,0.016,0.0,10.56,10.64,10.7,N/A,-1.0,-1.0,none
ASAS14lw,0.0208855,0.0202609,1.156,0.009,15.985,0.01,-7.5,0.0117,0.0012,-3.212e-07,CSPII,Ia,0.939,0,1,-0.01,0.011,0.0,6.08,6.35,6.72,N/A,-1.0,-1.0,none
ASAS14me,0.0178,0.017386,1.078,0.005,15.389,0.006,-9.8,0.0175,0.0018,6.824e-06,CSPII,Ia,0.981,0,1,0.001,0.006,0.0,8.91,9.05,9.15,N/A,-1.0,-1.0,none
ASAS14mf,0.03108,0.0301521,0.982,0.005,16.985,0.01,-3.1,0.0125,0.0013,5.385e-06,CSPII,Ia,0.984,1,0,-0.022,0.011,0.0,8.66,8.93,9.03,N/A,-1.0,-1.0,none
ASAS14mw,0.0273867,0.0271207,1.063,0.007,16.235,0.006,-5.0,0.0179,0.0018,-5.114e-07,CSPII,Ia,0.984,1,1,-0.042,0.005,0.0,10.59,10.68,10.75,N/A,-1.0,-1.0,none
ASAS14my,0.0205,0.0217279,0.921,0.005,16.001,0.009,-6.7,0.0316,0.0032,1.232e-05,CSPII,Ia,0.975,0,1,0.007,0.01,0.0,10.11,10.31,10.74,N/A,-1.0,-1.0,none
ASAS15aj,0.0109133,0.0120218,0.83,0.007,15.272,0.01,-1.0,0.0656,0.0066,-6.388e-06,CSPII,Ia,0.952,0,1,0.095,0.009,0.0,11.05,11.2,11.35,N/A,-1.0,-1.0,none
ASAS15al,0.0337766,0.0337612,1.079,0.027,17.327,0.072,2.0,0.0293,0.0029,-9.524e-05,CSPII,Ia,0.916,1,0,0.043,0.059,0.0,8.03,8.07,8.23,N/A,-1.0,-1.0,none
ASAS15as,0.0286801,0.0297845,1.077,0.014,16.705,0.01,0.3,0.0398,0.004,-4.612e-05,CSPII,Ia,0.985,1,1,0.018,0.008,0.0,7.47,7.66,8.01,N/A,-1.0,-1.0,none
ASAS15ba,0.0231167,0.0239771,0.965,0.004,16.547,0.007,-0.5,0.0223,0.0022,-5.792e-06,CSPII,Ia,0.983,0,1,0.0,0.006,0.0,7.83,7.99,8.19,N/A,-1.0,-1.0,none
ASAS15be,0.0218833,0.0213892,1.14,0.005,16.166,0.006,-5.6,0.0167,0.0017,-2.643e-06,CSPII,Ia,0.976,0,1,0.008,0.006,0.0,7.66,7.8,8.16,N/A,-1.0,-1.0,none
ASAS15bm,0.0207856,0.0214395,0.989,0.005,16.431,0.01,-6.1,0.069,0.0069,8.62e-06,CSPII,Ia,0.976,0,1,0.119,0.01,0.0,9.89,10.02,10.15,N/A,-1.0,-1.0,none
ASAS15cd,0.0342863,0.0353887,1.001,0.005,17.041,0.012,-2.0,0.0261,0.0026,1.26e-06,CSPII,Ia,0.983,1,0,-0.03,0.009,0.0,9.85,9.95,10.02,N/A,-1.0,-1.0,none
ASAS15da,0.0487,0.0488203,0.851,0.025,18.035,0.094,4.0,0.0303,0.003,-0.0001967,CSPII,Ia,0.973,1,0,-0.133,0.076,0.0,10.23,10.4,10.48,N/A,-1.0,-1.0,none
ASAS15db,0.01099,0.0113676,0.953,0.003,15.207,0.008,-4.6,0.029,0.0029,4.334e-06,CSPII,Ia,0.975,0,0,0.078,0.007,0.0,9.98,10.11,10.19,N/A,-1.0,-1.0,none
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.565,0.011,0.8,0.0461,0.0046,-1.094e-05,CSPII,Ia,0.962,0,0,-0.017,0.009,0.0,10.31,10.41,10.52,N/A,-1.0,-1.0,none
ASAS15eb,0.01647,0.0173082,0.82,0.018,15.502,0.02,0.7,0.1652,0.0165,-0.0001086,CSPII,Ia,0.978,0,1,-0.136,0.016,0.0,10.79,10.96,11.4,N/A,-1.0,-1.0,none
ASAS15fr,0.0334133,0.0345082,0.905,0.021,17.067,0.081,2.9,0.0321,0.0032,-2.573e-05,CSPII,Ia-91T,0.978,1,1,-0.147,0.066,0.0,9.89,9.98,10.06,N/A,-1.0,-1.0,none
ASAS15ga,0.0066267,0.0076517,0.5,0.031,16.686,0.058,-2.2,0.0236,0.0024,0.000229,CSPII,Ia-91bg,0.966,0,1,0.421,0.051,0.0,10.18,10.38,10.48,N/A,-1.0,-1.0,none
