sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype,covBVs
ASAS14ad,0.0264,0.0274352,1.01,0.018,16.975,0.09,6.8,0.0159,0.0016,-6.027e-06,CSPII,Ia,0.973,0,1,-0.010999999999999233,0.011180339887498949,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none,4.750999999999999e-06
ASAS14hp,0.0388933,0.0386676,1.074,0.01,17.503,0.03,-0.3,0.0295,0.0029,8.366e-06,CSPII,Ia,0.984,1,0,-0.04899999999999949,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none,1.183e-05
ASAS14hr,0.0335967,0.0327196,0.802,0.01,17.339,0.049,-3.2,0.0131,0.0013,-4.658e-05,CSPII,Ia,0.985,1,0,0.06099999999999994,0.01345362404707371,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none,4.999999999999986e-07
ASAS14hu,0.0215851,0.0218919,1.052,0.007,16.304,0.019,-5.8,0.0612,0.0061,2.317e-05,CSPII,Ia,0.983,0,1,-0.04499999999999993,0.006403124237432849,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none,2.1936e-05
ASAS14jc,0.0113167,0.0117796,0.915,0.005,15.0,0.084,4.7,0.1346,0.0135,-1.458e-05,CSPII,Ia,0.962,0,1,0.43700000000000117,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none,8.067000000000001e-06
ASAS14jg,0.0148167,0.014347,1.285,0.022,15.513,0.07,4.6,0.0128,0.0013,-4.275e-05,CSPII,Ia,0.961,0,1,0.049000000000001265,0.05940538696111658,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none,-1.8209999999999997e-05
ASAS14jz,0.0157891,0.0156168,0.989,0.006,15.38,0.034,-8.5,0.0472,0.0047,-1.998e-06,CSPII,Ia,0.952,0,0,-0.04100000000000037,0.00565685424949238,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none,-6.339e-06
ASAS14kd,0.0243,0.0230683,1.169,0.007,16.45,0.134,10.0,0.0574,0.0057,6.137e-05,CSPII,Ia-91T,0.941,0,0,0.2339999999999982,0.007071067811865475,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none,-1.7269e-05
ASAS14kq,0.0335767,0.0325972,1.147,0.011,17.403,0.037,-0.2,0.0155,0.0016,9.486e-05,CSPII,Ia,0.961,1,0,-0.020999999999997243,0.012041594578792296,0.0,8.78,8.91,9.11,N/A,-1.0,-1.0,none,-8.166e-05
ASAS14lo,0.0199167,0.0210151,0.952,0.018,16.443,0.067,1.3,0.0282,0.0028,-4.146e-06,CSPII,Ia,0.979,0,1,0.12700000000000067,0.060802960454241044,0.0,9.47,9.69,9.79,N/A,-1.0,-1.0,none,-3.7100000000000034e-07
ASAS14lp,0.0050967,0.0062254,1.029,0.004,12.271,0.019,-12.9,0.0213,0.0021,1.563e-05,CSPII,Ia,0.335,0,1,0.24300000000000033,0.006403124237432849,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none,5.687e-06
ASAS14lq,0.0261733,0.0250833,0.999,0.024,16.751,0.127,8.6,0.0275,0.0028,-2.04e-05,CSPII,Ia,0.977,0,1,0.019999999999999574,0.07940403012442127,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none,-1.0990000000000002e-05
ASAS14lt,0.0320233,0.0314552,0.944,0.008,17.095,0.039,-3.5,0.0474,0.0047,-2.353e-05,CSPII,Ia,0.984,1,0,-0.0329999999999977,0.016401219466856725,0.0,10.56,10.64,10.7,N/A,-1.0,-1.0,none,1.0000000000001598e-08
ASAS14lw,0.0208855,0.0202609,1.25,0.007,16.551,0.042,-9.1,0.0117,0.0012,1.801e-05,CSPII,Ia,0.939,0,1,-0.012000000000000455,0.009219544457292887,0.0,6.08,6.35,6.72,N/A,-1.0,-1.0,none,3.0699999999999994e-06
ASAS14me,0.0178,0.017386,1.078,0.005,15.868,0.066,1.5,0.0175,0.0018,1.082e-05,CSPII,Ia,0.981,0,1,0.006999999999999673,0.00565685424949238,0.0,8.91,9.05,9.15,N/A,-1.0,-1.0,none,6.19e-06
ASAS14mf,0.03108,0.0301521,0.984,0.005,16.958,0.123,16.3,0.0125,0.0013,-2.854e-05,CSPII,Ia,0.984,1,0,-0.012000000000000455,0.01063014581273465,0.0,8.66,8.93,9.03,N/A,-1.0,-1.0,none,2.48e-06
ASAS14mw,0.0273867,0.0271207,1.063,0.007,16.783,0.021,-4.7,0.0179,0.0018,2.769e-06,CSPII,Ia,0.984,1,1,-0.03399999999999892,0.005,0.0,10.59,10.68,10.75,N/A,-1.0,-1.0,none,1.2944e-05
ASAS14my,0.0205,0.0217279,0.923,0.005,16.263,0.024,-8.3,0.0316,0.0032,-4.207e-06,CSPII,Ia,0.975,0,1,0.014999999999998792,0.01,0.0,10.11,10.31,10.74,N/A,-1.0,-1.0,none,9.722000000000001e-06
ASAS15aj,0.0109133,0.0120218,0.831,0.007,14.784,0.035,-2.6,0.0656,0.0066,-3.209e-06,CSPII,Ia,0.952,0,1,0.10299999999999976,0.009219544457292887,0.0,11.05,11.2,11.35,N/A,-1.0,-1.0,none,-1.2812999999999999e-05
ASAS15al,0.0337766,0.0337612,1.077,0.028,17.637,0.034,19.3,0.0293,0.0029,4.538e-05,CSPII,Ia,0.916,1,0,0.054999999999999716,0.05920304046246273,0.0,8.03,8.07,8.23,N/A,-1.0,-1.0,none,-1.0789999999999997e-05
ASAS15as,0.0286801,0.0297845,1.076,0.014,17.145,0.048,11.6,0.0398,0.004,1.983e-05,CSPII,Ia,0.985,1,1,0.028999999999999915,0.0078102496759066544,0.0,7.47,7.66,8.01,N/A,-1.0,-1.0,none,1.348e-05
ASAS15ba,0.0231167,0.0239771,0.967,0.004,16.613,0.069,4.9,0.0223,0.0022,8.45e-07,CSPII,Ia,0.983,0,1,0.008000000000000895,0.006403124237432849,0.0,7.83,7.99,8.19,N/A,-1.0,-1.0,none,-1.1373e-06
ASAS15be,0.0218833,0.0213892,1.134,0.006,16.456,0.021,-0.3,0.0167,0.0017,1.963e-05,CSPII,Ia,0.976,0,1,0.019000000000000128,0.006403124237432849,0.0,7.66,7.8,8.16,N/A,-1.0,-1.0,none,-2.0469e-05
