sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,method,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,m,ml,mu,sample,subtype,quality,caltype
ASAS14ad,0.0264,0.0274352,1.013,0.004,16.238,0.01,-7.2,0.0159,0.0016,1.146e-05,,,,-0.03,0.011,0.0001,N/A,-1.0,-1.0,,,8.61,8.23,8.78,CSPII,Ia,0.973,none
ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.496,0.004,-4.2,0.0295,0.0029,5.043e-06,,,,-0.055,0.005,1.6e-05,N/A,-1.0,-1.0,,,9.09,8.98,9.15,CSPII,Ia,0.984,none
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.081,0.01,-6.1,0.0131,0.0013,3.941e-05,,,,0.053,0.013,0.0001,N/A,-1.0,-1.0,,,10.34,10.18,10.45,CSPII,Ia,0.985,none
ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.384,0.005,-6.8,0.0612,0.0061,1.156e-05,,,,-0.052,0.006,2.5e-05,N/A,-1.0,-1.0,,,9.93,9.8,10.24,CSPII,Ia,0.983,none
ASAS14jc,0.0113167,0.0117796,0.914,0.005,15.679,0.008,-5.3,0.1346,0.0135,1.325e-05,,,,0.426,0.01,6.4e-05,N/A,-1.0,-1.0,,,9.46,9.32,9.77,CSPII,Ia,0.962,none
ASAS14jg,0.0148167,0.014347,1.3,0.017,14.787,0.047,2.6,0.0128,0.0013,-8.079e-06,,,,0.068,0.059,0.002209,N/A,-1.0,-1.0,,,8.76,8.57,8.88,CSPII,Ia,0.961,none
ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.622,0.004,-8.5,0.0472,0.0047,3.339e-06,,,,-0.045,0.006,1.6e-05,N/A,-1.0,-1.0,,,8.23,8.11,8.35,CSPII,Ia,0.952,none
ASAS14kd,0.0243,0.0230683,1.174,0.007,16.239,0.005,-7.0,0.0574,0.0057,4.629e-07,,,,0.221,0.007,2.5e-05,N/A,-1.0,-1.0,,,10.14,10.03,10.23,CSPII,Ia-91T,0.941,none
ASAS14kq,0.0335767,0.0325972,1.157,0.011,16.583,0.008,-5.2,0.0155,0.0016,-1.662e-05,,,,-0.038,0.011,6.4e-05,N/A,-1.0,-1.0,,,8.91,8.78,9.11,CSPII,Ia,0.961,none
ASAS14lo,0.0199167,0.0210151,0.95,0.018,15.997,0.049,2.3,0.0282,0.0028,-6.944e-06,,,,0.116,0.061,0.002401,N/A,-1.0,-1.0,,,9.69,9.47,9.79,CSPII,Ia,0.979,none
ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.156,0.005,-13.8,0.0213,0.0021,7.726e-06,,,,0.237,0.006,2.5e-05,N/A,-1.0,-1.0,,,10.74,10.6,10.91,CSPII,Ia,0.335,none
ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.025,0.063,5.7,0.0275,0.0028,-5.456e-05,,,,0.013,0.078,0.003969,N/A,-1.0,-1.0,,,10.65,10.46,10.73,CSPII,Ia,0.977,none
ASAS14lt,0.0320233,0.0314552,0.947,0.008,16.335,0.013,-4.6,0.0474,0.0047,2.33e-05,,,,-0.034,0.016,0.000169,N/A,-1.0,-1.0,,,10.64,10.56,10.7,CSPII,Ia,0.984,none
ASAS14lw,0.0208855,0.0202609,1.156,0.009,15.558,0.008,-9.2,0.0117,0.0012,-1.226e-06,,,,-0.01,0.011,6.4e-05,N/A,-1.0,-1.0,,,6.35,6.08,6.72,CSPII,Ia,0.939,none
ASAS14me,0.0178,0.017386,1.078,0.005,15.08,0.004,-10.4,0.0175,0.0018,4.622e-06,,,,0.001,0.006,1.6e-05,N/A,-1.0,-1.0,,,9.05,8.91,9.15,CSPII,Ia,0.981,none
ASAS14mf,0.03108,0.0301521,0.982,0.005,16.493,0.008,-3.6,0.0125,0.0013,1.314e-05,,,,-0.022,0.011,6.4e-05,N/A,-1.0,-1.0,,,8.93,8.66,9.03,CSPII,Ia,0.984,none
ASAS14mw,0.0273867,0.0271207,1.063,0.007,15.841,0.004,-6.6,0.0179,0.0018,6.046e-06,,,,-0.042,0.005,1.6e-05,N/A,-1.0,-1.0,,,10.68,10.59,10.75,CSPII,Ia,0.984,none
ASAS14my,0.0205,0.0217279,0.921,0.005,15.565,0.008,-8.2,0.0316,0.0032,1.914e-05,,,,0.007,0.01,6.4e-05,N/A,-1.0,-1.0,,,10.31,10.11,10.74,CSPII,Ia,0.975,none
