sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,dist,edist,covBVs,host,caltype
ASAS14ad,0.0264,0.0274352,1.01,0.018,17.021,0.009,-7.2,0.0159,0.0016,-4.15e-07,CSPII,Ia,0.973,0,1,-0.010999999999999233,0.011180339887498949,0.0,8.23,8.61,8.78,-1.0,-1.0,4.750999999999999e-06,,
ASAS14hp,0.0388933,0.0386676,1.074,0.01,17.376,0.008,-4.3,0.0295,0.0029,3.064e-06,CSPII,Ia,0.984,1,0,-0.04899999999999949,0.005,0.0,8.98,9.09,9.15,-1.0,-1.0,1.183e-05,,
ASAS14hr,0.0335967,0.0327196,0.802,0.01,17.528,0.017,-6.1,0.0131,0.0013,3.05e-05,CSPII,Ia,0.985,1,0,0.06099999999999994,0.01345362404707371,0.0,10.18,10.34,10.45,-1.0,-1.0,4.999999999999986e-07,,
ASAS14hu,0.0215851,0.0218919,1.052,0.007,16.269,0.009,-6.8,0.0612,0.0061,3.043e-07,CSPII,Ia,0.983,0,1,-0.04499999999999993,0.006403124237432849,0.0,9.8,9.93,10.24,-1.0,-1.0,2.1936e-05,,
ASAS14jc,0.0113167,0.0117796,0.915,0.005,15.487,0.012,-5.3,0.1346,0.0135,1.079e-06,CSPII,Ia,0.962,0,1,0.43700000000000117,0.01,0.0,9.32,9.46,9.77,-1.0,-1.0,8.067000000000001e-06,,
ASAS14jg,0.0148167,0.014347,1.285,0.022,15.448,0.058,3.8,0.0128,0.0013,9.919e-07,CSPII,Ia,0.961,0,1,0.049000000000001265,0.05940538696111658,0.0,8.57,8.76,8.88,-1.0,-1.0,-1.8209999999999997e-05,,
ASAS14jz,0.0157891,0.0156168,0.989,0.006,15.343,0.008,-8.5,0.0472,0.0047,3.097e-06,CSPII,Ia,0.952,0,0,-0.04100000000000037,0.00565685424949238,0.0,8.11,8.23,8.35,-1.0,-1.0,-6.339e-06,,
ASAS14kd,0.0243,0.0230683,1.169,0.007,16.462,0.01,-6.9,0.0574,0.0057,1.763e-05,CSPII,Ia-91T,0.941,0,0,0.2339999999999982,0.007071067811865475,0.0,10.03,10.14,10.23,-1.0,-1.0,-1.7269e-05,,
ASAS14kq,0.0335767,0.0325972,1.147,0.011,17.309,0.014,-5.2,0.0155,0.0016,5.563e-05,CSPII,Ia,0.961,1,0,-0.020999999999997243,0.012041594578792296,0.0,8.78,8.91,9.11,-1.0,-1.0,-8.166e-05,,
ASAS14lo,0.0199167,0.0210151,0.952,0.018,16.497,0.059,2.3,0.0282,0.0028,-8.705e-06,CSPII,Ia,0.979,0,1,0.12700000000000067,0.060802960454241044,0.0,9.47,9.69,9.79,-1.0,-1.0,-3.7100000000000034e-07,,
