sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype,covBVs
ASAS14ad,0.0264,0.0274352,1.01,0.018,16.182,0.005,-7.2,0.0159,0.0016,6.868e-06,CSPII,Ia,0.973,0,1,-0.010999999999999233,0.011180339887498949,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none,4.750999999999999e-06
ASAS14hp,0.0388933,0.0386676,1.074,0.01,16.491,0.004,-4.3,0.0295,0.0029,9.502e-06,CSPII,Ia,0.984,1,0,-0.04899999999999949,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none,1.183e-05
ASAS14hr,0.0335967,0.0327196,0.802,0.01,17.051,0.009,-6.1,0.0131,0.0013,3.199e-05,CSPII,Ia,0.985,1,0,0.06099999999999994,0.01345362404707371,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none,4.999999999999986e-07
ASAS14hu,0.0215851,0.0218919,1.052,0.007,15.386,0.005,-6.8,0.0612,0.0061,1.389e-05,CSPII,Ia,0.983,0,1,-0.04499999999999993,0.006403124237432849,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none,2.1936e-05
ASAS14jc,0.0113167,0.0117796,0.915,0.005,15.523,0.008,-5.3,0.1346,0.0135,1.043e-05,CSPII,Ia,0.962,0,1,0.43700000000000117,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none,8.067000000000001e-06
ASAS14jg,0.0148167,0.014347,1.285,0.022,14.73,0.027,2.7,0.0128,0.0013,-3.207e-05,CSPII,Ia,0.961,0,1,0.049000000000001265,0.05940538696111658,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none,-1.8209999999999997e-05
ASAS14jz,0.0157891,0.0156168,0.989,0.006,14.621,0.004,-8.5,0.0472,0.0047,3.499e-06,CSPII,Ia,0.952,0,0,-0.04100000000000037,0.00565685424949238,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none,-6.339e-06
ASAS14kd,0.0243,0.0230683,1.169,0.007,16.121,0.005,-6.9,0.0574,0.0057,2.847e-06,CSPII,Ia-91T,0.941,0,0,0.2339999999999982,0.007071067811865475,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none,-1.7269e-05
ASAS14kq,0.0335767,0.0325972,1.147,0.011,16.579,0.007,-5.2,0.0155,0.0016,-8.455e-07,CSPII,Ia,0.961,1,0,-0.020999999999997243,0.012041594578792296,0.0,8.78,8.91,9.11,N/A,-1.0,-1.0,none,-8.166e-05
ASAS14lo,0.0199167,0.0210151,0.952,0.018,15.922,0.027,2.3,0.0282,0.0028,-6.77e-06,CSPII,Ia,0.979,0,1,0.12700000000000067,0.060802960454241044,0.0,9.47,9.69,9.79,N/A,-1.0,-1.0,none,-3.7100000000000034e-07
ASAS14lp,0.0050967,0.0062254,1.029,0.004,12.014,0.005,-13.9,0.0213,0.0021,6.522e-06,CSPII,Ia,0.335,0,1,0.24300000000000033,0.006403124237432849,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none,5.687e-06
ASAS14lq,0.0261733,0.0250833,0.999,0.024,16.001,0.041,5.6,0.0275,0.0028,-5.473e-05,CSPII,Ia,0.977,0,1,0.019999999999999574,0.07940403012442127,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none,-1.0990000000000002e-05
ASAS14lt,0.0320233,0.0314552,0.944,0.008,16.315,0.012,-4.6,0.0474,0.0047,1.489e-05,CSPII,Ia,0.984,1,0,-0.0329999999999977,0.016401219466856725,0.0,10.56,10.64,10.7,N/A,-1.0,-1.0,none,1.0000000000001598e-08
ASAS14lw,0.0208855,0.0202609,1.25,0.007,15.561,0.006,-9.0,0.0117,0.0012,1.84e-05,CSPII,Ia,0.939,0,1,-0.012000000000000455,0.009219544457292887,0.0,6.08,6.35,6.72,N/A,-1.0,-1.0,none,3.0699999999999994e-06
ASAS14me,0.0178,0.017386,1.078,0.005,15.067,0.004,-11.5,0.0175,0.0018,5.038e-06,CSPII,Ia,0.981,0,1,0.006999999999999673,0.00565685424949238,0.0,8.91,9.05,9.15,N/A,-1.0,-1.0,none,6.19e-06
ASAS14mf,0.03108,0.0301521,0.984,0.005,16.461,0.007,-4.7,0.0125,0.0013,1.252e-05,CSPII,Ia,0.984,1,0,-0.012000000000000455,0.01063014581273465,0.0,8.66,8.93,9.03,N/A,-1.0,-1.0,none,2.48e-06
ASAS14mw,0.0273867,0.0271207,1.063,0.007,15.835,0.003,-6.6,0.0179,0.0018,7.686e-06,CSPII,Ia,0.984,1,1,-0.03399999999999892,0.005,0.0,10.59,10.68,10.75,N/A,-1.0,-1.0,none,1.2944e-05
ASAS14my,0.0205,0.0217279,0.923,0.005,15.546,0.007,-8.2,0.0316,0.0032,1.461e-05,CSPII,Ia,0.975,0,1,0.014999999999998792,0.01,0.0,10.11,10.31,10.74,N/A,-1.0,-1.0,none,9.722000000000001e-06
ASAS15aj,0.0109133,0.0120218,0.831,0.007,14.596,0.006,-2.6,0.0656,0.0066,2.705e-06,CSPII,Ia,0.952,0,1,0.10299999999999976,0.009219544457292887,0.0,11.05,11.2,11.35,N/A,-1.0,-1.0,none,-1.2812999999999999e-05
ASAS15al,0.0337766,0.0337612,1.077,0.028,16.844,0.026,0.4,0.0293,0.0029,-2.275e-05,CSPII,Ia,0.916,1,0,0.054999999999999716,0.05920304046246273,0.0,8.03,8.07,8.23,N/A,-1.0,-1.0,none,-1.0789999999999997e-05
ASAS15as,0.0286801,0.0297845,1.076,0.014,16.163,0.006,-1.3,0.0398,0.004,-8.17e-07,CSPII,Ia,0.985,1,1,0.028999999999999915,0.0078102496759066544,0.0,7.47,7.66,8.01,N/A,-1.0,-1.0,none,1.348e-05
ASAS15ba,0.0231167,0.0239771,0.967,0.004,15.951,0.004,-2.1,0.0223,0.0022,1.015e-06,CSPII,Ia,0.983,0,1,0.008000000000000895,0.006403124237432849,0.0,7.83,7.99,8.19,N/A,-1.0,-1.0,none,-1.1373e-06
ASAS15be,0.0218833,0.0213892,1.134,0.006,15.606,0.004,-7.2,0.0167,0.0017,5.195e-07,CSPII,Ia,0.976,0,1,0.019000000000000128,0.006403124237432849,0.0,7.66,7.8,8.16,N/A,-1.0,-1.0,none,-2.0469e-05
ASAS15bm,0.0207856,0.0214395,0.991,0.005,15.691,0.006,-7.6,0.069,0.0069,8.578e-06,CSPII,Ia,0.976,0,1,0.12700000000000067,0.009899494936611667,0.0,9.89,10.02,10.15,N/A,-1.0,-1.0,none,-4.38e-06
ASAS15cd,0.0342863,0.0353887,1.003,0.005,16.631,0.007,-3.6,0.0261,0.0026,6.021e-06,CSPII,Ia,0.983,1,0,-0.021000000000000796,0.009219544457292887,0.0,9.85,9.95,10.02,N/A,-1.0,-1.0,none,-9.859999999999995e-07
ASAS15da,0.0487,0.0488203,0.853,0.025,17.581,0.038,2.5,0.0303,0.003,-9.435e-05,CSPII,Ia,0.973,1,0,-0.1319999999999979,0.07602631123499284,0.0,10.23,10.4,10.48,N/A,-1.0,-1.0,none,-0.00010775999999999998
ASAS15db,0.01099,0.0113676,0.955,0.003,14.62,0.004,-6.1,0.029,0.0029,4.033e-06,CSPII,Ia,0.975,0,0,0.0860000000000003,0.006403124237432849,0.0,9.98,10.11,10.19,N/A,-1.0,-1.0,none,3.0610000000000004e-06
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.034,0.006,-0.8,0.0461,0.0046,-1.123e-06,CSPII,Ia,0.962,0,0,-0.0070000000000014495,0.009219544457292887,0.0,10.31,10.41,10.52,N/A,-1.0,-1.0,none,-1.3378999999999998e-05
ASAS15eb,0.01647,0.0173082,0.821,0.018,15.227,0.011,-0.9,0.1652,0.0165,-2.225e-05,CSPII,Ia,0.978,0,1,-0.12899999999999956,0.015620499351813309,0.0,10.79,10.96,11.4,N/A,-1.0,-1.0,none,-7.844e-05
ASAS15fr,0.0334133,0.0345082,0.905,0.021,16.692,0.031,1.4,0.0321,0.0032,-8.699e-06,CSPII,Ia-91T,0.978,1,1,-0.13299999999999912,0.0658027355054484,0.0,9.89,9.98,10.06,N/A,-1.0,-1.0,none,1.3709e-05
ASAS15ga,0.0066267,0.0076517,0.496,0.03,15.315,0.036,-3.9,0.0236,0.0024,0.0004584,CSPII,Ia-91bg,0.966,0,1,0.43100000000000094,0.04957822102496216,0.0,10.18,10.38,10.48,N/A,-1.0,-1.0,none,-0.0003347
ASAS15go,0.01891,0.0192546,1.071,0.012,15.954,0.005,-4.0,0.1369,0.0137,1.286e-05,CSPII,Ia,0.981,0,1,0.22400000000000198,0.006403124237432849,0.0,10.04,10.18,10.27,N/A,-1.0,-1.0,none,2.0911e-05
ASAS15gr,0.0242832,0.0247678,1.035,0.007,15.823,0.004,-3.4,0.0823,0.0082,5.821e-06,CSPII,Ia,0.983,0,1,-0.036000000000001364,0.006403124237432849,0.0,8.82,8.94,9.02,N/A,-1.0,-1.0,none,1.0612e-05
ASAS15hf,0.0061733,0.0072452,0.943,0.005,13.961,0.007,-7.8,0.0854,0.0085,1.223e-05,CSPII,Ia,0.961,0,1,0.009000000000000341,0.01,0.0,9.39,9.56,9.97,N/A,-1.0,-1.0,none,3.3200000000000004e-06
ASAS15hg,0.02975,0.0308678,0.82,0.02,16.84,0.028,1.7,0.041,0.0041,-1.966e-05,CSPII,Ia,0.985,1,0,0.06299999999999883,0.060802960454241044,0.0,10.3,10.42,10.51,N/A,-1.0,-1.0,none,-2.309e-05
ASAS15hx,0.0083,0.0092051,1.039,0.005,13.132,0.004,-11.2,0.0415,0.0042,6.321e-06,CSPII,Ia,0.909,0,1,-0.030000000000001137,0.005,0.0,7.06,7.45,7.89,N/A,-1.0,-1.0,none,7.7367e-06
CSP12J,0.01468,0.0149235,0.484,0.025,16.112,0.078,7.1,0.0678,0.0068,-0.0002779,CSPII,Ia,0.917,0,0,0.5549999999999997,0.12841339493993606,0.0,9.97,10.09,10.2,N/A,-1.0,-1.0,none,-0.0001782
CSP12N,0.0971328,0.0982741,1.053,0.012,18.599,0.006,-8.9,0.0429,0.0043,2.946e-05,CSPII,Ia,0.985,1,0,-0.11400000000000077,0.00848528137423857,0.0,7.32,7.51,7.66,N/A,-1.0,-1.0,none,5.983e-05
CSP13aad,0.0868,0.0865709,1.19,0.033,18.622,0.036,3.2,0.0206,0.0021,-5.478e-05,CSPII,Ia,0.979,1,0,0.019999999999999574,0.06940461079784253,0.0,9.59,9.65,9.8,N/A,-1.0,-1.0,none,-1.0499999999999998e-05
CSP13abm,0.0281805,0.027529,1.129,0.01,16.333,0.006,-4.0,0.1485,0.0149,-7.966e-07,CSPII,Ia,0.747,0,1,-0.006000000000000227,0.00848528137423857,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,-3.2085e-05
CSP14aaq,0.0359133,0.0361755,0.898,0.015,16.651,0.014,-6.7,0.0524,0.0052,7.115e-05,CSPII,Ia,0.986,1,0,-0.08999999999999986,0.020518284528683192,0.0,11.01,11.08,11.48,N/A,-1.0,-1.0,none,4.0090000000000004e-05
CSP14abn,0.0225,0.0232746,1.007,0.005,15.596,0.003,-1.4,0.0747,0.0075,-3.523e-07,CSPII,Ia,0.976,0,0,-0.0259999999999998,0.004242640687119285,0.0,9.59,9.75,10.24,N/A,-1.0,-1.0,none,1.0395e-06
CSP14acl,0.0299792,0.0289327,0.96,0.008,16.549,0.011,-0.2,0.0264,0.0026,-1.663e-05,CSPII,Ia,0.081,0,0,-0.07099999999999795,0.015,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,-1.456e-05
CSP14adc,0.03244,0.031651,0.811,0.01,17.06,0.008,-3.2,0.0949,0.0095,1.454e-05,CSPII,Ia,0.976,1,1,0.23200000000000287,0.011401754250991379,0.0,10.67,10.81,11.14,N/A,-1.0,-1.0,none,-7.78e-06
CSP15B,0.0198862,0.0208198,0.718,0.006,16.053,0.007,-3.8,0.0641,0.0064,1.462e-05,CSPII,Ia,0.966,0,1,0.1399999999999988,0.010816653826391968,0.0,10.78,10.95,11.42,N/A,-1.0,-1.0,none,7.780000000000002e-06
CSP15aae,0.0161833,0.0169733,0.505,0.004,16.544,0.008,-6.7,0.0226,0.0023,6.949e-06,CSPII,Ia-91bg,0.981,0,1,0.4540000000000006,0.01063014581273465,0.0,10.96,11.14,11.26,N/A,-1.0,-1.0,none,-7.608e-06
KISS15m,0.02432,0.0253844,0.425,0.009,17.999,0.021,-4.1,0.0277,0.0028,4.057e-05,CSPII,Ia-91bg,0.958,0,0,0.6219999999999999,0.03176476034853718,0.0,9.67,9.78,9.94,N/A,-1.0,-1.0,none,2.099e-05
KISS15n,0.023084,0.0239783,1.225,0.009,15.455,0.007,-13.1,0.0088,0.0009,3.044e-05,CSPII,Ia-91T,0.85,0,1,0.09700000000000131,0.01063014581273465,0.0,7.8,8.0,8.17,N/A,-1.0,-1.0,none,1.026e-05
LSQ11bk,0.0402721,0.0400251,1.071,0.016,16.88,0.007,-0.7,0.0936,0.0094,-3.155e-06,CSPII,Ia,0.967,1,0,-0.0779999999999994,0.01063014581273465,0.0,6.5,6.53,6.59,N/A,-1.0,-1.0,none,2.1769999999999997e-05
LSQ11ot,0.02732,0.0273222,0.982,0.004,17.71,0.004,-5.3,0.1581,0.0158,5.133e-06,CSPII,Ia,0.976,1,1,0.3200000000000003,0.006403124237432849,0.0,10.0,10.17,10.22,N/A,-1.0,-1.0,none,9.700000000000009e-08
LSQ11pn,0.0326533,0.0326611,0.503,0.008,17.311,0.011,-5.1,0.1457,0.0146,3.071e-05,CSPII,Ia,0.948,1,1,0.2870000000000026,0.01769180601295413,0.0,10.52,10.7,10.8,N/A,-1.0,-1.0,none,-2.373e-05
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.359,0.036,5.0,0.0371,0.0037,-4.805e-05,CSPII,Ia,0.986,1,0,0.08899999999999864,0.07300684899377592,0.0,9.29,9.3,9.43,N/A,-1.0,-1.0,none,-0.0001611
LSQ12aor,0.0933354,0.0945588,0.923,0.018,19.395,0.014,-4.7,0.0415,0.0042,0.000129,CSPII,Ia,0.986,1,0,-0.06899999999999906,0.02469817807045694,0.0,9.67,9.85,10.15,N/A,-1.0,-1.0,none,7.897999999999999e-05
LSQ12bld,0.0833623,0.084303,0.896,0.009,18.947,0.008,-7.9,0.0233,0.0023,4.296e-05,CSPII,Ia,0.987,1,0,0.0779999999999994,0.014422205101855958,0.0,10.42,10.55,10.64,N/A,-1.0,-1.0,none,3.076e-05
LSQ12btn,0.0541733,0.0552706,0.829,0.01,18.127,0.008,-1.7,0.0333,0.0033,-1.057e-06,CSPII,Ia,0.986,1,0,0.10000000000000142,0.01063014581273465,0.0,10.84,10.9,10.94,N/A,-1.0,-1.0,none,-2.3436e-05
LSQ12ca,0.0994,0.0995466,0.947,0.032,19.058,0.034,1.0,0.0417,0.0042,-8.335e-05,CSPII,Ia,0.962,0,0,-0.04999999999999716,0.07280109889280519,0.0,10.34,10.44,10.64,N/A,-1.0,-1.0,none,-6.7e-06
LSQ12cda,0.1374948,0.1384035,0.813,0.126,20.141,0.069,3.9,0.0284,0.0028,-0.003972,CSPII,Ia,0.859,1,0,0.045000000000001705,0.1265701386583739,0.0,9.69,9.82,9.98,N/A,-1.0,-1.0,none,-0.003626
LSQ12cdl,0.1079253,0.1090245,0.994,0.044,19.153,0.031,0.5,0.0492,0.0049,-1.826e-05,CSPII,Ia,0.986,1,0,-0.14099999999999824,0.07280109889280519,0.0,8.79,8.81,8.93,N/A,-1.0,-1.0,none,0.000384
LSQ13aiz,0.0092,0.0102493,0.964,0.006,13.651,0.006,-8.4,0.0788,0.0079,1.193e-05,CSPII,Ia,0.716,0,1,0.08000000000000007,0.008602325267042627,0.0,8.12,8.24,8.34,N/A,-1.0,-1.0,none,7.829000000000002e-06
LSQ13dsm,0.0423707,0.0419767,0.909,0.004,17.256,0.005,-11.8,0.0088,0.0009,8.988e-06,CSPII,Ia,0.984,1,0,-0.015999999999998238,0.0078102496759066544,0.0,8.85,9.01,9.14,N/A,-1.0,-1.0,none,6.349e-06
LSQ13ry,0.0298367,0.031032,0.881,0.006,16.519,0.01,-12.1,0.0403,0.004,2.519e-05,CSPII,Ia,0.971,1,1,-0.047999999999998266,0.011401754250991379,0.0,9.54,9.64,9.7,N/A,-1.0,-1.0,none,1.1769999999999999e-05
LSQ13vy,0.0417711,0.0421068,0.891,0.005,17.531,0.007,-4.7,0.0676,0.0068,1.542e-05,CSPII,Ia,0.985,1,0,0.07599999999999696,0.0078102496759066544,0.0,10.15,10.17,10.33,N/A,-1.0,-1.0,none,6.516e-06
LSQ14ajn,0.02101,0.0221584,0.654,0.004,16.227,0.006,-0.3,0.0193,0.0019,6.888e-07,CSPII,Ia,0.979,0,1,0.07499999999999929,0.009219544457292887,0.0,9.95,10.11,10.3,N/A,-1.0,-1.0,none,-7.017e-06
LSQ14gov,0.089538,0.0892443,1.052,0.011,18.482,0.028,2.5,0.0357,0.0036,-5.545e-06,CSPII,Ia,0.985,1,0,-0.1039999999999992,0.0078102496759066544,0.0,8.85,9.02,9.19,N/A,-1.0,-1.0,none,5.347e-05
LSQ14wp,0.0694519,0.0706148,1.134,0.012,17.874,0.006,-7.8,0.0207,0.0021,1.041e-06,CSPII,Ia-91T,0.984,1,0,-0.037000000000002586,0.01063014581273465,0.0,7.23,7.48,7.59,N/A,-1.0,-1.0,none,-5.6905000000000005e-05
LSQ15aae,0.0515643,0.0517701,1.218,0.007,17.776,0.006,-5.5,0.0616,0.0062,1.65e-05,CSPII,Ia-91T,0.982,1,0,0.07700000000000173,0.00848528137423857,0.0,10.1,10.27,10.46,N/A,-1.0,-1.0,none,-3.200000000000003e-07
PS1-14ra,0.0280833,0.0287982,0.777,0.006,16.576,0.004,-0.1,0.023,0.0023,-7.274e-07,CSPII,Ia,0.984,1,1,0.05999999999999872,0.006403124237432849,0.0,10.35,10.65,10.72,N/A,-1.0,-1.0,none,-7.999999999999754e-09
PS1-14xw,0.0245,0.0245957,1.039,0.01,15.777,0.004,-3.2,0.0656,0.0066,1.035e-05,CSPII,Ia,0.975,0,0,0.0259999999999998,0.006403124237432849,0.0,11.11,11.24,11.71,N/A,-1.0,-1.0,none,2.213e-05
PS15sv,0.033277,0.0335844,0.993,0.005,16.391,0.006,-3.9,0.0782,0.0078,9.389e-06,CSPII,Ia-91T,0.977,1,1,0.010999999999999233,0.009219544457292887,0.0,8.2,8.31,8.56,N/A,-1.0,-1.0,none,-4.999999999999986e-07
PTF11pbp,0.0289033,0.0276702,1.15,0.007,16.29,0.005,-6.4,0.0507,0.0051,8.501e-07,CSPII,Ia,0.984,1,1,0.054999999999999716,0.007071067811865475,0.0,10.73,10.88,10.97,N/A,-1.0,-1.0,none,-2.4789e-05
PTF11ppn,0.0672534,0.0661869,0.641,0.037,18.576,0.106,7.4,0.132,0.0132,0.000813,CSPII,Ia-91bg,0.154,1,0,0.18900000000000006,0.17917589123540031,0.0,10.96,11.02,11.06,N/A,-1.0,-1.0,none,0.00017540000000000004
PTF11pra,0.0175433,0.0167242,0.439,0.017,17.634,0.027,0.9,0.0243,0.0024,-2.697e-06,CSPII,Ia,0.981,0,0,0.9200000000000017,0.06,0.0,10.57,10.68,10.75,N/A,-1.0,-1.0,none,-3.1940000000000003e-06
PTF11qnr,0.0162167,0.0149985,0.806,0.008,15.583,0.006,-9.3,0.0556,0.0056,1.452e-05,CSPII,Ia,0.979,0,1,0.2550000000000008,0.009219544457292887,0.0,10.38,10.65,10.7,N/A,-1.0,-1.0,none,4.969999999999998e-06
PTF13duj,0.01694,0.015867,1.156,0.014,15.035,0.008,-7.0,0.0665,0.0067,5.687e-06,CSPII,Ia,0.965,0,1,0.057000000000000384,0.012041594578792296,0.0,10.61,10.73,10.82,N/A,-1.0,-1.0,none,-5.6117e-05
PTF13dwl,0.0874395,0.0863561,1.088,0.04,18.457,0.025,-5.3,0.0613,0.0061,0.000415,CSPII,Ia,0.987,1,0,-0.03400000000000247,0.011401754250991379,0.0,8.42,8.74,8.98,N/A,-1.0,-1.0,none,7.794e-05
PTF13ebh,0.01326,0.012484,0.636,0.004,14.981,0.006,-13.0,0.0668,0.0067,7.2e-06,CSPII,Ia,0.975,0,1,0.12299999999999933,0.009219544457292887,0.0,10.8,10.86,11.02,N/A,-1.0,-1.0,none,-1.099e-06
PTF14aje,0.0276708,0.0282271,0.684,0.005,18.229,0.007,-3.2,0.1524,0.0152,8.388e-06,CSPII,Ia,0.978,1,0,0.6080000000000005,0.010816653826391968,0.0,10.64,10.78,10.84,N/A,-1.0,-1.0,none,-2.0989999999999997e-06
PTF14fpg,0.034,0.03283,1.078,0.013,16.718,0.006,-8.9,0.0258,0.0026,2.659e-05,CSPII,Ia,0.784,1,1,0.010000000000001563,0.00848528137423857,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,3.515e-05
PTF14w,0.0188933,0.0200839,0.742,0.004,16.038,0.003,-6.3,0.0205,0.0021,3.635e-06,CSPII,Ia,0.975,0,1,0.055999999999997385,0.005,0.0,8.96,9.14,9.3,N/A,-1.0,-1.0,none,2.896e-06
PTF14yw,0.01697,0.0180604,0.856,0.008,15.723,0.007,-4.2,0.0255,0.0026,1.673e-05,CSPII,Ia,0.411,0,1,-0.038000000000000256,0.01063014581273465,0.0,10.16,10.24,10.59,N/A,-1.0,-1.0,none,-2.5899999999999972e-06
SN2004ef,0.0309667,0.02977,0.84,0.003,16.793,0.004,-9.0,0.0458,0.0046,4.74e-06,CSPI,Ia,0.981,0,0,0.11699999999999733,0.00565685424949238,0.0,10.63,10.74,10.8,N/A,-1.0,-1.0,none,-1.3499999999999955e-07
SN2004eo,0.01569,0.0147367,0.869,0.005,15.057,0.008,-12.4,0.093,0.0093,1.315e-05,CSPI,Ia,0.979,0,0,0.02499999999999858,0.009219544457292887,0.0,11.03,11.16,11.35,N/A,-1.0,-1.0,none,4.8419999999999996e-06
SN2004ey,0.0157767,0.0146267,1.009,0.003,14.754,0.003,-9.0,0.1197,0.012,2.047e-06,CSPI,Ia,0.973,0,0,-0.051000000000000156,0.004242640687119285,0.0,9.76,10.06,10.41,N/A,-1.0,-1.0,none,2.31e-07
SN2004gs,0.0266267,0.0282767,0.705,0.003,17.055,0.004,-3.8,0.0257,0.0026,3.17e-06,CSPI,Ia,0.982,0,0,0.20199999999999818,0.006403124237432849,0.0,10.57,10.63,10.7,N/A,-1.0,-1.0,none,-5.279999999999999e-07
SN2004gu,0.0458267,0.0468967,1.149,0.011,17.335,0.009,-4.8,0.0223,0.0022,-7.654e-06,CSPI,Ia-06gz,0.986,0,0,0.14499999999999957,0.015620499351813309,0.0,9.74,10.02,10.19,N/A,-1.0,-1.0,none,-8.936e-05
SN2005A,0.0191267,0.01834,0.963,0.007,17.68,0.01,-3.6,0.0259,0.0026,1.285e-05,CSPI,Ia,0.976,0,0,0.9839999999999982,0.015620499351813309,0.0,11.07,11.19,11.26,N/A,-1.0,-1.0,none,-6.619999999999999e-06
