sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
ASAS14ad,0.0264,0.0274352,1.013,0.004,16.195,0.005,-7.5,0.0159,0.0016,6.925e-06,,,,-0.03,0.011,0.0,N/A,-1.0,-1.0,,,,,8.61,8.23,8.78,CSPII,Ia,0.973,none
ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.488,0.004,-4.5,0.0295,0.0029,8.368e-06,,,,-0.055,0.005,0.0,N/A,-1.0,-1.0,,,,,9.09,8.98,9.15,CSPII,Ia,0.984,none
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.05,0.009,-6.3,0.0131,0.0013,3.025e-05,,,,0.053,0.013,0.0,N/A,-1.0,-1.0,,,,,10.34,10.18,10.45,CSPII,Ia,0.985,none
ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.383,0.004,-7.1,0.0612,0.0061,1.185e-05,,,,-0.052,0.006,0.0,N/A,-1.0,-1.0,,,,,9.93,9.8,10.24,CSPII,Ia,0.983,none
ASAS14jc,0.0113167,0.0117796,0.914,0.005,15.532,0.008,-5.5,0.1346,0.0135,1.03e-05,,,,0.426,0.01,0.0,N/A,-1.0,-1.0,,,,,9.46,9.32,9.77,CSPII,Ia,0.962,none
ASAS14jg,0.0148167,0.014347,1.3,0.017,14.723,0.027,2.9,0.0128,0.0013,-1.133e-05,,,,0.068,0.059,0.0,N/A,-1.0,-1.0,,,,,8.76,8.57,8.88,CSPII,Ia,0.961,none
ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.614,0.004,-8.8,0.0472,0.0047,3.156e-06,,,,-0.045,0.006,0.0,N/A,-1.0,-1.0,,,,,8.23,8.11,8.35,CSPII,Ia,0.952,none
ASAS14kd,0.0243,0.0230683,1.174,0.007,16.123,0.005,-7.1,0.0574,0.0057,3.223e-06,,,,0.221,0.007,0.0,N/A,-1.0,-1.0,,,,,10.14,10.03,10.23,CSPII,Ia-91T,0.941,none
ASAS14kq,0.0335767,0.0325972,1.157,0.011,16.578,0.007,-5.4,0.0155,0.0016,3.903e-07,,,,-0.038,0.011,0.0,N/A,-1.0,-1.0,,,,,8.91,8.78,9.11,CSPII,Ia,0.961,none
ASAS14lo,0.0199167,0.0210151,0.95,0.018,15.921,0.027,2.0,0.0282,0.0028,-6.66e-06,,,,0.116,0.061,0.0,N/A,-1.0,-1.0,,,,,9.69,9.47,9.79,CSPII,Ia,0.979,none
ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.012,0.005,-14.1,0.0213,0.0021,6.979e-06,,,,0.237,0.006,0.0,N/A,-1.0,-1.0,,,,,10.74,10.6,10.91,CSPII,Ia,0.335,none
ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.004,0.04,5.4,0.0275,0.0028,-4.932e-05,,,,0.013,0.078,0.0,N/A,-1.0,-1.0,,,,,10.65,10.46,10.73,CSPII,Ia,0.977,none
ASAS14lt,0.0320233,0.0314552,0.947,0.008,16.323,0.012,-4.8,0.0474,0.0047,1.491e-05,,,,-0.034,0.016,0.0,N/A,-1.0,-1.0,,,,,10.64,10.56,10.7,CSPII,Ia,0.984,none
ASAS14lw,0.0208855,0.0202609,1.156,0.009,15.528,0.007,-9.4,0.0117,0.0012,3.972e-06,,,,-0.01,0.011,0.0,N/A,-1.0,-1.0,,,,,6.35,6.08,6.72,CSPII,Ia,0.939,none
ASAS14me,0.0178,0.017386,1.078,0.005,15.064,0.004,-11.7,0.0175,0.0018,5.119e-06,,,,0.001,0.006,0.0,N/A,-1.0,-1.0,,,,,9.05,8.91,9.15,CSPII,Ia,0.981,none
ASAS14mf,0.03108,0.0301521,0.982,0.005,16.456,0.007,-4.9,0.0125,0.0013,1.224e-05,,,,-0.022,0.011,0.0,N/A,-1.0,-1.0,,,,,8.93,8.66,9.03,CSPII,Ia,0.984,none
ASAS14mw,0.0273867,0.0271207,1.063,0.007,15.831,0.003,-6.9,0.0179,0.0018,7.403e-06,,,,-0.042,0.005,0.0,N/A,-1.0,-1.0,,,,,10.68,10.59,10.75,CSPII,Ia,0.984,none
ASAS14my,0.0205,0.0217279,0.921,0.005,15.542,0.007,-8.5,0.0316,0.0032,1.529e-05,,,,0.007,0.01,0.0,N/A,-1.0,-1.0,,,,,10.31,10.11,10.74,CSPII,Ia,0.975,none
ASAS15aj,0.0109133,0.0120218,0.83,0.007,14.593,0.006,-2.8,0.0656,0.0066,2.619e-06,,,,0.095,0.009,0.0,N/A,-1.0,-1.0,,,,,11.2,11.05,11.35,CSPII,Ia,0.952,none
ASAS15al,0.0337766,0.0337612,1.079,0.027,16.841,0.025,0.1,0.0293,0.0029,-2.106e-05,,,,0.043,0.059,0.0,N/A,-1.0,-1.0,,,,,8.07,8.03,8.23,CSPII,Ia,0.916,none
ASAS15as,0.0286801,0.0297845,1.077,0.014,16.159,0.005,-1.5,0.0398,0.004,-1.475e-06,,,,0.018,0.008,0.0,N/A,-1.0,-1.0,,,,,7.66,7.47,8.01,CSPII,Ia,0.985,none
ASAS15ba,0.0231167,0.0239771,0.965,0.004,15.946,0.004,-2.3,0.0223,0.0022,9.583e-07,,,,0.0,0.006,0.0,N/A,-1.0,-1.0,,,,,7.99,7.83,8.19,CSPII,Ia,0.983,none
ASAS15be,0.0218833,0.0213892,1.14,0.005,15.604,0.004,-7.5,0.0167,0.0017,4.445e-07,,,,0.008,0.006,0.0,N/A,-1.0,-1.0,,,,,7.8,7.66,8.16,CSPII,Ia,0.976,none
ASAS15bm,0.0207856,0.0214395,0.989,0.005,15.69,0.006,-7.9,0.069,0.0069,7.983e-06,,,,0.119,0.01,0.0,N/A,-1.0,-1.0,,,,,10.02,9.89,10.15,CSPII,Ia,0.976,none
ASAS15cd,0.0342863,0.0353887,1.001,0.005,16.627,0.007,-3.8,0.0261,0.0026,5.805e-06,,,,-0.03,0.009,0.0,N/A,-1.0,-1.0,,,,,9.95,9.85,10.02,CSPII,Ia,0.983,none
ASAS15da,0.0487,0.0488203,0.851,0.025,17.578,0.038,2.2,0.0303,0.003,-8.953e-05,,,,-0.133,0.076,0.0,N/A,-1.0,-1.0,,,,,10.4,10.23,10.48,CSPII,Ia,0.973,none
ASAS15db,0.01099,0.0113676,0.953,0.003,14.616,0.005,-6.4,0.029,0.0029,4.457e-06,,,,0.078,0.007,0.0,N/A,-1.0,-1.0,,,,,10.11,9.98,10.19,CSPII,Ia,0.975,none
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.029,0.006,-1.0,0.0461,0.0046,-1.408e-06,,,,-0.017,0.009,0.0,N/A,-1.0,-1.0,,,,,10.41,10.31,10.52,CSPII,Ia,0.962,none
ASAS15eb,0.01647,0.0173082,0.82,0.018,15.223,0.011,-1.1,0.1652,0.0165,-2.341e-05,,,,-0.136,0.016,0.0,N/A,-1.0,-1.0,,,,,10.96,10.79,11.4,CSPII,Ia,0.978,none
ASAS15fr,0.0334133,0.0345082,0.905,0.021,16.687,0.031,1.2,0.0321,0.0032,-9.17e-06,,,,-0.147,0.066,0.0,N/A,-1.0,-1.0,,,,,9.98,9.89,10.06,CSPII,Ia-91T,0.978,none
ASAS15ga,0.0066267,0.0076517,0.5,0.031,15.321,0.037,-3.9,0.0236,0.0024,0.0004709,,,,0.421,0.051,0.0,N/A,-1.0,-1.0,,,,,10.38,10.18,10.48,CSPII,Ia-91bg,0.966,none
ASAS15go,0.01891,0.0192546,1.072,0.011,15.958,0.004,-4.3,0.1369,0.0137,1.066e-05,,,,0.214,0.006,0.0,N/A,-1.0,-1.0,,,,,10.18,10.04,10.27,CSPII,Ia,0.981,none
ASAS15gr,0.0242832,0.0247678,1.031,0.006,15.819,0.004,-3.6,0.0823,0.0082,4.558e-06,,,,-0.046,0.006,0.0,N/A,-1.0,-1.0,,,,,8.94,8.82,9.02,CSPII,Ia,0.983,none
ASAS15hf,0.0061733,0.0072452,0.939,0.005,13.956,0.007,-8.0,0.0854,0.0085,1.357e-05,,,,0.004,0.01,0.0,N/A,-1.0,-1.0,,,,,9.56,9.39,9.97,CSPII,Ia,0.961,none
ASAS15hg,0.02975,0.0308678,0.824,0.02,16.834,0.028,1.6,0.041,0.0041,-1.833e-05,,,,0.048,0.061,0.0,N/A,-1.0,-1.0,,,,,10.42,10.3,10.51,CSPII,Ia,0.985,none
ASAS15hx,0.0083,0.0092051,1.034,0.004,13.126,0.004,-11.4,0.0415,0.0042,6.294e-06,,,,-0.035,0.005,0.0,N/A,-1.0,-1.0,,,,,7.45,7.06,7.89,CSPII,Ia,0.909,none
CSP12J,0.01468,0.0149235,0.484,0.025,16.112,0.078,7.0,0.0678,0.0068,-0.000278,,,,0.555,0.128,0.0,N/A,-1.0,-1.0,,,,,10.09,9.97,10.2,CSPII,Ia,0.917,none
CSP12N,0.0971328,0.0982741,1.062,0.011,18.601,0.005,-9.2,0.0429,0.0043,2.045e-05,,,,-0.11,0.008,0.0,N/A,-1.0,-1.0,,,,,7.51,7.32,7.66,CSPII,Ia,0.985,none
CSP13aad,0.0868,0.0865709,1.193,0.035,18.62,0.038,3.0,0.0206,0.0021,-6.535e-05,,,,0.029,0.073,0.0,N/A,-1.0,-1.0,,,,,9.65,9.59,9.8,CSPII,Ia,0.979,none
CSP13abm,0.0281805,0.027529,1.14,0.009,16.334,0.006,-4.2,0.1485,0.0149,-1.409e-06,,,,-0.018,0.008,0.0,N/A,-1.0,-1.0,,,,,11.5,11.5,11.5,CSPII,Ia,0.747,none
CSP14aaq,0.0359133,0.0361755,0.905,0.015,16.644,0.014,-6.9,0.0524,0.0052,7.173e-05,,,,-0.085,0.021,0.0,N/A,-1.0,-1.0,,,,,11.08,11.01,11.48,CSPII,Ia,0.986,none
CSP14abn,0.0225,0.0232746,1.004,0.004,15.591,0.003,-1.7,0.0747,0.0075,-3.984e-07,,,,-0.036,0.004,0.0,N/A,-1.0,-1.0,,,,,9.75,9.59,10.24,CSPII,Ia,0.976,none
CSP14acl,0.0299792,0.0289327,0.959,0.008,16.543,0.011,-0.4,0.0264,0.0026,-1.66e-05,,,,-0.081,0.015,0.0,N/A,-1.0,-1.0,,,,,11.5,11.5,11.5,CSPII,Ia,0.081,none
CSP14adc,0.03244,0.031651,0.815,0.009,17.061,0.008,-3.3,0.0949,0.0095,1.247e-05,,,,0.219,0.011,0.0,N/A,-1.0,-1.0,,,,,10.81,10.67,11.14,CSPII,Ia,0.976,none
CSP15B,0.0198862,0.0208198,0.72,0.006,16.052,0.007,-3.9,0.0641,0.0064,1.473e-05,,,,0.132,0.011,0.0,N/A,-1.0,-1.0,,,,,10.95,10.78,11.42,CSPII,Ia,0.966,none
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.544,0.008,-6.8,0.0226,0.0023,7.113e-06,,,,0.455,0.011,0.0,NGC5490,34.267,0.08,9.028,0.023,0.0,0.0,11.14,11.06,11.22,N/A,N/A,0.0,s
KISS15m,0.02432,0.0253844,0.429,0.009,18.003,0.021,-4.2,0.0277,0.0028,3.867e-05,,,,0.62,0.031,0.0,N/A,-1.0,-1.0,,,,,9.78,9.67,9.94,CSPII,Ia-91bg,0.958,none
KISS15n,0.023084,0.0239783,1.241,0.009,15.453,0.007,-13.2,0.0088,0.0009,2.646e-05,,,,0.102,0.009,0.0,N/A,-1.0,-1.0,,,,,8.0,7.8,8.17,CSPII,Ia-91T,0.85,none
LSQ11bk,0.0402721,0.0400251,1.071,0.015,16.881,0.007,-1.0,0.0936,0.0094,-2.804e-06,,,,-0.079,0.011,0.0,N/A,-1.0,-1.0,,,,,6.53,6.5,6.59,CSPII,Ia,0.967,none
LSQ11ot,0.02732,0.0273222,0.982,0.003,17.71,0.004,-5.5,0.1581,0.0158,4.937e-06,,,,0.318,0.006,0.0,N/A,-1.0,-1.0,,,,,10.17,10.0,10.22,CSPII,Ia,0.976,none
LSQ11pn,0.0326533,0.0326611,0.507,0.008,17.307,0.011,-5.2,0.1457,0.0146,2.988e-05,,,,0.285,0.018,0.0,N/A,-1.0,-1.0,,,,,10.7,10.52,10.8,CSPII,Ia,0.948,none
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.361,0.036,4.8,0.0371,0.0037,-4.98e-05,,,,0.084,0.074,0.0,N/A,-1.0,-1.0,,,,,9.3,9.29,9.43,CSPII,Ia,0.986,none
LSQ12aor,0.0933354,0.0945588,0.827,0.021,19.35,0.014,-5.4,0.0415,0.0042,0.0001261,,,,-0.088,0.026,0.0,N/A,-1.0,-1.0,,,,,9.85,9.67,10.15,CSPII,Ia,0.986,none
LSQ12bld,0.0833623,0.084303,0.892,0.01,18.966,0.009,-8.1,0.0233,0.0023,4.829e-05,,,,0.101,0.016,0.0,N/A,-1.0,-1.0,,,,,10.55,10.42,10.64,CSPII,Ia,0.987,none
LSQ12btn,0.0541733,0.0552706,0.832,0.009,18.127,0.007,-1.9,0.0333,0.0033,-1.154e-06,,,,0.098,0.011,0.0,N/A,-1.0,-1.0,,,,,10.9,10.84,10.94,CSPII,Ia,0.986,none
LSQ12ca,0.0994,0.0995466,1.195,0.041,18.97,0.039,4.4,0.0417,0.0042,-6.784e-05,,,,-0.084,0.081,0.0,N/A,-1.0,-1.0,,,,,10.44,10.34,10.64,CSPII,Ia,0.962,none
LSQ12cda,0.1374948,0.1384035,0.814,0.105,20.124,0.063,4.1,0.0284,0.0028,-0.002657,,,,0.087,0.119,0.0,N/A,-1.0,-1.0,,,,,9.82,9.69,9.98,CSPII,Ia,0.859,none
LSQ12cdl,0.1079253,0.1090245,0.988,0.045,19.16,0.032,0.1,0.0492,0.0049,-1.583e-05,,,,-0.143,0.075,0.0,N/A,-1.0,-1.0,,,,,8.81,8.79,8.93,CSPII,Ia,0.986,none
