sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,m,ml,mu,sample,subtype,quality,caltype,covBVs
ASAS14ad,0.0264,0.0274352,1.01,0.018,16.764,0.107,6.8,0.0159,0.0016,9.15e-06,,,,-0.010999999999999233,0.011180339887498949,0.0,N/A,-1.0,-1.0,8.61,8.23,8.78,CSPII,Ia,0.973,none,4.750999999999999e-06
ASAS14hp,0.0388933,0.0386676,1.074,0.01,17.234,0.02,-0.3,0.0295,0.0029,-1.506e-05,,,,-0.04899999999999949,0.005,0.0,N/A,-1.0,-1.0,9.09,8.98,9.15,CSPII,Ia,0.984,none,1.183e-05
ASAS14hr,0.0335967,0.0327196,0.802,0.01,17.242,0.029,-3.2,0.0131,0.0013,1.958e-06,,,,0.06099999999999994,0.01345362404707371,0.0,N/A,-1.0,-1.0,10.34,10.18,10.45,CSPII,Ia,0.985,none,4.999999999999986e-07
ASAS14hu,0.0215851,0.0218919,1.052,0.007,16.197,0.014,-5.8,0.0612,0.0061,1.518e-06,,,,-0.04499999999999993,0.006403124237432849,0.0,N/A,-1.0,-1.0,9.93,9.8,10.24,CSPII,Ia,0.983,none,2.1936e-05
ASAS14jc,0.0113167,0.0117796,0.915,0.005,14.965,0.09,4.7,0.1346,0.0135,2.401e-05,,,,0.43700000000000117,0.01,0.0,N/A,-1.0,-1.0,9.46,9.32,9.77,CSPII,Ia,0.962,none,8.067000000000001e-06
ASAS14jg,0.0148167,0.014347,1.285,0.022,15.248,0.074,4.6,0.0128,0.0013,-9.379e-05,,,,0.049000000000001265,0.05940538696111658,0.0,N/A,-1.0,-1.0,8.76,8.57,8.88,CSPII,Ia,0.961,none,-1.8209999999999997e-05
ASAS14jz,0.0157891,0.0156168,0.989,0.006,15.258,0.025,-8.5,0.0472,0.0047,3.514e-05,,,,-0.04100000000000037,0.00565685424949238,0.0,N/A,-1.0,-1.0,8.23,8.11,8.35,CSPII,Ia,0.952,none,-6.339e-06
ASAS14kd,0.0243,0.0230683,1.169,0.007,15.882,0.133,10.1,0.0574,0.0057,4.951e-05,,,,0.2339999999999982,0.007071067811865475,0.0,N/A,-1.0,-1.0,10.14,10.03,10.23,CSPII,Ia-91T,0.941,none,-1.7269e-05
ASAS14kq,0.0335767,0.0325972,1.147,0.011,17.167,0.028,-0.1,0.0155,0.0016,1.542e-05,,,,-0.020999999999997243,0.012041594578792296,0.0,N/A,-1.0,-1.0,8.91,8.78,9.11,CSPII,Ia,0.961,none,-8.166e-05
ASAS14lp,0.0050967,0.0062254,1.029,0.004,12.192,0.021,-12.9,0.0213,0.0021,2.552e-05,,,,0.24300000000000033,0.006403124237432849,0.0,N/A,-1.0,-1.0,10.74,10.6,10.91,CSPII,Ia,0.335,none,5.687e-06
