sn,zhel,zcmb,log(czcmb),elog(czcmb),E(B-V)host,eE(B-V)host,st,st-0.5,est,u,eu,wuintercept,,B,eB,g,eg,wgintercept,,V,eV,wVintercept,,r,er,wrintercept,,i,ei,wiintercept,,Y,eY,wYintercept,,J,eJ,wJintercept,,H,eH,wHintercept,
LSQ14ajn,0.0210,0.0222,3.822,0.020,0.048,0.014,0.654,0.154,0.004,17.008,0.011,#REF!,#REF!,16.300,0.007,16.227,0.006,#REF!,#REF!,16.225,0.006,#REF!,#REF!,16.296,0.006,#REF!,#REF!,16.655,0.010,#REF!,#REF!,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,
LSQ14ip,0.0613,0.0624,4.272,0.007,0.133,0.020,0.509,0.009,0.010,-9999,-9999,,,19.478,0.018,-9999,-9999,,,19.140,0.014,#REF!,#REF!,19.025,0.014,#REF!,#REF!,19.343,0.020,#REF!,#REF!,19.166,0.089,#REF!,#REF!,18.882,0.093,#REF!,#REF!,19.377,0.242,#REF!,#REF!
LSQ14jp,0.0454,0.0465,4.144,0.009,0.138,0.018,0.675,0.175,0.007,-9999,-9999,,,18.134,0.008,-9999,-9999,,,18.011,0.006,#REF!,#REF!,17.991,0.007,#REF!,#REF!,18.415,0.012,#REF!,#REF!,18.275,0.096,#REF!,#REF!,17.879,0.119,#REF!,#REF!,18.246,0.069,#REF!,#REF!
PTF13ebh,0.0133,0.0125,3.573,0.035,0.084,0.017,0.636,0.136,0.004,15.712,0.010,#REF!,#REF!,15.043,0.007,14.981,0.006,#REF!,#REF!,14.920,0.006,#REF!,#REF!,14.916,0.007,#REF!,#REF!,15.326,0.011,#REF!,#REF!,15.220,0.023,#REF!,#REF!,15.081,0.022,#REF!,#REF!,15.220,0.022,#REF!,#REF!
PTF14w,0.0189,0.0201,3.780,0.022,0.093,0.013,0.742,0.242,0.004,16.689,0.005,#REF!,#REF!,16.086,0.004,16.038,0.003,#REF!,#REF!,16.030,0.003,#REF!,#REF!,16.075,0.004,#REF!,#REF!,16.554,0.006,#REF!,#REF!,16.456,0.018,#REF!,#REF!,16.315,0.013,#REF!,#REF!,16.422,0.016,#REF!,#REF!
SN2011jn,0.0474,0.0485,4.163,0.009,0.071,0.025,0.641,0.141,0.021,18.545,0.106,#REF!,#REF!,17.919,0.073,17.803,0.046,#REF!,#REF!,17.798,0.050,#REF!,#REF!,17.937,0.038,#REF!,#REF!,18.343,0.067,#REF!,#REF!,18.192,0.085,#REF!,#REF!,17.945,0.125,#REF!,#REF!,-9999,-9999,,
SN2012ij,0.0110,0.0121,3.560,0.036,0.016,0.013,0.536,0.036,0.008,16.371,0.027,#REF!,#REF!,15.519,0.011,15.361,0.011,#REF!,#REF!,15.262,0.012,#REF!,#REF!,15.318,0.011,#REF!,#REF!,15.699,0.015,#REF!,#REF!,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,
SN2013ay,0.0157,0.0157,3.671,0.028,0.130,0.033,0.495,-0.005,0.019,17.438,0.095,#REF!,#REF!,16.284,0.069,15.991,0.043,#REF!,#REF!,15.754,0.047,#REF!,#REF!,15.776,0.034,#REF!,#REF!,15.996,0.062,#REF!,#REF!,15.898,0.062,#REF!,#REF!,15.828,0.089,#REF!,#REF!,15.676,0.036,#REF!,#REF!
SN2007cv,,,,,0.000,0.060,0.711,0.211,0.010,-9999,-9999,,,15.060,0.012,-9999,-9999,,,15.042,0.012,,,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,
SN2008hs,,,,,0.044,0.056,0.611,0.111,0.006,-9999,-9999,,,16.031,0.020,-9999,-9999,,,15.956,0.014,,,16.040,0.015,,,16.481,0.020,,,-9999,-9999,,,16.207,0.027,,,16.481,0.028,,
SN2010Y,,,,,0.000,0.060,0.658,0.158,0.006,15.497,0.057,,,15.005,0.013,-9999,-9999,,,14.983,0.010,,,15.015,0.012,,,15.458,0.016,,,-9999,-9999,,,15.253,0.024,,,15.416,0.073,,
SN2014bv,,,,,0.061,0.029,0.621,0.121,0.015,-9999,-9999,,,14.007,0.018,-9999,-9999,,,13.793,0.013,,,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,
SN2016ajf,,,,,0.135,0.036,0.493,-0.007,0.016,-9999,-9999,,,16.922,0.050,16.367,0.057,,,16.366,0.056,,,16.385,0.019,,,16.687,0.027,,,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,
