name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,BV,eBV,covBV_M
SN1997cn,0.0162,0.0169898,0.656,0.023,17.042,0.054,18.7,0.0229,0.0023,-0.000486,0.402,0.046,0.0
SN2010Y,0.0109,0.0112644,0.66,0.006,15.497,0.057,-5.0,0.0117,0.0012,2.74e-05,0.02,0.016,0.0
SN2008R,0.0134933,0.0128867,0.632,0.006,15.867,0.013,0.2,0.0618,0.0062,-1.178e-05,0.12,0.011,0.0
PTF13ebh,0.01326,0.012484,0.632,0.004,15.723,0.01,-11.5,0.0668,0.0067,2.291e-06,0.117,0.009,0.0
SN2008ia,0.0219833,0.02254,0.834,0.006,16.382,0.017,-2.2,0.1954,0.0195,8.494e-07,-0.035,0.016,0.0
SN2006ef,0.01787,0.0170267,0.858,0.02,15.835,0.097,11.6,0.0201,0.002,-4.779e-05,-0.024,0.081,0.0
SN2008hv,0.01254,0.01358,0.867,0.004,15.082,0.012,-9.1,0.0279,0.0028,5.428e-06,-0.047,0.011,0.000000
CSP15aae,0.0161833,0.0169733,0.505,0.005,17.94,0.015,-5.1,0.0226,0.0023,2.369e-06,0.455,0.011,0.000000
