name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,BV,eBV,covBV_M
SN2008hs,0.017349,0.0166411,0.625,0.006,16.276,0.026,-7.4,0.0497,0.005,1.698e-05,0.086,0.024,0.0
SN2010Y,0.0109,0.0112644,0.66,0.006,15.287,0.023,-5.4,0.0117,0.0012,5.197e-06,0.02,0.016,0.0
SN2008R,0.0134933,0.0128867,0.632,0.006,15.275,0.078,3.1,0.0618,0.0062,-0.0001117,0.12,0.011,0.0
PTF13ebh,0.01326,0.012484,0.632,0.004,15.083,0.023,-9.5,0.0668,0.0067,-1.362e-05,0.117,0.009,0.0
SN2008ia,0.0219833,0.02254,0.834,0.006,16.289,0.026,37.9,0.1954,0.0195,1.469e-05,-0.035,0.016,0.0
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.24,0.05,12.4,0.0226,0.0023,-5.679e-06,0.455,0.011,0.000000
SN2008hv,0.01254,0.01358,0.867,0.004,15.278,0.011,35.9,0.0279,0.0028,2.523e-06,-0.047,0.011,0.000000

