name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
SN2007bd,0.0309967,0.0318267,0.8815439549704339,0.004637280896265398,17.26168859589046,0.05698703136039721,-4.1,0.0289,0.0029,-1.847e-05,Ho,CSPI,Ia,0.984,0,0,-0.0012996493718553381,0.011375713740030087,0.0
SN2007bm,0.0062067,0.00744,0.8993605971289648,0.007612041158555463,13.961792291662562,0.029922751793360278,-3.4,0.0354,0.0035,2.271e-05,Ho,CSPI,Ia,0.958,0,0,0.4256739245501642,0.0109378879987328,0.0
SN2007ca,0.0140567,0.01507,1.057555025649008,0.007254086322608183,15.733110807266815,0.022031121366208592,-5.6,0.057,0.0057,1.077e-05,Ho,CSPI,Ia,0.979,0,0,0.2620821098274497,0.008354025854097533,0.0
SN2007hj,0.0141033,0.0128818,0.6049512289056825,0.0042267941016932865,15.74789505985597,0.04067135790879646,9.1,0.0747,0.0075,-2.509e-05,Ho,CSPI,Ia,0.961,0,0,0.2047654409031896,0.0069721098152663785,0.0
SN2007jg,0.0371067,0.0365767,0.914164035441004,0.006451419181626868,17.58444422632619,0.07020695413778125,1.5,0.0904,0.009,-9.336e-06,Ho,CSPI,Ia,0.974,0,0,0.04982196392639082,0.01060968455627346,0.0
SN2007le,0.0067167,0.0055233,1.023817334735946,0.004121528891674775,13.983051405271526,0.009209648604755753,-6.4,0.0287,0.0029,6.395e-06,Ho,CSPI,Ia,0.955,0,0,0.3179653285840178,0.007286262910357419,0.0
SN2007nq,0.045,0.0439033,0.7451999956101584,0.004972214805917268,17.650624933492587,0.11001068167959856,8.6,0.0312,0.0031,7.583e-05,Ho,CSPI,Ia,0.952,0,0,0.04197782174072984,0.011291044810565044,0.0
SN2007on,0.00649,0.0061833,0.5738073693149136,0.0036361165086206773,13.26453320392628,0.01505804025549641,-6.6,0.0098,0.001,-2.263e-06,TRGB,CSPI,Ia,0.957,0,0,0.11468260339978009,0.008626221920882622,0.0
SN2007so,0.0296667,0.0289285,0.8495388939854528,0.008475798957200999,16.50650610955207,0.07797186701885234,33.5,0.1161,0.0116,0.0001536,Ho,CSPI,Ia,,0,0,0.0038394635635654595,0.04929189891815759,0.0
SN2007sr,0.0054733,0.0066557,0.9887342690678067,0.017118493472934048,13.424883698887658,0.02821886116265543,9.9,0.0398,0.004,4.356e-06,"Ceph,TRGB",CSPI,Ia,0.198,0,0,0.14708159596873216,0.057365231401071776,0.0
SN2007st,0.0211667,0.0206508,0.7743318411806147,0.022086955969470516,16.177536423686117,0.07955802876635508,8.9,0.0143,0.0014,0.000119,Ho,CSPI,Ia,0.951,0,0,0.12918309807312234,0.08020295653183203,0.0
