name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,BV,eBV,covBV_M
none,0.0162,0.0169898,0.656,0.023,17.042,0.054,18.7,0.0229,0.0023,-0.000486,0.402,0.046,0.0
SN2008R,0.0134933,0.0128867,0.632,0.006,15.149,0.008,-1.5,0.0618,0.0062,4.054e-06,0.12,0.011,0.0
PTF13ebh,0.01326,0.012484,0.632,0.004,14.977,0.007,-13.2,0.0668,0.0067,7.886e-06,0.117,0.009,0.0
SN2008ia,0.0219833,0.02254,0.834,0.006,15.831,0.013,-4.0,0.1954,0.0195,1.201e-05,-0.035,0.016,0.0
SN2006ef,0.01787,0.0170267,0.858,0.02,15.383,0.041,9.8,0.0201,0.002,-2.921e-05,-0.024,0.081,0.0
SN2008hv,0.01254,0.01358,0.867,0.004,14.698,0.008,-10.9,0.0279,0.0028,8.846e-06,-0.047,0.011,0.000000
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.544,0.008,-6.8,0.0226,0.0023,7.113e-06,0.455,0.011,0.000000

