name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,BV,eBV,covBV_M
SN2008hs,0.017349,0.0166411,0.625,0.006,16.483,0.027,-6.1,0.0497,0.005,1.101e-05,0.086,0.024,0.0
SN2010Y,0.0109,0.0112644,0.66,0.006,15.42,0.071,-4.2,0.0117,0.0012,8.566e-06,0.02,0.016,0.0
SN2008R,0.0134933,0.0128867,0.632,0.006,15.516,0.044,4.3,0.0618,0.0062,-4.646e-05,0.12,0.011,0.0
PTF13ebh,0.01326,0.012484,0.632,0.004,15.243,0.023,-8.3,0.0668,0.0067,-5.58e-06,0.117,0.009,0.0
SN2008ia,0.0219833,0.02254,0.834,0.006,16.356,0.026,2.9,0.1954,0.0195,6.571e-05,-0.035,0.016,0.0
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.366,0.035,13.4,0.0226,0.0023,4.523e-05,0.455,0.011,0.000000
SN2008hv,0.01254,0.01358,0.867,0.004,15.548,0.013,-8.1,0.0279,0.0028,7.502e-06,-0.047,0.011,0.000000


