name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
ASAS15gr,0.0242832,0.0247678,1.031,0.006,15.947,0.005,-4.9,0.0823,0.0082,1.714e-06,Ho,CSPII,Ia,0.983,0,1,-0.046,0.006,0.000000
ASAS15hf,0.0061733,0.0072452,0.939,0.005,14.056,0.009,-9.1,0.0854,0.0085,7.806e-06,Ho,CSPII,Ia,0.961,0,1,0.004,0.010,0.000000
ASAS15hg,0.02975,0.0308678,0.824,0.02,16.847,0.027,0.6,0.041,0.0041,-1.07e-05,Ho,CSPII,Ia,0.985,1,0,0.048,0.061,0.000000
ASAS15hx,0.0083,0.0092051,1.034,0.004,13.272,0.005,-12.8,0.0415,0.0042,5.242e-06,Ho,CSPII,Ia,0.909,0,1,-0.035,0.005,0.000000
CSP12G,0.0369744,0.0379661,1.158,0.029,17.128,0.038,6.7,0.0283,0.0028,0.0001721,Ho,CSPII,Ia,0.985,1,0,0.109,0.075,0.000000
CSP12J,0.01468,0.0149235,0.484,0.025,15.806,0.052,2.2,0.0678,0.0068,-0.0001521,Ho,CSPII,Ia,0.917,0,0,0.555,0.128,0.000000
CSP12N,0.0971328,0.0982741,1.062,0.011,18.849,0.006,-10.6,0.0429,0.0043,2.303e-05,Ho,CSPII,Ia,0.985,1,0,-0.110,0.008,0.000000
CSP13N,0.04776,0.0487969,1.145,0.024,17.135,0.029,1.1,0.0238,0.0024,3.523e-05,Ho,CSPII,Ia-91T,0.976,1,0,-0.015,0.065,0.000000
CSP13Q,0.089,0.0887656,0.768,0.243,19.119,0.051,0.7,0.0287,0.0029,-0.005025,Ho,CSPII,Ia,0.986,1,0,-0.046,0.082,0.000000
CSP13V,0.0599585,0.0611394,1.069,0.049,17.835,0.025,15.0,0.0474,0.0047,-0.0005223,Ho,CSPII,Ia,0.987,0,0,-0.075,0.114,0.000000
CSP13Z,0.0788454,0.0800694,1.215,0.017,18.28,0.009,-9.9,0.0484,0.0048,4.839e-05,Ho,CSPII,Ia-91T,0.98,1,0,-0.026,0.012,0.000000
CSP13aad,0.0868,0.0865709,1.193,0.035,18.692,0.036,0.6,0.0206,0.0021,0.0001877,Ho,CSPII,Ia,0.979,1,0,0.029,0.073,0.000000
CSP13aaf,0.0775863,0.0787193,1.131,0.015,18.444,0.006,-7.7,0.0222,0.0022,8.779e-06,Ho,CSPII,Ia,0.978,1,0,-0.056,0.008,0.000000
CSP13aam,0.0749481,0.0750921,1.138,0.014,18.136,0.007,-3.4,0.1643,0.0164,2.036e-05,Ho,CSPII,Ia,0.968,1,0,-0.150,0.011,0.000000
CSP13aao,0.0613575,0.0616022,0.7,0.051,18.134,0.045,-0.6,0.0444,0.0044,-0.0004292,Ho,CSPII,Ia,0.978,1,0,0.123,0.088,0.000000
CSP13aaq,0.0597586,0.0597706,0.984,0.007,18.171,0.009,-8.3,0.0293,0.0029,9.168e-06,Ho,CSPII,Ia,0.969,1,0,-0.057,0.012,0.000000
CSP13aay,0.0589592,0.0587551,1.142,0.012,18.28,0.007,-3.8,0.0159,0.0016,1.985e-05,Ho,CSPII,Ia,0.955,1,0,0.037,0.009,0.000000
CSP13abl,0.0403721,0.0406288,0.812,0.05,19.646,0.021,-6.2,0.0862,0.0086,0.00057,Ho,CSPII,Ia,0.42,1,0,1.061,0.063,0.000000
CSP13abm,0.0281805,0.027529,1.14,0.009,16.438,0.006,-6.1,0.1485,0.0149,7.245e-06,Ho,CSPII,Ia,0.747,0,1,-0.018,0.008,0.000000
CSP13abs,0.0771466,0.0783462,1.22,0.018,18.342,0.013,-9.4,0.0208,0.0021,5.734e-05,Ho,CSPII,Ia-91T,0.983,1,0,-0.062,0.016,0.000000
CSP14aal,0.0774464,0.0785493,1.087,0.029,18.344,0.01,-5.4,0.0263,0.0026,0.0001213,Ho,CSPII,Ia,0.987,1,0,-0.078,0.012,0.000000
CSP14aaq,0.0359133,0.0361755,0.905,0.015,16.794,0.018,-8.0,0.0524,0.0052,5.803e-05,Ho,CSPII,Ia,0.986,1,0,-0.085,0.021,0.000000
CSP14aar,0.0421708,0.0423854,0.982,0.01,17.18,0.006,-2.4,0.0934,0.0093,-1.807e-06,Ho,CSPII,Ia,0.986,1,0,-0.016,0.009,0.000000
CSP14abk,0.0797448,0.0797387,0.963,0.025,17.939,0.019,-6.1,0.0663,0.0066,5.186e-05,Ho,CSPII,Ia,0.0,0,0,0.082,0.028,0.000000
CSP14abn,0.0225,0.0232746,1.004,0.004,15.732,0.004,-2.9,0.0747,0.0075,-2.684e-06,Ho,CSPII,Ia,0.976,0,0,-0.036,0.004,0.000000
CSP14acl,0.0299792,0.0289327,0.959,0.008,16.762,0.011,-1.5,0.0264,0.0026,-1.503e-05,Ho,CSPII,Ia,0.081,0,0,-0.081,0.015,0.000000
CSP14acy,0.0663741,0.0660269,1.215,0.035,17.759,0.035,-2.5,0.0174,0.0017,0.0001524,Ho,CSPII,Ia-91T,0.027,1,0,0.085,0.072,0.000000
CSP14adc,0.03244,0.031651,0.815,0.009,16.932,0.008,-4.3,0.0949,0.0095,-1.873e-06,Ho,CSPII,Ia,0.976,1,1,0.219,0.011,0.000000
CSP14ade,0.0624568,0.0626358,1.181,0.012,17.73,0.01,-10.1,0.077,0.0077,4.913e-05,Ho,CSPII,Ia-91T,0.963,1,0,0.034,0.011,0.000000
CSP15B,0.0198862,0.0208198,0.72,0.006,15.953,0.007,-5.2,0.0641,0.0064,2.005e-06,Ho,CSPII,Ia,0.966,0,1,0.132,0.011,0.000000
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.223,0.007,-9.3,0.0226,0.0023,9.88e-06,Ho,CSPII,Ia-91bg,0.981,0,1,0.455,0.011,0.000000
KISS13j,0.0765333,0.0776331,0.872,0.028,18.711,0.016,-2.6,0.0326,0.0033,-2.629e-06,Ho,CSPII,Ia,0.963,1,0,0.132,0.022,0.000000
KISS13l,0.1320086,0.1330018,1.106,0.064,19.674,0.038,-0.3,0.0137,0.0014,5.296e-05,Ho,CSPII,Ia,0.987,1,0,-0.033,0.088,0.000000
KISS13v,0.0954,0.0962132,0.985,0.015,19.218,0.013,-10.6,0.0195,0.002,3.8e-05,Ho,CSPII,Ia,0.98,1,0,0.085,0.018,0.000000
KISS15m,0.02432,0.0253844,0.429,0.009,17.543,0.024,-9.4,0.0277,0.0028,0.0001384,Ho,CSPII,Ia-91bg,0.958,0,0,0.620,0.031,0.000000
KISS15n,0.023084,0.0239783,1.241,0.009,15.556,0.008,-17.1,0.0088,0.0009,2.146e-05,Ho,CSPII,Ia-91T,0.85,0,1,0.102,0.009,0.000000
LSQ11bk,0.0402721,0.0400251,1.071,0.015,17.086,0.007,-2.5,0.0936,0.0094,2.151e-05,Ho,CSPII,Ia,0.967,1,0,-0.079,0.011,0.000000
LSQ11ot,0.02732,0.0273222,0.982,0.003,17.425,0.004,-6.7,0.1581,0.0158,2.027e-06,Ho,CSPII,Ia,0.976,1,1,0.318,0.006,0.000000
LSQ11pn,0.0326533,0.0326611,0.507,0.008,17.207,0.012,-7.6,0.1457,0.0146,3.772e-05,Ho,CSPII,Ia,0.948,1,1,0.285,0.018,0.000000
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.391,0.032,0.7,0.0371,0.0037,6.531e-05,Ho,CSPII,Ia,0.986,1,0,0.084,0.074,0.000000
LSQ12aor,0.0933354,0.0945588,0.827,0.021,19.411,0.013,-6.4,0.0415,0.0042,3.454e-05,Ho,CSPII,Ia,0.986,1,0,-0.088,0.026,0.000000
LSQ12bld,0.0833623,0.084303,0.892,0.01,18.97,0.009,-9.1,0.0233,0.0023,3.535e-05,Ho,CSPII,Ia,0.987,1,0,0.101,0.016,0.000000
LSQ12btn,0.0541733,0.0552706,0.832,0.009,18.147,0.008,-2.9,0.0333,0.0033,1.571e-07,Ho,CSPII,Ia,0.986,1,0,0.098,0.011,0.000000
LSQ12ca,0.0994,0.0995466,1.195,0.041,19.218,0.041,2.0,0.0417,0.0042,0.0003549,Ho,CSPII,Ia,0.962,0,0,-0.084,0.081,0.000000
LSQ12cda,0.1374948,0.1384035,0.814,0.105,20.056,0.072,3.1,0.0284,0.0028,-0.004088,Ho,CSPII,Ia,0.859,1,0,0.087,0.119,0.000000
LSQ12cdl,0.1079253,0.1090245,0.988,0.045,19.347,0.034,-1.1,0.0492,0.0049,-0.0001581,Ho,CSPII,Ia,0.986,1,0,-0.143,0.075,0.000000
LSQ12fuk,0.0205857,0.0205571,1.003,0.006,15.766,0.006,-1.7,0.0714,0.0071,-9.451e-06,Ho,CSPII,Ia,0.982,0,1,-0.009,0.012,0.000000
LSQ12fvl,0.05593,0.055977,0.61,0.008,18.547,0.009,-7.8,0.0179,0.0018,1.094e-06,Ho,CSPII,Ia,0.981,1,0,0.251,0.016,0.000000
LSQ12fxd,0.03122,0.0313344,1.161,0.006,16.379,0.005,-12.2,0.0217,0.0022,1.066e-05,Ho,CSPII,Ia,0.98,1,1,-0.008,0.006,0.000000
LSQ12gdj,0.0303033,0.0292813,1.167,0.007,16.022,0.006,-13.6,0.0199,0.002,8.328e-06,Ho,CSPII,Ia-91T,0.969,1,1,-0.035,0.007,0.000000
LSQ12gef,0.0641556,0.0631798,1.18,0.034,18.541,0.03,-2.3,0.0512,0.0051,9.121e-05,Ho,CSPII,Ia,0.987,0,0,0.265,0.067,0.000000
LSQ12gln,0.1020294,0.1021611,1.113,0.02,19.157,0.009,-5.9,0.0201,0.002,5.594e-05,Ho,CSPII,Ia,0.986,1,0,-0.072,0.012,0.000000
LSQ12gxj,0.0353,0.034596,1.107,0.009,17.758,0.004,-11.8,0.0571,0.0057,8.912e-06,Ho,CSPII,Ia,0.655,0,0,0.262,0.006,0.000000
LSQ12gyc,0.0931355,0.0924863,1.145,0.024,18.906,0.006,-2.9,0.0211,0.0021,3.007e-05,Ho,CSPII,Ia,0.98,0,0,-0.047,0.010,0.000000
LSQ12gzm,0.0999308,0.0993978,1.113,0.044,19.496,0.009,-7.8,0.0208,0.0021,-0.0001034,Ho,CSPII,Ia,0.986,0,0,0.033,0.012,0.000000
LSQ12hjm,0.0713506,0.0707978,0.963,0.005,18.47,0.004,-7.2,0.0246,0.0025,3.84e-06,Ho,CSPII,Ia,0.982,0,0,-0.068,0.006,0.000000
