      name     zhel        zcmb      st     est     Mmax   eMmax     t0    EBVmw   eEBVmw       covMs       Ho     eHo   method      BV     eBV    covBV_M  
  SN1997cn   0.0162   0.0169898   0.656   0.023   17.042   0.054   18.7   0.0229   0.0023   -0.000486   34.261   0.128       Ho   0.402   0.046   0.000000  
   SN2010Y   0.0109   0.0112644    0.66   0.006   15.497   0.057   -5.0   0.0117   0.0012    2.74e-05   33.369   0.193       Ho   0.020   0.016   0.000000  
