     name      zhel      zcmb f    st   est   Mmax  eMmax    t0  EBVmw eEBVmw  covMs     dist
ASAS14jg   0.0148167 0.0143470 Y 1.300 0.017 15.520 0.069  10.0 0.0128 0.0013 -2.094e-05    Ho
ASAS14jg   0.0148167 0.0143470 g 1.300 0.017 14.723 0.027   2.9 0.0128 0.0013 -1.133e-05    Ho
ASAS14jg   0.0148167 0.0143470 i 1.300 0.017 15.486 0.058   6.5 0.0128 0.0013 -5.763e-06    Ho
ASAS14jg   0.0148167 0.0143470 r 1.300 0.017 14.848 0.025  -0.8 0.0128 0.0013 -5.627e-06    Ho
ASAS14jg   0.0148167 0.0143470 u 1.300 0.017 15.074 0.073   4.5 0.0128 0.0013 -2.262e-05    Ho
ASAS14jz   0.0157891 0.0156168 B 0.985 0.005 14.622 0.004  -8.5 0.0472 0.0047  3.339e-06    Ho
ASAS14jz   0.0157891 0.0156168 H 0.985 0.005 15.340 0.034  -4.1 0.0472 0.0047 -9.462e-06    Ho
ASAS14jz   0.0157891 0.0156168 J 0.985 0.005 15.237 0.024  -4.3 0.0472 0.0047  2.815e-05    Ho
ASAS14jz   0.0157891 0.0156168 V 0.985 0.005 14.667 0.004  -9.7 0.0472 0.0047  9.292e-06    Ho
ASAS14jz   0.0157891 0.0156168 Y 0.985 0.005 15.370 0.033  -3.9 0.0472 0.0047 -1.897e-06    Ho
ASAS14jz   0.0157891 0.0156168 g 0.985 0.005 14.614 0.004  -8.8 0.0472 0.0047  3.156e-06    Ho
ASAS14jz   0.0157891 0.0156168 i 0.985 0.005 15.352 0.008  -5.1 0.0472 0.0047  2.891e-06    Ho
ASAS14jz   0.0157891 0.0156168 r 0.985 0.005 14.764 0.005  -9.9 0.0472 0.0047  1.234e-06    Ho
ASAS14jz   0.0157891 0.0156168 u 0.985 0.005 14.987 0.005  -7.0 0.0472 0.0047  4.490e-06    Ho
ASAS14kd   0.0243000 0.0230683 B 1.174 0.007 16.239 0.005  -7.0 0.0574 0.0057  4.629e-07    Ho
ASAS14kd   0.0243000 0.0230683 H 1.174 0.007 16.363 0.075  14.5 0.0574 0.0057 -7.291e-06    Ho
ASAS14kd   0.0243000 0.0230683 J 1.174 0.007 15.916 0.126  15.0 0.0574 0.0057  5.422e-05    Ho
