       name        zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw       covMs       Ho     eHo   meth       BV     eBV    covBV_M  
   SN2006dd    0.005867   0.0055089   0.951   0.003   12.205   0.083    59.7   0.0179   0.0018   1.063e-05   31.815   0.394     Ho   -0.065   0.007   0.000000  
   SN2007on     0.00649   0.0061833   0.589   0.003   12.932    0.01    -6.5   0.0098    0.001   5.831e-06   31.998   0.004     Ho    0.115   0.012   0.000000  
   SN2011iv     0.00649   0.0061827   0.701   0.007   12.407   0.009    -3.5   0.0098    0.001   9.674e-06   32.066   0.351     Ho    0.030   0.011   0.000000  
   SN2012fr   0.0054533   0.0051291   1.107   0.004   11.906   0.003   -13.0   0.0177   0.0018   1.744e-06    31.66   0.423     Ho    0.013   0.006   0.000000  
  SN2016coj    0.004483   0.0048465   0.811   0.008   13.065   0.013    -9.7   0.0163   0.0016   1.645e-05   31.537   0.448     Ho    0.000   0.013   0.000000  
