name,sep,proj
CSP15aae,57.4217,85.5645
CSP15B,5.5398,8.1216
KISS13j,2.2385,1.5982
KISS13l,2.8008,2.3307
KISS13v,0.9186,1.3830
KISS15m,43.2553,19.6626
KISS15n,1.3064,0.7842
LSQ11ot,11.6346,5.4282
LSQ11pn,8.7984,11.1987
LSQ12agq,2.9675,1.9218
LSQ12aor,4.4162,5.3136
LSQ12bld,10.5762,3.4844
LSQ12blp,14.6564,5.9070
LSQ12btn,10.6282,15.4142
LSQ12ca,6.7227,15.7826
LSQ12cda,8.0860,12.2016
LSQ12cdl,1.6613,0.8145
LSQ12fuk,2.6676,1.2432
LSQ12fvl,8.6430,6.8839
LSQ12fxd,39.8790,21.8838
LSQ12gdj,27.2369,17.7500
LSQ12gef,4.1572,5.1278
LSQ12gln,5.9699,10.3556
LSQ12gpw,9.1062,14.2715
LSQ12gxj,5.6263,7.9358
LSQ12gzm,0.9017,0.9502
LSQ12hjm,5.6056,10.1303
LSQ12hno,1.1979,2.9112
LSQ12hvj,5.3746,10.6013
LSQ12hxx,5.1804,2.1595
LSQ12hzj,2.3530,2.5548
LSQ12hzs,4.7098,2.9397
LSQ13abo,4.3843,2.6591
LSQ13aiz,29.0710,35.8585
LSQ13cwp,11.2582,21.1355
LSQ13dcy,10.5561,10.4282
LSQ13dhj,4.0183,2.8354
LSQ13dkp,20.3000,35.1456
LSQ13dpm,5.9472,10.9616
LSQ13dsm,7.1523,9.7293
LSQ13pf,6.6676,15.9448
LSQ13ry,6.6927,9.0924
LSQ13vy,11.1292,14.7509
LSQ14act,5.4672,3.1761
LSQ14age,3.0553,4.1950
LSQ14ahc,8.3579,10.7964
LSQ14ahm,4.0862,0.6361
LSQ14ajn,5.7641,6.0525
LSQ14asu,5.7223,10.5472
LSQ14auy,7.0100,10.9363
LSQ14azy,4.9264,8.4309
LSQ14ba,4.6107,6.0769
LSQ14bbv,8.1614,8.1074
LSQ14bjj,0.9587,2.2158
LSQ14fms,5.1836,4.3329
LSQ14foj,5.9757,8.5649
LSQ14fom,3.8652,6.2329
LSQ14gfb,4.8348,2.8888
LSQ14gfn,3.1062,2.5615
LSQ14ghv,8.4835,9.6894
LSQ14gov,3.8763,5.8889
LSQ14ip,22.8581,22.7070
LSQ14jp,8.1570,7.9384
LSQ14mc,1.9879,0.8453
LSQ14q,7.0697,9.2507
LSQ14wp,2.7270,4.2298
LSQ14xi,4.6305,4.1636
LSQ15aae,11.8062,17.3288
