CID_1,zCMB_1,VPEC_1,VPEC_VARIANCE,NONGAUSS
PTF13dwl,0.0863561,-10.926649707137042,185976.53479074966,0.0
PTF13dym,0.0409061,-68.87664487646506,353663.0386134561,2595.3999540425893
PTF13ebh,0.012484,926.1049360865941,15893.058287319991,8.196092912001594
PTF13efe,0.0758465,35.55427209739668,193440.7555120429,0.0
PTF13ez,0.0445375,-346.67519582125277,60319.176337249584,55.03271605646604
PTF14aje,0.0282271,254.81357397040418,117668.2210868449,212.17988080381775
PTF14fpg,0.03283,219.7315788218909,28491.329582133312,20.096406164270313
PTF14gnl,0.0525349,-31.407643263855707,196976.29535208154,0.0
PTF14uo,0.0922406,-37.497329920618476,185723.68543950384,0.0
PTF14w,0.0200839,-402.7387969085236,293186.32457818964,1873.0813291851464
PTF14yw,0.0180604,536.445270233099,17484.38093562291,166.0483840398188
PTF14yy,0.0440905,-307.23380227160743,72379.48516671747,53.72177966173797
SN1981B,0.0071693,149.6981211456602,210855.13354545453,0.0
SN1990N,0.0040676,117.66817822845442,201947.2583432886,0.0
SN1994ae,0.0051205,85.2088156589361,201536.37019406992,0.0
SN1995al,0.0058765,60.989311581150716,200283.89315224928,0.0
SN1998aq,0.0042623,75.64795446499664,195368.94621581413,0.0
SN2001el,0.0036761,-84.64565216520404,199646.1694814731,0.0
SN2002fk,0.0066137,-23.200829486788855,209011.98465674484,0.0
SN2003du,0.0066521,50.34278080871437,197199.22121332824,0.0
SN2004ef,0.02977,-162.39467520529385,50415.3411187,566.1563510715619
SN2004eo,0.0147367,-405.4998004331999,131387.56299780426,377.32762091669906
SN2004ey,0.0146267,-406.7941485402696,62297.769282157,7.901188593407014
SN2004gs,0.0282767,-445.0785863769601,172816.41324612722,499.167326511401
SN2004gu,0.0468967,-227.34572490098236,208243.25749450029,0.0
SN2005A,0.01834,5.596404151082345,88949.2308044706,21.632010012011968
SN2005M,0.02558,-165.90888975056387,117819.83696844835,468.23056816340977
SN2005W,0.00795,79.47289843970904,210033.4939437562,0.0
SN2005ag,0.08008,-104.07918875306183,185619.67101823975,0.0
SN2005al,0.0132867,744.1538137039967,539439.961490148,4577.097248455979
SN2005am,0.0089667,-46.226446924732215,208629.73872699533,0.0
SN2005be,0.0355767,-26.966355121642042,64768.70586399534,191.7141468713752
SN2005bg,0.0241567,-333.05738550106247,687430.4889482898,4845.401333908746
SN2005bl,0.0251133,621.9984052707279,896170.2982216963,3247.8740591805117
SN2005bo,0.0150133,-14.458304352874734,165181.96615748195,2665.392444535236
SN2005cf,0.007045,134.04625255619118,208115.81261300485,0.0
SN2005el,0.0148833,-49.22189188372995,138327.79517607103,556.9150457920324
SN2005eq,0.02835,-226.75191114160725,256955.67675178775,1052.582918230159
SN2005hc,0.0444967,-482.1551063694865,97674.52317587951,3671.440477729838
SN2005hj,0.05695,-133.6468906226668,194942.36732606468,0.0
SN2005iq,0.03293,-394.2626150998161,62930.72828845329,18.624647108665005
SN2005ir,0.0752333,-78.84633499820666,188472.3882820416,0.0
SN2005kc,0.01389,-371.15098465276554,70333.95064148468,141.18463877236795
SN2005ke,0.0044833,-54.31095401486702,202632.06001512124,0.0
SN2005ki,0.02037,87.18194381372395,103539.38110703038,1182.6804552422502
SN2005ku,0.0441833,-162.99315063122165,64717.77098973725,29.510315263384882
SN2005lu,0.0312933,-410.8960933927265,161475.6668697597,507.6616988513762
SN2005mc,0.0260067,-378.664194328274,113025.14457878364,841.1508444822201
SN2005na,0.0268133,-309.14882243208837,135951.60675028144,646.5701172504565
SN2006D,0.00964,186.99470441117643,216790.44452487727,0.0
SN2006X,0.00632,120.17442745593722,207240.91230644027,0.0
SN2006ax,0.0179567,-101.70164630028354,67127.85725705491,33.59857599688607
SN2006bd,0.0267967,-853.1415046347103,58655.95957764986,175.5639759046499
SN2006bh,0.0104933,-328.3373414479547,134370.68999636458,238.0858177788762
SN2006br,0.0255233,298.9796615729341,805142.8490797057,3992.999327777984
SN2006ef,0.0170267,-140.79982909424936,192330.9763935137,1170.560254700504
SN2006ej,0.0193367,-482.2743643021496,247106.14522768816,1857.7359846818922
SN2006eq,0.0483667,238.2248417163115,92151.41471446728,185.9218267435133
SN2006et,0.0216467,-392.76709199419764,64614.056050231535,4.29387643334399
SN2006ev,0.0276,-402.2565503267412,153959.84097096176,885.207432444413
SN2006fw,0.0819867,-46.502752339447575,187251.10074415183,0.0
SN2006gj,0.0269667,-257.9470992676368,256196.9301342796,5289.856553913793
SN2006gt,0.0436433,355.84534390773035,238058.72017063096,1396.4630185562296
SN2006hb,0.0153367,-230.24612058387186,51647.44906467699,121.55582569505442
SN2006hx,0.0444033,-240.01252562037777,169582.62422547778,1787.2682690801116
SN2006is,0.03142,762.3088133060558,64443.937105526726,213.22373059346893
SN2006kf,0.0208,143.66170573552594,89427.84827000284,476.9486168004806
SN2006lu,0.0543967,-33.77877854979097,194713.98880507878,0.0
SN2006mr,0.00551,-93.02166946833539,204955.1169789687,0.0
SN2006ob,0.0582567,-139.89603973705366,194832.26398610385,0.0
SN2006os,0.03208,-460.0570642944752,228985.5229029269,1093.4785996727544
SN2006py,0.0566433,-101.65466480287209,156544.66802762524,823.6749909765362
SN2007A,0.0164633,-308.62907399095815,177787.16478692903,342.02523475280935
SN2007N,0.014,-28.252747722502054,262387.5939735021,115490.87024113334
SN2007S,0.0150233,-115.19444614257934,46310.49751613507,10.479113971818576
SN2007af,0.00629,146.5802173648941,208572.31234979208,0.0
SN2007ai,0.0319867,-581.6813596445021,44170.03768898138,22.179952682484732
SN2007al,0.0132629,-387.3998133409002,147538.4162740623,931.8698185708818
SN2007as,0.0178967,-459.9186014700182,94988.41123687928,768.1382853830455
SN2007ax,0.0076367,11.689565538773445,204549.06489392472,0.0
SN2007ba,0.0390533,-285.9420341890247,464565.0498962482,6563.461930233864
SN2007bc,0.02185,-144.58701134558646,283126.8465281146,1402.2216271711702
SN2007bd,0.0318267,-40.720653661656904,105037.92552053496,285.95707049900176
SN2007bm,0.00744,109.93640004998304,208198.44351044935,0.0
SN2007ca,0.01507,211.47586307818224,82942.32290734479,230.41356157256138
SN2007cg,0.0341676,590.9405841479536,197636.3433605951,4807.270562642334
SN2007hj,0.0128818,-139.71185074489478,85643.29264053212,105.74149777770235
SN2007hx,0.0788733,-45.00506349091298,187783.05511417138,0.0
SN2007jd,0.0719112,-49.08115832713332,189187.0473662449,0.0
SN2007jg,0.0365767,-877.3400343318787,232526.50301376628,3301.35714334329
SN2007jh,0.0402667,-1006.2308341426741,36362.506379696686,51.01515061155364
SN2007le,0.0055233,-110.77182684921652,203823.0990164795,0.0
SN2007mm,0.0688733,-99.94570159323504,189874.38891013415,0.0
SN2007nq,0.0439033,474.47645367172083,236214.40149067278,2957.494137370874
SN2007ol,0.054882,-145.14591905923413,196781.78892659236,0.0
SN2007on,0.0061833,-92.50509164596635,206710.39099245434,0.0
SN2007so,0.0289285,-480.62512949595674,124547.95323212753,1989.6256908106818
SN2007sr,0.0066557,137.86873687169447,205876.87811430317,0.0
SN2007st,0.0206508,-159.85729774852103,160829.93034581124,828.9479317928823
SN2007ux,0.031996,-614.822327160432,199317.03873206716,2071.04351304472
SN2008C,0.0170667,-247.41362110030494,141688.01041999235,579.372693761841
SN2008O,0.039318,473.74071407151337,370360.913446482,161912.93539311166
SN2008R,0.0128867,0.665325118236821,114974.87327109287,567.6197917126427
SN2008ar,0.0272474,-1137.6795347304555,38738.387331821585,3102.364759817677
SN2008bc,0.0157067,-135.95339424906243,54355.01129808474,26.28055929070453
SN2008bd,0.0312803,-125.21161029597309,182306.28920259798,1427.5027380625827
SN2008bf,0.0245538,310.94887373998637,771588.5798025477,1796.913166076167
SN2008bi,0.0143882,-357.809794998552,93323.57425871839,168.8450341693284
SN2008bq,0.0344433,920.8539081020366,214324.83161746428,455.35276763942574
SN2008bt,0.0165796,-283.92763616911935,75653.3516938392,96.60379951224782
SN2008bz,0.0613265,-139.74320759239805,191320.4612967938,0.0
SN2008cc,0.0101222,97.35792746521767,176536.76252097762,3336.723066020585
SN2008cd,0.0084623,192.8429006405181,213151.24548370714,0.0
SN2008cf,0.0468269,-256.4880138032394,137349.68494472673,556.3300875381588
SN2008ff,0.0186725,-234.66897824996906,458202.0737431066,39563.49033240462
SN2008fl,0.0194172,196.24039332166757,331149.2113252896,2534.1829310730627
SN2008fp,0.0062867,-65.052720592742,201874.65057400087,0.0
SN2008fr,0.0379062,-80.82930500619482,203189.39379814392,787.4420193865024
SN2008fu,0.0518336,55.10550905491039,55690.70296646075,11.474636165600057
SN2008fw,0.0095066,6.299727464861373,206192.80184184923,0.0
SN2008gg,0.0310658,-9.691138365486463,56486.264182077466,79.16959306271787
SN2008gl,0.0329459,50.123992687852436,66975.62296844574,76.90034398912833
SN2008go,0.0613133,82.08379267152975,194063.39901157966,0.0
SN2008gp,0.0328233,-597.3919915064849,96666.20068513726,7636.281412511194
SN2008hj,0.0367224,-225.90008548697946,51878.149203426976,23.77142889445679
SN2008hu,0.050526,-20.94208144210229,82600.06739853184,18.56149153953224
SN2008hv,0.01358,-255.18308433843018,74276.16524589634,104.62939915658396
SN2008ia,0.02254,-103.71720211481517,68495.02070155309,261.92934133312525
SN2009D,0.024654,225.59539788070205,38984.69188711994,39.07971365192533
SN2009F,0.01291,-49.456500350717654,150836.8378414828,973.4795885053312
SN2009I,0.0254309,17.773714291334223,57787.61501081274,6177.8441869713115
SN2009P,0.0263202,-330.5727635106503,113424.52618314244,105.25343766354904
SN2009Y,0.0101034,286.70064675630385,97685.06722986164,109.15026164277175
SN2009aa,0.0284814,-343.6500657716797,75556.77319754788,15.602892111161427
SN2009ab,0.0108624,305.4067221346365,40054.06893849485,1210.6113763253497
SN2009ad,0.0283174,-270.21326111966476,181948.0168046716,916.0939229134292
SN2009ag,0.0092477,-122.75071999584048,210030.1414702355,0.0
SN2009al,0.0232764,-35.34424509705323,123483.8169258788,384.90585303096543
SN2009cz,0.0219786,-142.57214818690136,147690.7377630502,2169.878679041769
SN2009ds,0.0204662,-183.55436876441652,165839.8762723357,599.0034362357492
SN2009ig,0.0080401,33.05890161291483,213080.5463826721,0.0
SN2009le,0.017027,-367.1251999152127,88382.9521555668,282.3455405685094
SN2011by,0.003405,79.20157267665573,194454.7912827556,0.0
SN2011fe,0.0012072,74.73620619850527,193719.91376592283,0.0
SN2011iy,0.0053357,148.796588694086,205019.24992909658,0.0
SN2011jh,0.0089154,180.79794540991094,214928.06756177507,0.0
SN2011jn,0.0485384,90.78453167734774,820531.7827609668,1713.190621776463
SN2011jt,0.0284695,288.8400103925366,244992.31521416648,3774.306135680187
SN2012E,0.019439,127.01887205467582,74281.22220314744,31.49681154906819
SN2012G,0.0268487,-1233.2339652692551,60823.71002706407,11326.188728185756
SN2012U,0.0193386,-181.95728029622907,133186.9080430795,759.8356735142027
SN2012ah,0.0123697,-380.8717396467652,111402.04984826435,19.194352081486183
SN2012aq,0.0525508,-362.6717487513013,54334.36463831888,126.9412948189962
SN2012ar,0.028536,-212.3242015051458,390710.5432041255,34842.62677970154
SN2012bl,0.0181998,-459.6089175501544,346364.5182661822,2861.8377461527452
SN2012bo,0.0265314,-536.4152814037552,50348.03113328503,185.25709880751774
SN2012cg,0.0025798,110.30667580542806,198951.624624554,0.0
SN2012fr,0.0051291,-85.61011481482302,203841.67246915036,0.0
SN2012gm,0.013553,-111.25555737180218,95578.33924718006,91.9298034442014
SN2012hd,0.0111341,-264.624203301879,37499.09231091816,2.9229475603291806
SN2012hl,0.0318991,-303.84910766361793,77524.20282720466,121.53159905657165
SN2012hr,0.0078716,-127.3744274949259,208797.46002944474,0.0
SN2012ht,0.0046846,90.61978388235164,200651.0017354744,0.0
SN2012id,0.0155401,133.55413813198487,127905.8678693046,271.32109526526335
SN2012ij,0.012107,-123.34723175609874,31356.911360871858,13.851328417396894
SN2013E,0.0104565,293.87735156565464,296803.7547787081,932.7151426708895
SN2013H,0.0158792,-325.09910588752257,104559.17144221306,200.16283387300427
SN2013M,0.0357427,888.8966510607289,161148.87358441792,12296.28372028892
SN2013U,0.0356518,-291.3221853251528,69635.33501950646,570.9520038766061
SN2013aa,0.0046654,81.12960706647958,199725.99388049237,0.0
SN2013aj,0.0100653,150.31870876663731,103114.188192827,6989.691550321726
SN2013ay,0.0156526,415.09102133290554,673418.8994288245,3234.2791999797955
SN2013az,0.037464,680.1363769906236,166014.6087714801,580.8551165576855
SN2013bc,0.023528,-267.23498949102617,285724.59328397596,5191.394619630147
SN2013bz,0.0201818,168.59007924937742,262679.9667966765,9211.522465585776
SN2013cg,0.009009,-38.69824488599041,207041.64408773047,0.0
SN2013ct,0.0027369,-49.658912438297925,199212.13657214222,0.0
SN2013dy,0.0028843,-30.057540736027008,193744.9449605055,0.0
SN2013fy,0.0301903,191.40016152829625,120823.75951917932,454.8677493297524
SN2013fz,0.0205517,-141.662092347167,41494.618473283874,49.54160047368026
SN2013gv,0.0334585,-437.5976981870583,374727.4388307886,34642.244463611074
SN2013gy,0.0135587,200.5390761460893,96607.39652334977,334.1225602610194
SN2013hh,0.0141046,50.74326277963479,28993.045681400636,41.64071283014021
SN2013hn,0.0160268,156.94584319110703,287036.72382785194,709.5369566729779
SN2014D,0.0092489,113.21312231462252,214856.61300103017,0.0
SN2014I,0.0302041,651.229738137842,67657.86727061553,137.76032478489154
SN2014Z,0.0209246,-137.25363525792932,60625.97118275978,236.66171659935745
SN2014ao,0.015028,-379.50958004172145,86897.99469070093,169.96101731993141
SN2014at,0.031543,161.6842677598616,118934.37160145599,291.80955135285114
SN2014ba,0.0049902,-147.1199664684466,201597.17950950965,0.0
SN2014dn,0.0221408,-86.8676201262257,36558.62175726149,30.73688819810485
SN2014eg,0.018331,-210.70867614435713,113533.01230116656,283.70097142173375
SN2015F,0.0052804,-65.69053266734093,200590.02408273128,0.0
SNhunt281,0.004706,102.29223066061044,203381.01505159133,0.0
