host
KUG 1237+183
IC 0803 NED01
NGC 7580
IC 1657
CSS J005017.69+243154.4
ESO 121- G 026
NGC 3447
2MASX J04424248+1835003
CGCG 097-050
ESO 153- G 020
""
NGC 5643
Anonymous
NGC 5339
""
Anonymous
IC 4745
ESO 306-016
IC 4209
2MASX J13265081-1001263
NGC 2891
NGC 428
IC 2532
ESO 287- G 040
NGC 1578
""
IC 1890
NGC 1418
ESO 036- G 019
UGC 06483
IC 4329
ESO 325- G 043
CGCG 008-023
NGC 2615
NGC7119
NGC 7410
UGC 07170
UGC 10414
IC 2060
ESO 154- G 010
ESO 487-G36
ESO 114- G 004
NGC 2442
""
NGC 5839
