sn,snra,sndec,zcmb
LSQ15aae,247.565417,5.932981,0.0517701
LSQ15agh,163.22825,23.461569,0.0610193
LSQ15aja,255.787167,12.461569,0.0699657
LSQ15alq,197.327333,-25.872289,0.0480953
LSQ15bv,164.947042,-16.819619,0.0701168
PS1-13eao,52.484792,-28.771583,0.037362
PS1-14ra,220.3685,9.432972,0.0287982
PS1-14rx,191.722292,14.79725,0.0680019
PS1-14xw,253.241375,2.393472,0.0245957
PS15sv,243.298917,1.591972,0.0335844
PTF11pbp,351.981333,8.779167,0.0276702
PTF11ppn,323.841375,26.934639,0.0661869
PTF11pra,34.690875,-6.641944,0.0167242
PTF11qnr,341.106042,-0.167222,0.0149985
PTF13anh,196.710208,15.575656,0.0624543
PTF13duj,318.436583,13.575861,0.015867
PTF13dwl,319.204375,12.014111,0.0863561
PTF13dym,351.125792,14.651111,0.0409061
PTF13ebh,35.499917,33.270472,0.012484
PTF13efe,130.91375,16.177028,0.0758465
PTF13ez,182.46375,19.787694,0.0445375
PTF14aje,231.300292,-1.814306,0.0282271
PTF14fpg,7.05,7.162083,0.03283
PTF14gnl,5.951375,-3.85775,0.0525349
PTF14uo,199.740375,9.711194,0.0922406
PTF14w,180.880375,2.042778,0.0200839
PTF14yw,176.264917,19.973722,0.0180604
PTF14yy,186.538208,9.978944,0.0440905
SN1981B,188.622917,2.199722,0.0071693
SN1990N,190.73642,13.25667,0.0040676
SN1994ae,161.75813,17.27528,0.0051205
SN1995al,147.73321,33.55261,0.0058765
SN1998aq,179.10833,55.12744,0.0042623
SN2001el,56.12738,-44.63992,0.0036761
SN2002fk,50.52379,-15.40089,0.0066137
SN2003du,218.64917,59.33439,0.0066521
SN2004ef,340.54175,19.994556,0.02977
SN2004eo,308.225792,9.928528,0.0147367
SN2004ey,327.282542,0.444222,0.0146267
SN2004gs,129.596583,17.627722,0.0282767
SN2004gu,191.603,11.948917,0.0468967
SN2005A,37.680208,-2.938833,0.01834
SN2005M,144.384833,23.20075,0.02558
SN2005W,27.690708,21.759833,0.00795
SN2005ag,224.181875,9.328472,0.08008
SN2005al,207.501375,-30.576167,0.0132867
SN2005am,139.054458,-16.304444,0.0089667
SN2005be,224.886333,16.669889,0.0355767
SN2005bg,184.321583,16.371556,0.0241567
SN2005bl,181.051083,20.406889,0.0251133
SN2005bo,192.420958,-11.096472,0.0150133
SN2005cf,230.38421,-7.41319,0.007045
SN2005el,77.953,5.194278,0.0148833
SN2005eq,47.205458,-7.03325,0.02835
SN2005hc,29.19975,-0.213722,0.0444967
SN2005hj,21.701125,-1.238,0.05695
SN2005iq,359.635417,-18.709167,0.03293
SN2005ir,19.182792,0.793694,0.0752333
SN2005kc,338.530583,5.568417,0.01389
SN2005ke,53.768125,-24.944111,0.0044833
SN2005ki,160.117583,9.202333,0.02037
