sn,proj
ASAS14ad,5.6580122327231805
ASAS14hp,12.263341397699962
ASAS14hr,2.1344226803637274
ASAS14hu,13.845252456626154
ASAS14jc,0.75945275486639
ASAS14jg,4.39576935522038
ASAS14jz,5.259105250755487
ASAS14kd,1.4406585903549898
ASAS14kq,5.944442122567684
ASAS14lo,8.654552646753489
ASAS14lp,1.6469066353006214
ASAS14lq,32.55256476714529
ASAS14lt,2.681315475221259
ASAS14lw,5.407620396308257
ASAS14me,0.551856498562323
ASAS14mf,1.3595500793939226
ASAS14mw,19.738053127082317
ASAS14my,1.9670154059101395
ASAS15aj,1.667424616188014
ASAS15al,4.858417429613626
ASAS15as,2.0227916141735536
ASAS15ba,0.4398117105414739
ASAS15be,3.031134938384194
ASAS15bm,1.9112622164282709
ASAS15cb,0.38035243274950414
ASAS15cd,2.8378148706719046
ASAS15da,15.476457284583491
ASAS15db,0.6435612300486258
ASAS15dd,1.2581844888117073
ASAS15eb,0.4201702168503078
ASAS15fr,2.467444772620269
ASAS15ga,0.34336979217000113
ASAS15go,1.9837438164425976
ASAS15gr,9.451728535940404
ASAS15hf,0.015030159147675418
ASAS15hg,5.578311644003447
ASAS15hx,0.6862039644957295
CSP12G,1.682273280206
CSP12J,0.298291946402027
CSP12N,2.450222418121587
CSP13N,18.067506614157345
CSP13Q,9.485892228515207
CSP13Z,8.228272221819035
CSP13aad,6.0389016026659705
CSP13aaf,39.47791802182911
CSP13aam,10.358286510983342
CSP13aao,0.14294643701814225
CSP13aaq,0.0
CSP13aay,0.0
CSP13abl,6.797348249976107
CSP13abm,4.819071985259238
CSP13abs,2.719047076411539
CSP14aaq,0.41325052357302855
CSP14aar,0.0
CSP14abn,18.520424660724817
CSP14acl,0.0
CSP14acy,4.033237231836691
CSP14adc,26.296947572715716
CSP14ade,1.9044743052480624
CSP15B,2.3348961699748476
CSP15aae,19.82269143479785
KISS13j,3.2889973582313017
KISS13l,6.6173731771728015
KISS13v,1.6371659962476732
KISS15m,22.10629924466916
KISS15n,0.6317626101282555
LSQ11bk,0.0
LSQ11ot,6.3850630911185045
LSQ11pn,5.735206236332698
LSQ12agq,3.7237337111130118
LSQ12aor,7.74991492915368
LSQ12bld,16.744123352535134
LSQ12btn,11.412799484357874
LSQ12ca,12.3488616849559
LSQ12cda,19.760332280707214
LSQ12cdl,3.3061703898812027
LSQ12fuk,1.110505170795878
LSQ12fvl,9.391859047316977
LSQ12fxd,24.978762027525157
LSQ12gdj,15.981694059712702
LSQ12gef,5.055604615415021
LSQ12gln,11.220423161857282
LSQ12gxj,3.875743132525256
LSQ12gyc,0.0
LSQ12gzm,1.6540834148487318
LSQ12hjm,7.5711001810977345
LSQ12hno,1.1003640089794071
LSQ12hnr,0.0
LSQ12hvj,7.408713886590967
LSQ12hxx,6.825618126809114
LSQ12hzj,1.6199449150305836
LSQ12hzs,6.445115827849745
LSQ13abo,5.716514066014943
LSQ13aiz,6.109673207659984
LSQ13cwp,14.304367707037061
LSQ13dby,0.0
LSQ13dcy,15.95092691845691
LSQ13dhj,6.941430958953619
LSQ13dkp,26.608884227039624
LSQ13dpm,6.0382765526633415
LSQ13dqh,0.0
LSQ13dsm,5.925626941747721
LSQ13pf,10.860333454166875
LSQ13ry,4.153119415222317
LSQ13vy,9.247615777147914
LSQ14act,6.2839063852778825
LSQ14age,4.695680431049849
LSQ14ahc,8.439616706848797
LSQ14ahm,4.0682920853205164
LSQ14ajn,2.5814659599867245
LSQ14asu,7.608060571347055
LSQ14auy,10.970077458096496
LSQ14azy,4.536530605205975
LSQ14ba,6.864276498642854
LSQ14bbv,9.231716315271099
LSQ14bjj,1.480110295158865
LSQ14fms,7.588435981232819
LSQ14foj,5.307309573862458
LSQ14fom,4.154559065018097
LSQ14gfb,4.973011924959134
LSQ14gfn,6.77227535735028
LSQ14ghv,10.780245102301652
LSQ14gov,6.459611451842317
LSQ14ie,0.0
LSQ14ip,27.487995693489548
LSQ14jp,7.444590809749481
LSQ14mc,2.217303115050291
LSQ14q,9.185188738785374
LSQ14wp,3.6744394417599064
LSQ14xi,4.687881882618338
LSQ15aae,11.924021420624763
LSQ15agh,576.7314062184548
LSQ15aja,0.0
LSQ15alq,14.078692857619462
LSQ15bv,5.053062860627576
PS1-13eao,11.232548116274955
PS1-14ra,6.565347886714548
PS1-14rx,2.212212333597844
PS1-14xw,15.008227039431068
PS15sv,0.8930652640292671
PTF11pbp,9.886760268352958
PTF11ppn,4.419779725330372
PTF11pra,4.446909954338691
PTF11qnr,7.512485719979122
PTF13anh,0.5554302894215486
PTF13duj,5.205828092304043
PTF13dwl,3.7531339633355163
PTF13dym,0.39870400019821467
PTF13ebh,5.229113684806654
PTF13efe,0.910403615110994
PTF13ez,0.9315963997357561
PTF14aje,7.092602158112979
PTF14fpg,2.423671485098078
PTF14gnl,7.378937438566754
PTF14uo,10.308537073010772
PTF14w,39.087932038885896
PTF14yw,1.562350758986367
PTF14yy,5.411538769816175
SN1981B,8.200430012869436
SN1990N,5.346597776507603
SN1994ae,3.2399675420040297
SN1995al,1.8400849614129176
SN1998aq,1.7529960300853205
SN2001el,1.732843226477316
SN2002fk,1.724238409905934
SN2003du,2.114581315217027
SN2004ef,6.622229406732573
SN2004eo,17.77661493118062
SN2004ey,4.056076283921646
SN2004gs,9.147291529853863
SN2004gu,2.5114753962030902
SN2005A,2.3536611270750005
SN2005M,3.663946353166689
SN2005W,9.22351062462662
SN2005ag,13.482631506893625
SN2005al,4.618143842711428
SN2005am,7.557365985340904
SN2005be,4.922706857420388
SN2005bg,0.3650647499948743
SN2005bl,8.706523553632273
SN2005bo,4.302450067516936
SN2005cf,18.263328906266985
SN2005el,13.589331312954124
SN2005eq,17.24265635536116
SN2005hc,8.247043588743319
SN2005hj,3.152212789178889
SN2005iq,13.080842190872506
SN2005ir,0.42663841142460734
SN2005kc,3.0663428409063154
SN2005ke,5.243841233994831
SN2005ki,29.396657653789134
SN2005ku,0.8264851931306217
SN2005lu,2.2454626053899682
SN2005mc,3.1990940857145227
SN2005na,4.03268293855874
SN2006D,2.4834597956783937
SN2006X,6.125309175519056
SN2006ax,20.08331973046285
SN2006bd,8.134534305628911
SN2006bh,11.474746265252922
SN2006br,3.4123189159406873
SN2006ef,9.043123167640209
SN2006ej,3.1794951573044736
SN2006eq,9.722766987283718
