        sn       zhel       zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       BV     eBV    covBV_M      ml       m              mu    host      dist    edist   caltype  
  SN2005ku   0.045407   0.044183    0.95    0.04   17.534   0.063     0.4   0.0461   0.0046   -5.746e-05    0.102    0.08    0.00637   10.14   10.14   10.1357060987     N/A      -1.0     -1.0      none  
  SN2005lu   0.031987   0.031293    1.13   0.034   17.292   0.058     9.3   0.0218   0.0022    -5.62e-05    0.238   0.072   0.005213   10.49   10.49   10.4882679012     N/A      -1.0     -1.0      none  
  SN2005mc   0.025203   0.026007    0.64   0.025   17.223   0.056     2.4   0.0379   0.0038   -4.125e-05    0.303   0.069   0.004736   10.86   10.86   10.8631418907     N/A      -1.0     -1.0      none  
  SN2005na   0.026303   0.026813   0.957   0.006   16.005   0.007    -1.9   0.0681   0.0068    1.961e-06    0.001   0.009    8.5e-05   11.12   11.12   11.1212433446     N/A      -1.0     -1.0      none  
   SN2006D    0.00852    0.00964   0.815   0.003   14.184   0.005    -6.0   0.0394   0.0039     3.35e-06      0.1   0.006    4.1e-05   10.05   10.05   10.0549572837     N/A      -1.0     -1.0      none  
   SN2006X   0.005237    0.00632   0.968   0.006   15.261    0.01   -10.9   0.0228   0.0023     8.81e-06    1.245   0.013   0.000164   11.25   11.25   11.2488022965     N/A      -1.0     -1.0      none  
  SN2006ax   0.016727   0.017957   0.987   0.004   15.026   0.005   -11.8    0.041   0.0041     7.59e-06   -0.052   0.006    4.1e-05   10.84   10.84   10.8416301771     N/A      -1.0     -1.0      none  
  SN2006bd   0.025707   0.026797   0.376   0.013   18.835   0.044    -1.2   0.0231   0.0023    5.822e-05    0.805   0.051   0.002561   11.03   11.03   11.0254231061     N/A      -1.0     -1.0      none  
  SN2006bh    0.01084   0.010493   0.802   0.003   14.358   0.003    -4.9   0.0228   0.0023    2.827e-06   -0.014   0.004    1.8e-05   10.78   10.78   10.7796455451     N/A      -1.0     -1.0      none  
  SN2006br   0.024573   0.025523   0.909   0.029   18.947   0.075     7.3   0.0197    0.002   -4.505e-05    0.938   0.091   0.008329   11.02   11.02   11.0155752426     N/A      -1.0     -1.0      none  
  SN2006ef    0.01787   0.017027   0.837    0.02   15.396    0.07    10.0   0.0201    0.002   -3.546e-05   -0.018   0.085   0.007204   10.52   10.52   10.5153792461     N/A      -1.0     -1.0      none  
  SN2006ej   0.020437   0.019337   0.829   0.018   15.725   0.053     5.3   0.0296    0.003   -6.679e-06    0.028   0.065   0.004253   11.03   11.03   11.0260859817     N/A      -1.0     -1.0      none  
  SN2006eq   0.049467   0.048367   0.621   0.025   18.534   0.065     2.4   0.0416   0.0042   -4.031e-05    0.274    0.08   0.006341   10.34   10.34   10.3425570649     N/A      -1.0     -1.0      none  
  SN2006et   0.022157   0.021647   1.093   0.008    15.98   0.005    -7.5   0.0165   0.0017    7.139e-07    0.161   0.008    6.1e-05   11.02   11.02   11.0159347107     N/A      -1.0     -1.0      none  
  SN2006ev   0.028713     0.0276   0.845   0.019   17.128   0.053     3.7   0.0759   0.0076   -1.959e-05    0.211   0.066    0.00433   11.05   11.05   11.0498711427     N/A      -1.0     -1.0      none  
  SN2006fw   0.082943   0.081987   0.888   0.049   19.065   0.048    -2.3    0.028   0.0028    0.0005528    0.083   0.073   0.005329   11.07   11.07   11.0672592311     N/A      -1.0     -1.0      none  
  SN2006gj   0.028333   0.026967   0.656   0.007   17.647   0.009    -1.8   0.0705    0.007    2.585e-06    0.283   0.012   0.000145   10.74   10.74   10.7407073619     N/A      -1.0     -1.0      none  
  SN2006gt    0.04474   0.043643   0.562   0.011   18.212   0.012    -2.3   0.0323   0.0032    1.414e-05    0.237   0.016   0.000244   10.19   10.19   10.1889617185     N/A      -1.0     -1.0      none  
  SN2006hb   0.015333   0.015337   0.673   0.018   15.525   0.049     4.3   0.0236   0.0024   -1.568e-05    0.152   0.061   0.003697   10.55   10.55   10.5543157081     N/A      -1.0     -1.0      none  
  SN2006hx   0.045463   0.044403   0.988   0.017   17.556   0.022    -9.2   0.0256   0.0026    0.0001176    0.149   0.032   0.001013    10.5    10.5   10.5044297231     N/A      -1.0     -1.0      none  
  SN2006is   0.031333    0.03142   1.327   0.026   16.094   0.055     0.4    0.029   0.0029   -9.504e-05   -0.026   0.068   0.004625   11.03   11.03   11.0332041693     N/A      -1.0     -1.0      none  
  SN2006kf   0.021287     0.0208   0.735   0.004   15.955   0.006    -4.8   0.2097    0.021    6.405e-06    0.013   0.008    6.1e-05   10.91   10.91     10.91187513     N/A      -1.0     -1.0      none  
  SN2006lu   0.053367   0.054397   1.051   0.022   17.519   0.052     5.0   0.0986   0.0099   -1.937e-05   -0.014   0.065   0.004225   10.52   10.52   10.5200251648     N/A      -1.0     -1.0      none  
  SN2006mr   0.005867    0.00551   0.239   0.004   15.261   0.022    -4.4   0.0179   0.0018     1.36e-05    0.671    0.03   0.000925   11.53   11.53   11.5311617224   N1316      -1.0     -1.0         t  
  SN2006ob   0.059197   0.058257    0.72   0.012   18.266   0.016    -3.1   0.0285   0.0029    2.546e-05    0.094   0.023   0.000512   11.27   11.27   11.2657274266     N/A      -1.0     -1.0      none  
  SN2006os   0.032787    0.03208   0.914   0.024   17.612   0.057     0.9   0.1254   0.0125   -1.266e-05    0.326   0.071   0.005013   11.04   11.04   11.0415795479     N/A      -1.0     -1.0      none  
  SN2006py    0.05786   0.056643    0.95   0.026   17.921   0.021    -1.6   0.0518   0.0052    8.373e-05    0.108   0.026   0.000697   10.14   10.14   10.1410036304     N/A      -1.0     -1.0      none  
   SN2007A   0.017633   0.016463   1.012   0.011   15.712   0.008    -4.9   0.0631   0.0063    4.439e-05    0.207   0.011   0.000113   10.58   10.58   10.5796185257     N/A      -1.0     -1.0      none  
