         sn        zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       BV     eBV    covBV_M      ml       m      mu    host    dist   edist   caltype  
   SN2005bl   0.0240433   0.0251133   0.429   0.011    18.48   0.028    -6.4    0.025   0.0025    0.0001085    0.676   0.034   0.000784   10.89   11.01    11.2     N/A    -1.0    -1.0      none  
   SN2005bo   0.0138867   0.0150133   0.883   0.009   15.671   0.005    -0.3   0.0396    0.004   -8.452e-06    0.237   0.006    2.5e-05   10.34    10.5   10.65     N/A    -1.0    -1.0      none  
   SN2005cf   0.0064611    0.007045   0.973   0.005   13.247   0.007   -12.5   0.0968   0.0097    1.258e-05    0.005    0.01    4.9e-05    10.0    10.0    10.0   N5917   32.26     0.1         c  
   SN2005el      0.0149   0.0148833   0.864   0.003   14.895   0.009    -7.1   0.0976   0.0098    7.911e-06    -0.08   0.012    8.1e-05    10.7   10.84   11.24     N/A    -1.0    -1.0      none  
   SN2005eq   0.0289567     0.02835   1.136   0.009   16.294   0.007    -3.9   0.0629   0.0063   -1.342e-05    0.055    0.01    4.9e-05   10.44   10.56   10.65     N/A    -1.0    -1.0      none  
   SN2005hc   0.0459067   0.0444967   1.141   0.007    17.31   0.005    -4.7    0.028   0.0028   -2.854e-06    0.013   0.007    2.5e-05   10.52    10.6   10.65     N/A    -1.0    -1.0      none  
   SN2005hj   0.0579667     0.05695   1.151   0.019   17.761   0.011    -3.0   0.0329   0.0033    -2.63e-05     0.08   0.016   0.000121    9.22    9.32    9.38     N/A    -1.0    -1.0      none  
   SN2005iq     0.03402     0.03293   0.882   0.006   16.796   0.008    -5.5   0.0185   0.0019    1.641e-05   -0.031   0.011    6.4e-05   10.47   10.54    10.6     N/A    -1.0    -1.0      none  
   SN2005ir   0.0763067   0.0752333   1.003   0.014   18.396   0.012    -2.8   0.0265   0.0027    6.076e-05    0.053   0.016   0.000144    9.12    9.23    9.37     N/A    -1.0    -1.0      none  
   SN2005kc     0.01511     0.01389   0.933   0.005    15.59   0.008   -10.6   0.1137   0.0114    1.227e-05    0.234   0.011    6.4e-05    10.6   11.06    11.5     N/A    -1.0    -1.0      none  
   SN2005ke   0.0048767   0.0044833   0.436   0.003   14.789   0.009    -9.7     0.02    0.002    4.686e-06    0.662   0.012    8.1e-05   10.29   10.43   10.61     N/A    -1.0    -1.0      none  
   SN2005ki   0.0191933     0.02037   0.836   0.004   15.584   0.005   -10.0   0.0267   0.0027    3.507e-06   -0.019   0.007    2.5e-05   10.62    10.8   10.86     N/A    -1.0    -1.0      none  
   SN2005ku   0.0454067   0.0441833   0.973   0.035   17.539   0.062     0.4   0.0461   0.0046   -5.746e-05      0.1   0.078   0.003844    9.96   10.04    10.1     N/A    -1.0    -1.0      none  
   SN2005lu   0.0319867   0.0312933   1.063    0.03   17.245   0.057     9.3   0.0218   0.0022    -5.62e-05     0.25   0.072   0.003249    9.68    9.86   10.03     N/A    -1.0    -1.0      none  
   SN2005mc   0.0252033   0.0260067   0.666    0.02   17.222   0.054     2.4   0.0379   0.0038   -4.125e-05    0.311   0.066   0.002916   10.85   10.95    11.1     N/A    -1.0    -1.0      none  
   SN2005na   0.0263033   0.0268133    0.97   0.005   16.008   0.007    -1.9   0.0681   0.0068    1.961e-06   -0.015   0.009    4.9e-05    10.9   10.97   11.05     N/A    -1.0    -1.0      none  
    SN2006D     0.00852     0.00964   0.839   0.003   14.194   0.005    -6.0   0.0394   0.0039     3.35e-06    0.099   0.006    2.5e-05    9.54    9.76    9.85     N/A    -1.0    -1.0      none  
    SN2006X   0.0052367     0.00632    0.97   0.004   15.243   0.009   -10.9   0.0228   0.0023     8.81e-06    1.213   0.012    8.1e-05    9.06    9.33    9.43     N/A    -1.0    -1.0      none  
   SN2006ax   0.0167267   0.0179567   1.003   0.004   15.033   0.006   -11.8    0.041   0.0041     7.59e-06   -0.073   0.008    3.6e-05   10.79   10.92   11.04     N/A    -1.0    -1.0      none  
   SN2006bd   0.0257067   0.0267967   0.395    0.01   18.763   0.037    -1.2   0.0231   0.0023    5.822e-05    0.733   0.044   0.001369    10.6   10.77    10.8     N/A    -1.0    -1.0      none  
   SN2006bh     0.01084   0.0104933   0.827   0.003   14.369   0.004    -4.9   0.0228   0.0023    2.827e-06    -0.01   0.006    1.6e-05   10.31   10.43   10.49     N/A    -1.0    -1.0      none  
   SN2006br   0.0245733   0.0255233   0.954   0.032   18.934    0.08     7.3   0.0197    0.002   -4.505e-05    0.837   0.097     0.0064   10.87   10.97   11.36     N/A    -1.0    -1.0      none  
   SN2006dd    0.005867   0.0055089   0.951   0.003   12.245   0.005   -10.6   0.0179   0.0018    4.918e-06   -0.065   0.007    2.5e-05   11.75   11.79    11.8   N1316   31.46    0.04         t  
   SN2006ef     0.01787   0.0170267   0.858    0.02    15.44   0.067    10.0   0.0201    0.002   -3.546e-05   -0.024   0.081   0.004489   10.18   10.35   10.49     N/A    -1.0    -1.0      none  
   SN2006ej   0.0204367   0.0193367   0.845   0.018   15.748   0.049     5.3   0.0296    0.003   -6.679e-06    0.028    0.06   0.002401   10.48   10.63    10.7     N/A    -1.0    -1.0      none  
   SN2006eq   0.0494667   0.0483667   0.656   0.022   18.567   0.061     2.4   0.0416   0.0042   -4.031e-05    0.302   0.075   0.003721    9.79   10.19   10.65     N/A    -1.0    -1.0      none  
   SN2006et   0.0221567   0.0216467   1.181   0.006   15.973   0.005    -7.5   0.0165   0.0017    7.139e-07    0.142   0.007    2.5e-05    10.7    10.8   10.88     N/A    -1.0    -1.0      none  
   SN2006ev   0.0287133      0.0276    0.84   0.021   17.162   0.056     3.7   0.0759   0.0076   -1.959e-05    0.179   0.069   0.003136   10.65   10.75   10.91     N/A    -1.0    -1.0      none  
   SN2006fw   0.0829433   0.0819867   0.901   0.051   19.089   0.048    -2.3    0.028   0.0028    0.0005528    0.109   0.065   0.002304    9.32    9.42    9.62     N/A    -1.0    -1.0      none  
   SN2006gj   0.0283333   0.0269667   0.709   0.007   17.669   0.009    -1.8   0.0705    0.007    2.585e-06    0.297   0.012    8.1e-05   10.36   10.53    10.6     N/A    -1.0    -1.0      none  
   SN2006gt     0.04474   0.0436433   0.565   0.009   18.224   0.012    -2.3   0.0323   0.0032    1.414e-05    0.257   0.016   0.000144    9.87    9.93    9.94     N/A    -1.0    -1.0      none  
   SN2006hb   0.0153333   0.0153367   0.682   0.018   15.587   0.052     4.3   0.0236   0.0024   -1.568e-05    0.186   0.064   0.002704   10.05   10.22   10.39     N/A    -1.0    -1.0      none  
   SN2006hx   0.0454633   0.0444033    0.98   0.012   17.534   0.026    -9.2   0.0256   0.0026    0.0001176    0.113   0.035   0.000676   10.12   10.31   10.44     N/A    -1.0    -1.0      none  
   SN2006is   0.0313333     0.03142   1.093   0.036   16.176   0.053     0.4    0.029   0.0029   -9.504e-05    0.038   0.066   0.002809    6.68     7.1    7.41     N/A    -1.0    -1.0      none  
   SN2006kf   0.0212867      0.0208   0.771   0.005   15.973   0.007    -4.8   0.2097    0.021    6.405e-06    0.024   0.009    4.9e-05   10.59   10.82    10.9     N/A    -1.0    -1.0      none  
   SN2006lu   0.0533667   0.0543967   1.003   0.019   17.548   0.053     5.0   0.0986   0.0099   -1.937e-05   -0.019   0.066   0.002809   10.22   10.29   10.37     N/A    -1.0    -1.0      none  
   SN2006mr   0.0058667     0.00551   0.333   0.004   15.315   0.021    -4.4   0.0179   0.0018     1.36e-05    0.728   0.028   0.000441   11.75   11.79    11.8   N1316   31.46    0.04         t  
   SN2006ob   0.0591967   0.0582567   0.739   0.009   18.288   0.012    -3.1   0.0285   0.0029    2.546e-05    0.124   0.016   0.000144   11.08   11.26   11.33     N/A    -1.0    -1.0      none  
   SN2006os   0.0327867     0.03208   0.941    0.02   17.615   0.052     0.9   0.1254   0.0125   -1.266e-05    0.318   0.065   0.002704   10.66   10.81   10.87     N/A    -1.0    -1.0      none  
   SN2006py     0.05786   0.0566433   0.966   0.018   17.917   0.016    -1.6   0.0518   0.0052    8.373e-05    0.086   0.021   0.000256    8.94     9.1    9.24     N/A    -1.0    -1.0      none  
    SN2007N     0.01287       0.014   0.376   0.006   18.051   0.019    -0.6   0.0343   0.0034    2.231e-05    0.953   0.024   0.000361    10.1   10.19   10.57     N/A    -1.0    -1.0      none  
    SN2007S     0.01387   0.0150233   1.186   0.007   15.794   0.009   -10.8   0.0224   0.0022    2.014e-06    0.366   0.011    8.1e-05    9.63    9.98   10.16     N/A    -1.0    -1.0      none  
   SN2007af     0.00546     0.00629   0.949   0.002   13.162   0.005    -8.9   0.0338   0.0034    2.891e-06    0.085   0.007    2.5e-05    9.69    9.82    9.87   N5584   31.79    0.05        ct  
   SN2007ai     0.03164   0.0319867   1.223   0.013   17.023    0.01    -0.7    0.286   0.0286   -1.578e-05    0.183   0.013     0.0001    9.76    9.91   10.18     N/A    -1.0    -1.0      none  
   SN2007al   0.0121133   0.0132629   0.383   0.006    17.32   0.021    -0.2    0.036   0.0036     1.49e-05    0.693   0.026   0.000441    9.33    9.47    9.91     N/A    -1.0    -1.0      none  
   SN2007as     0.01756   0.0178967   0.889   0.004   15.489   0.007    -0.5   0.1229   0.0123    4.199e-07     0.08   0.009    4.9e-05   10.24   10.36   10.43     N/A    -1.0    -1.0      none  
   SN2007ax   0.0068567   0.0076367   0.416   0.011   16.199    0.03    -2.8   0.0446   0.0045    0.0001067    0.685   0.038     0.0009   10.13   10.23   10.29     N/A    -1.0    -1.0      none  
   SN2007ba   0.0384867   0.0390533   0.568   0.008   17.763   0.015    -7.1   0.0315   0.0032     2.58e-05    0.327   0.019   0.000225    10.9   10.99   11.06     N/A    -1.0    -1.0      none  
   SN2007bc   0.0207567     0.02185   0.907   0.005   15.858   0.007    -2.9   0.0186   0.0019    2.311e-06    0.033   0.009    4.9e-05   10.65   10.73   10.78     N/A    -1.0    -1.0      none  
   SN2007bd   0.0309967   0.0318267   0.917   0.006   16.567   0.012    -9.6   0.0289   0.0029    2.446e-05   -0.001   0.016   0.000144   10.68   10.82   10.89     N/A    -1.0    -1.0      none  
   SN2007bm   0.0062067     0.00744   0.906   0.005   14.425   0.007    -0.8   0.0354   0.0035    9.198e-07    0.421   0.009    4.9e-05   10.09   10.27   10.72     N/A    -1.0    -1.0      none  
   SN2007ca   0.0140567     0.01507   1.078   0.012    15.89   0.007    -9.0    0.057   0.0057     1.67e-05     0.26   0.009    4.9e-05    9.52    9.69    9.74     N/A    -1.0    -1.0      none  
   SN2007cg   0.0331733   0.0341676    1.07   0.049   18.202   0.074     8.1   0.0686   0.0069   -0.0004922    0.684   0.093   0.005476   10.33   10.37   10.43     N/A    -1.0    -1.0      none  
   SN2007hj   0.0141033   0.0128818   0.633   0.005   15.632   0.008    -1.6   0.0747   0.0075    3.236e-06    0.215    0.01    6.4e-05    10.3   10.45   10.89     N/A    -1.0    -1.0      none  
   SN2007hx     0.07976   0.0788733   1.006   0.028   19.261    0.06     0.3   0.0299    0.003   -2.703e-05    0.214   0.074     0.0036   10.45   10.55   10.62     N/A    -1.0    -1.0      none  
   SN2007jd   0.0725833   0.0719112   0.891   0.036   18.848   0.064     0.2    0.066   0.0066   -0.0001294    0.098   0.081   0.004096    9.93   10.13   10.18     N/A    -1.0    -1.0      none  
   SN2007jg   0.0371067   0.0365767   0.939   0.006    17.26   0.008    -3.0   0.0904    0.009    1.487e-05    0.028    0.01    6.4e-05    7.95     8.1    8.22     N/A    -1.0    -1.0      none  
   SN2007jh   0.0407667   0.0402667   0.599   0.015   18.305    0.02    -2.9   0.0902    0.009    6.818e-05    0.272   0.026     0.0004   10.89   10.99   11.04     N/A    -1.0    -1.0      none  
   SN2007le   0.0067167   0.0055233    1.02   0.004   13.891   0.005    -6.7   0.0287   0.0029    6.009e-06    0.292   0.006    2.5e-05    9.71    9.85   10.16     N/A    -1.0    -1.0      none  
   SN2007nq       0.045   0.0439033   0.769   0.006   17.431   0.009    -1.3   0.0312   0.0031    1.885e-07    0.056   0.011    8.1e-05   11.15   11.21   11.28     N/A    -1.0    -1.0      none  
   SN2007ol     0.05587    0.054882   0.701   0.032   18.063   0.018    -3.5   0.0215   0.0022    0.0002758   -0.063   0.028   0.000324    9.71    9.82    9.93     N/A    -1.0    -1.0      none  
   SN2007on     0.00649   0.0061833   0.589   0.003   13.032   0.009    -8.4   0.0098    0.001    6.047e-06    0.115   0.012    8.1e-05   10.78   11.04   11.45   N1404   31.42    0.05         t  
   SN2007so   0.0296667   0.0289285   0.925   0.009   16.343   0.066    24.1   0.1161   0.0116    9.643e-05    0.014   0.076   0.004356   10.89   10.97   11.07     N/A    -1.0    -1.0      none  
   SN2007sr   0.0054733   0.0066557   0.989   0.017   12.796   0.047     6.4   0.0398    0.004   -5.379e-06    0.159   0.059   0.002209    9.85   10.05   10.17   N4038    31.9     0.1        ct  
   SN2007st   0.0211667   0.0206508   0.863   0.022   15.839   0.066     4.3   0.0143   0.0014   -7.715e-05    0.149   0.083   0.004356   10.85   10.95    11.4     N/A    -1.0    -1.0      none  
   SN2007ux   0.0308933    0.031996   0.628   0.006   17.407   0.008    -0.3   0.0386   0.0039   -1.053e-05     0.21    0.01    6.4e-05   10.23    10.3   10.34     N/A    -1.0    -1.0      none  
    SN2008C     0.01661   0.0170667   0.967   0.024   15.668    0.06     3.4    0.072   0.0072   -6.754e-05    0.167   0.074     0.0036   10.35   10.49   10.55     N/A    -1.0    -1.0      none  
    SN2008O     0.03883    0.039318   0.688    0.01   18.149   0.013    -1.3   0.0763   0.0076    3.342e-07    0.313   0.016   0.000169   11.12   11.33   11.59     N/A    -1.0    -1.0      none  
    SN2008R   0.0134933   0.0128867   0.632   0.006    15.27   0.008    -1.4   0.0618   0.0062    1.943e-06     0.12   0.011    6.4e-05   11.07   11.25   11.31     N/A    -1.0    -1.0      none  
   SN2008ar     0.02613   0.0272474   0.976   0.004   16.232   0.009    -7.1   0.0311   0.0031    1.942e-05    0.008   0.011    8.1e-05   10.11   10.21   10.28     N/A    -1.0    -1.0      none  
   SN2008bc   0.0150767   0.0157067   1.057   0.005   14.748   0.004    -8.1   0.2251   0.0225    6.223e-06   -0.028   0.006    1.6e-05    9.95    10.1   10.23     N/A    -1.0    -1.0      none  
   SN2008bd   0.0300833   0.0312803    0.66   0.038   17.675   0.052    16.3   0.0751   0.0075   -0.0005821    0.339   0.067   0.002704   10.99   11.07   11.13     N/A    -1.0    -1.0      none  
   SN2008bi   0.0134367   0.0143882   0.512   0.022   17.044   0.103     7.3    0.037   0.0037    5.169e-05    0.591   0.123   0.010609   10.27   10.38   10.48     N/A    -1.0    -1.0      none  
   SN2008bq   0.0339767   0.0344433   1.153   0.009   16.711   0.007    -0.2   0.0774   0.0077   -2.175e-05     0.04   0.009    4.9e-05   10.74   10.82   10.91     N/A    -1.0    -1.0      none  
   SN2008bt   0.0153533   0.0165796   0.498   0.008   16.757    0.01    -1.1   0.0445   0.0044    5.945e-06    0.508   0.013     0.0001    10.7   10.85   10.91     N/A    -1.0    -1.0      none  
   SN2008bz   0.0602367   0.0613265   0.948   0.023   17.952   0.051     1.4   0.0226   0.0023   -3.339e-05   -0.044   0.064   0.002601   10.44    10.5   10.56     N/A    -1.0    -1.0      none  
   SN2008cc   0.0103867   0.0101222   0.813   0.018   14.334   0.053     8.5   0.0355   0.0035   -2.788e-05    0.158   0.065   0.002809    10.4   10.48   10.64     N/A    -1.0    -1.0      none  
   SN2008cd   0.0074067   0.0084623    1.08   0.144   18.809   0.115     9.3   0.0592   0.0059    -0.003924    1.662   0.136   0.013225    9.43    9.54    9.64     N/A    -1.0    -1.0      none  
   SN2008cf   0.0459682   0.0468269   1.092   0.035   17.061    0.05     0.8   0.0577   0.0058   -6.784e-05    0.009   0.062     0.0025    8.59    8.73    8.97     N/A    -1.0    -1.0      none  
   SN2008fl      0.0199   0.0194172   0.883   0.017   15.682   0.048     3.0   0.1569   0.0157   -8.998e-06    0.056   0.059   0.002304   10.87   10.94   11.01     N/A    -1.0    -1.0      none  
   SN2008fp     0.00566   0.0062867   1.108   0.008   13.936   0.005    -5.5   0.1686   0.0169    1.326e-06    0.479   0.007    2.5e-05   10.15    10.2   10.63     N/A    -1.0    -1.0      none  
   SN2008fr   0.0389733   0.0379062   1.035   0.023   16.826   0.055     7.6   0.0395    0.004   -3.986e-05   -0.014   0.069   0.003025    7.58    7.73    7.92     N/A    -1.0    -1.0      none  
   SN2008fu     0.05237   0.0518336   0.822   0.024   17.742   0.072     6.8    0.018   0.0018   -0.0001104   -0.021   0.087   0.005184   10.66   10.72    10.8     N/A    -1.0    -1.0      none  
   SN2008fw   0.0085433   0.0095066   1.117   0.023   13.992   0.052     9.1   0.1123   0.0112   -4.231e-05    0.076   0.065   0.002704   10.31   10.49   10.61     N/A    -1.0    -1.0      none  
   SN2008gg   0.0319933   0.0310658   1.054   0.025   16.574    0.05     3.4   0.0195    0.002   -4.859e-05    0.149   0.063     0.0025   10.63   10.73   10.82     N/A    -1.0    -1.0      none  
   SN2008gl   0.0339933   0.0329459   0.867   0.005   16.818   0.006    -2.9   0.0244   0.0024    4.414e-06    0.028   0.008    3.6e-05   10.81   10.86   10.92     N/A    -1.0    -1.0      none  
   SN2008go   0.0623667   0.0613133   0.939   0.018   18.041   0.008    -0.5    0.032   0.0032    2.488e-06     0.04    0.01    6.4e-05   10.89   10.94    11.0     N/A    -1.0    -1.0      none  
   SN2008gp     0.03339   0.0328233   0.979   0.004   16.431   0.008   -10.6   0.1042   0.0104    8.298e-06   -0.031   0.011    6.4e-05   10.64   10.73   10.79     N/A    -1.0    -1.0      none  
   SN2008hj   0.0378667   0.0367224   1.008   0.005   16.783   0.005    -6.3   0.0303    0.003    9.609e-06   -0.008   0.007    2.5e-05    10.2    10.4   10.69     N/A    -1.0    -1.0      none  
   SN2008hu   0.0496656    0.050526   0.827   0.023   17.848   0.056     0.2   0.0921   0.0092   -2.648e-05    0.021    0.07   0.003136   10.84   10.99   11.07     N/A    -1.0    -1.0      none  
   SN2008hv     0.01254     0.01358   0.867   0.004    14.74   0.009   -10.7   0.0279   0.0028    9.466e-06   -0.047   0.011    8.1e-05   10.29   10.55   10.67     N/A    -1.0    -1.0      none  
   SN2008ia   0.0219833     0.02254   0.834   0.006    15.88   0.011    -3.7   0.1954   0.0195    8.762e-06   -0.035   0.016   0.000121   10.54   10.77   11.23     N/A    -1.0    -1.0      none  
    SN2009D     0.02499    0.024654   1.159   0.007   15.752   0.004    -6.5   0.0441   0.0044   -8.095e-07   -0.021   0.006    1.6e-05   10.35   10.43    10.5     N/A    -1.0    -1.0      none  
    SN2009F   0.0129467     0.01291   0.386   0.007    16.91   0.019    -4.8   0.0895   0.0089    2.457e-05    0.551   0.025   0.000361   10.61   10.79   11.22     N/A    -1.0    -1.0      none  
    SN2009I     0.02615   0.0254309   1.089    0.03   18.181   0.013    -3.6   0.0272   0.0027   -1.198e-05    0.651   0.017   0.000169   10.53   10.74   10.88     N/A    -1.0    -1.0      none  
    SN2009P   0.0250867   0.0263202    1.08   0.042   17.023   0.017    -0.9   0.0415   0.0042   -0.0001906    0.406   0.021   0.000289    9.77    9.87    9.95     N/A    -1.0    -1.0      none  
    SN2009Y   0.0093467   0.0101034   0.993   0.005   13.966   0.007    -6.9   0.0873   0.0087    9.033e-06    0.148    0.01    4.9e-05   10.66   10.76   10.95     N/A    -1.0    -1.0      none  
   SN2009aa     0.02729   0.0284814   0.944   0.004   16.333   0.009    -8.9   0.0295   0.0029     8.65e-06    0.013   0.012    8.1e-05    10.1    10.6    10.8     N/A    -1.0    -1.0      none  
   SN2009ab   0.0111633   0.0108624   0.903   0.006   14.713   0.008    -9.1   0.1838   0.0184    1.606e-05    0.035   0.011    6.4e-05    10.2   10.35   10.78     N/A    -1.0    -1.0      none  
   SN2009ad     0.02838   0.0283174   1.107   0.014   16.203   0.008    -7.7   0.0953   0.0095    9.946e-06    0.032   0.011    6.4e-05    10.5   10.58   10.64     N/A    -1.0    -1.0      none  
   SN2009ag   0.0086333   0.0092477   0.966   0.005   14.609   0.011    -1.5    0.218   0.0218    4.109e-06    0.149   0.014   0.000121    9.99    10.2    10.6     N/A    -1.0    -1.0      none  
   SN2009al     0.02209   0.0232764    0.92   0.013   16.246   0.022    -3.4   0.0212   0.0021    5.282e-05    0.186   0.028   0.000484   10.66   10.72   10.77     N/A    -1.0    -1.0      none  
   SN2009cz   0.0211233   0.0219786   1.173   0.011     15.7   0.008    -5.9   0.0221   0.0022   -1.703e-06    0.017   0.011    6.4e-05   10.68   10.75   10.84     N/A    -1.0    -1.0      none  
   SN2009ds   0.0192467   0.0204662   1.121   0.015   15.482   0.009    -8.7   0.0332   0.0033    4.033e-06    0.107   0.013    8.1e-05   10.62   10.77   10.97     N/A    -1.0    -1.0      none  
   SN2009ig      0.0088   0.0080401   1.061   0.014   13.454   0.007    -1.7   0.0269   0.0027    2.053e-05    0.103   0.009    4.9e-05    10.0    10.0    10.0   N1015    32.5    0.08         c  
   SN2009le   0.0177733    0.017027   1.087   0.011   15.346   0.006   -10.1   0.0143   0.0014    9.491e-06    0.122   0.008    3.6e-05   10.66   10.84   11.31     N/A    -1.0    -1.0      none  
   
