sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
ASAS14ad,0.0264,0.0274352,1.0224989119492163,0.004766230359192222,16.391364426115555,0.004726597460460155,-8.7,0.0159,0.0016,3.993e-06,CSPII,Ia,0.973,0,1,-0.034327842365506456,0.014701124944878234,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none
ASAS14hp,0.0388933,0.0386676,1.0864036783619533,0.009657754645761669,16.75619453324705,0.006206991152397838,-6.0,0.0295,0.0029,1.611e-05,CSPII,Ia,0.984,1,0,-0.07046663476397796,0.007398810727204866,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none
ASAS14hr,0.0335967,0.0327196,0.785236631709155,0.006304033568374523,17.007737325749506,0.009948869776898099,-7.3,0.0131,0.0013,3.206e-05,CSPII,Ia,0.985,1,0,0.052067429853842384,0.014070757459476852,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none
ASAS14hu,0.0215851,0.0218919,1.081973039733661,0.0074972596980795204,15.568455998147215,0.005743151956885632,-8.4,0.0612,0.0061,8.928e-06,CSPII,Ia,0.983,0,1,-0.05812988236086447,0.006884103235948342,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none
ASAS14jc,0.0113167,0.0117796,0.9101274745393709,0.007310288734753357,15.063466706270088,0.009582507335307237,-6.6,0.1346,0.0135,7.991e-06,CSPII,Ia,0.962,0,1,0.44469548206593323,0.015817726039366892,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none
ASAS14jg,0.0148167,0.014347,1.1245166285951296,0.025547137476476932,14.831952160168719,0.02783262645569269,-0.8,0.0128,0.0013,-5.627e-06,CSPII,Ia,0.961,0,1,0.09337785175103264,0.06131209702412014,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none
ASAS14jz,0.0157891,0.0156168,0.9768344412567868,0.007515104855580631,14.757542684376444,0.004262488826494717,-9.9,0.0472,0.0047,1.234e-06,CSPII,Ia,0.952,0,0,-0.03327912803150035,0.005943334348908313,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none
ASAS14kd,0.0243,0.0230683,1.1344136521807762,0.010581247733024114,16.043630476191545,0.0070653574594678895,-9.4,0.0574,0.0057,8.819e-06,CSPII,Ia-91T,0.941,0,0,0.2280953085562949,0.009449824637927833,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none
ASAS14kq,0.0335767,0.0325972,1.1892529014330073,0.00799440853723809,16.733425075938708,0.007192817522093465,-7.5,0.0155,0.0016,5.594e-05,CSPII,Ia,0.961,1,0,-0.0177569738704193,0.009200489590878219,0.0,8.78,8.91,9.11,N/A,-1.0,-1.0,none
ASAS14lo,0.0199167,0.0210151,0.9429326914829473,0.018884252051846552,15.853849928954705,0.02749298797392133,0.9,0.0282,0.0028,-8.326e-06,CSPII,Ia,0.979,0,1,0.12083675245889935,0.06395464970213544,0.0,9.47,9.69,9.79,N/A,-1.0,-1.0,none
ASAS14lp,0.0050967,0.0062254,1.0827805148491885,0.00527472609343439,11.917224870590788,0.005052720736132549,-15.4,0.0213,0.0021,4.949e-06,CSPII,Ia,0.335,0,1,0.24305746982761356,0.006433278714805022,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none
ASAS14lq,0.0261733,0.0250833,0.9806057553781313,0.026311754889613733,16.05759161141719,0.035946169962815674,4.2,0.0275,0.0028,-6.35e-05,CSPII,Ia,0.977,0,1,0.030621082599800786,0.07679189486415891,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none
ASAS14lt,0.0320233,0.0314552,0.9341177496266908,0.01059711392671531,16.435065588450865,0.01397124471996079,-4.9,0.0474,0.0047,8.117e-06,CSPII,Ia,0.984,1,0,-0.0018527624492996608,0.021100553236683337,0.0,10.56,10.64,10.7,N/A,-1.0,-1.0,none
ASAS14lw,0.0208855,0.0202609,1.1396973993975852,0.011883532394927046,15.715042170404551,0.010261437014071634,-11.5,0.0117,0.0012,2.135e-05,CSPII,Ia,0.939,0,1,-0.02413366399232153,0.01288199007669448,0.0,6.08,6.35,6.72,N/A,-1.0,-1.0,none
ASAS14me,0.0178,0.017386,1.0868017897595597,0.007096876128846791,15.208469140133985,0.006155360608641964,-13.2,0.0175,0.0018,6.059e-06,CSPII,Ia,0.981,0,1,-0.015483211926694551,0.007993423785163115,0.0,8.91,9.05,9.15,N/A,-1.0,-1.0,none
ASAS14mf,0.03108,0.0301521,0.9756878313962298,0.00824053722878542,16.535870863884547,0.008156258394277074,-6.1,0.0125,0.0013,1.603e-06,CSPII,Ia,0.984,1,0,-0.013058636081584751,0.014319014217492636,0.0,8.66,8.93,9.03,N/A,-1.0,-1.0,none
ASAS14mw,0.0273867,0.0271207,1.0647124662683225,0.005997686080827928,16.024187203366708,0.005004627827119456,-8.3,0.0179,0.0018,1.019e-05,CSPII,Ia,0.984,1,1,-0.051445912243687886,0.006126070914194977,0.0,10.59,10.68,10.75,N/A,-1.0,-1.0,none
ASAS14my,0.0205,0.0217279,0.9053045358915472,0.005542041620623179,15.596452732537172,0.007852821516465729,-9.5,0.0316,0.0032,8.35e-06,CSPII,Ia,0.975,0,1,0.0343705282357778,0.013418371798176728,0.0,10.11,10.31,10.74,N/A,-1.0,-1.0,none
ASAS15aj,0.0109133,0.0120218,0.7577866377044061,0.006466545798845041,14.535290590826577,0.00822861139873803,-3.8,0.0656,0.0066,3.19e-06,CSPII,Ia,0.952,0,1,0.09463047788340795,0.0118247159661998,0.0,11.05,11.2,11.35,N/A,-1.0,-1.0,none
ASAS15al,0.0337766,0.0337612,1.102849685750354,0.027481828344267017,16.94020069152006,0.028335521377176875,-1.4,0.0293,0.0029,2.049e-05,CSPII,Ia,0.916,1,0,0.036510404552650755,0.062166913348385804,0.0,8.03,8.07,8.23,N/A,-1.0,-1.0,none
ASAS15as,0.0286801,0.0297845,1.2636444732891594,0.008138669353056207,16.3485565157336,0.006199075577460398,-3.0,0.0398,0.004,2.184e-05,CSPII,Ia,0.985,1,1,-0.0028910134131336918,0.010451728149699028,0.0,7.47,7.66,8.01,N/A,-1.0,-1.0,none
ASAS15ba,0.0231167,0.0239771,0.9683939440491436,0.00618701058384533,16.037125376018395,0.005594831989714425,-3.4,0.0223,0.0022,-3.77e-07,CSPII,Ia,0.983,0,1,0.021166901585900177,0.009329441186884611,0.0,7.83,7.99,8.19,N/A,-1.0,-1.0,none
ASAS15be,0.0218833,0.0213892,1.1966517726549473,0.005414643129027668,15.755766492369654,0.006000700122468564,-9.4,0.0167,0.0017,8.179e-06,CSPII,Ia,0.976,0,1,0.009348413248595477,0.007924696814566125,0.0,7.66,7.8,8.16,N/A,-1.0,-1.0,none
ASAS15bm,0.0207856,0.0214395,0.9955718374382256,0.0064178313102636825,15.64881359345105,0.007338328236551555,-9.1,0.069,0.0069,5.31e-06,CSPII,Ia,0.976,0,1,0.13431088268477787,0.010930199678678656,0.0,9.89,10.02,10.15,N/A,-1.0,-1.0,none
ASAS15cb,0.04001,0.0411361,1.110301828434523,0.04351877159407786,17.089784634497462,0.04050998179274634,0.1,0.0279,0.0028,0.0003778,CSPII,Ia,0.583,1,0,0.10208314352264125,0.07923132751635208,0.0,10.17,10.28,10.4,N/A,-1.0,-1.0,none
